ALV-5000/E-WIN Data
Date :	"14.01.2011"
Time :	"14:52:17"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     185.48361
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  3.83249E-001
  4.00000E-004	  2.48452E-001
  6.00000E-004	  2.23192E-001
  8.00000E-004	  2.12767E-001
  1.00000E-003	  1.98351E-001
  1.20000E-003	  2.05423E-001
  1.40000E-003	  2.06545E-001
  1.60000E-003	  1.93203E-001
  1.80000E-003	  2.01548E-001
  2.00000E-003	  1.88767E-001
  2.20000E-003	  1.98493E-001
  2.40000E-003	  1.91836E-001
  2.60000E-003	  1.87937E-001
  2.80000E-003	  1.89206E-001
  3.00000E-003	  1.92895E-001
  3.20000E-003	  1.89380E-001
  3.60000E-003	  1.82709E-001
  4.00000E-003	  1.86206E-001
  4.40000E-003	  1.83722E-001
  4.80000E-003	  1.81296E-001
  5.20000E-003	  1.81008E-001
  5.60000E-003	  1.79771E-001
  6.00000E-003	  1.81467E-001
  6.40000E-003	  1.80109E-001
  7.20000E-003	  1.74879E-001
  8.00000E-003	  1.74916E-001
  8.80000E-003	  1.69913E-001
  9.60000E-003	  1.74011E-001
  1.04000E-002	  1.68804E-001
  1.12000E-002	  1.67228E-001
  1.20000E-002	  1.65885E-001
  1.28000E-002	  1.66767E-001
  1.44000E-002	  1.64505E-001
  1.60000E-002	  1.61908E-001
  1.76000E-002	  1.58589E-001
  1.92000E-002	  1.56365E-001
  2.08000E-002	  1.53977E-001
  2.24000E-002	  1.52949E-001
  2.40000E-002	  1.51861E-001
  2.56000E-002	  1.50295E-001
  2.88000E-002	  1.45687E-001
  3.20000E-002	  1.43302E-001
  3.52000E-002	  1.41456E-001
  3.84000E-002	  1.37066E-001
  4.16000E-002	  1.36130E-001
  4.48000E-002	  1.33771E-001
  4.80000E-002	  1.31612E-001
  5.12000E-002	  1.29709E-001
  5.76000E-002	  1.26614E-001
  6.40000E-002	  1.23068E-001
  7.04000E-002	  1.19640E-001
  7.68000E-002	  1.16971E-001
  8.32000E-002	  1.14070E-001
  8.96000E-002	  1.11617E-001
  9.60000E-002	  1.09675E-001
  1.02400E-001	  1.07314E-001
  1.15200E-001	  1.03924E-001
  1.28000E-001	  1.00575E-001
  1.40800E-001	  9.79328E-002
  1.53600E-001	  9.46950E-002
  1.66400E-001	  9.19146E-002
  1.79200E-001	  8.96888E-002
  1.92000E-001	  8.76360E-002
  2.04800E-001	  8.58606E-002
  2.30400E-001	  8.16295E-002
  2.56000E-001	  7.84882E-002
  2.81600E-001	  7.60409E-002
  3.07200E-001	  7.30785E-002
  3.32800E-001	  7.03696E-002
  3.58400E-001	  6.81064E-002
  3.84000E-001	  6.61792E-002
  4.09600E-001	  6.42022E-002
  4.60800E-001	  6.02746E-002
  5.12000E-001	  5.69610E-002
  5.63200E-001	  5.42260E-002
  6.14400E-001	  5.17229E-002
  6.65600E-001	  4.95314E-002
  7.16800E-001	  4.70421E-002
  7.68000E-001	  4.49890E-002
  8.19200E-001	  4.32051E-002
  9.21600E-001	  4.03190E-002
  1.02400E+000	  3.78057E-002
  1.12640E+000	  3.54496E-002
  1.22880E+000	  3.38515E-002
  1.33120E+000	  3.21894E-002
  1.43360E+000	  3.06593E-002
  1.53600E+000	  2.88623E-002
  1.63840E+000	  2.74906E-002
  1.84320E+000	  2.53333E-002
  2.04800E+000	  2.30410E-002
  2.25280E+000	  2.13509E-002
  2.45760E+000	  1.94424E-002
  2.66240E+000	  1.80985E-002
  2.86720E+000	  1.68609E-002
  3.07200E+000	  1.60291E-002
  3.22560E+000	  1.51908E-002
  3.63520E+000	  1.32655E-002
  4.04480E+000	  1.20628E-002
  4.45440E+000	  1.11518E-002
  4.86400E+000	  1.03701E-002
  5.27360E+000	  9.24877E-003
  5.68320E+000	  8.23743E-003
  6.09280E+000	  7.96074E-003
  6.50240E+000	  7.57217E-003
  7.32160E+000	  6.33806E-003
  8.14080E+000	  5.33225E-003
  8.96000E+000	  5.46128E-003
  9.77920E+000	  5.60072E-003
  1.05984E+001	  5.06247E-003
  1.14176E+001	  4.71576E-003
  1.22368E+001	  3.32047E-003
  1.30560E+001	  2.58437E-003
  1.46944E+001	  2.89640E-003
  1.63328E+001	  2.93660E-003
  1.79712E+001	  3.43990E-003
  1.96096E+001	  3.06580E-003
  2.12480E+001	  2.54424E-003
  2.28864E+001	  1.61301E-003
  2.45248E+001	  1.37101E-003
  2.61632E+001	  1.64092E-003
  2.94400E+001	  1.31726E-003
  3.27168E+001	  2.85596E-004
  3.59936E+001	  8.58730E-004
  3.92704E+001	  1.03811E-003
  4.25472E+001	  1.61976E-003
  4.58240E+001	  1.90058E-003
  4.91008E+001	  1.55428E-003
  5.23776E+001	  1.17423E-003
  5.89312E+001	  3.01578E-004
  6.54848E+001	  1.34989E-003
  7.20384E+001	  3.38619E-004
  7.85920E+001	  5.75948E-004
  8.51456E+001	 -2.11733E-004
  9.16992E+001	  5.24108E-004
  9.82528E+001	  5.62566E-004
  1.04806E+002	  4.16167E-004
  1.17914E+002	  5.18308E-004
  1.31021E+002	  1.27813E-004
  1.44128E+002	 -4.23881E-004
  1.57235E+002	  1.33700E-004
  1.70342E+002	 -3.35293E-004
  1.83450E+002	  1.57242E-004
  1.96557E+002	 -5.98732E-004
  2.09664E+002	 -6.01923E-004
  2.35878E+002	 -1.40467E-004
