ALV-5000/E-WIN Data
Date :	"20-Jan-09"
Time :	"11:02:15"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	       0.00000
Angle [°]       :	       0.00000
Duration [s]    :	        10
Runs            :	         6
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	      18.43670
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  18.014"	" 2,  18.126"	" 3,  18.186"	" 4,  18.347"	" 5,  18.251"	" 6,  18.437"	
  2.00000E-004	  6.07781E-001	  5.84455E-001	  6.43746E-001	  6.39238E-001	  5.78191E-001	  6.22879E-001	  5.78179E-001	
  4.00000E-004	  3.09122E-001	  3.43273E-001	  2.65148E-001	  2.92898E-001	  2.97966E-001	  3.31912E-001	  3.23535E-001	
  6.00000E-004	  2.37553E-001	  2.41050E-001	  2.55683E-001	  1.91034E-001	  2.02505E-001	  2.58781E-001	  2.76266E-001	
  8.00000E-004	  2.73581E-001	  2.95356E-001	  2.63570E-001	  2.92898E-001	  2.33299E-001	  2.57225E-001	  2.99138E-001	
  1.00000E-003	  2.17121E-001	  2.31466E-001	  2.49373E-001	  2.25511E-001	  1.51695E-001	  2.38554E-001	  2.06125E-001	
  1.20000E-003	  2.03976E-001	  2.47439E-001	  2.14668E-001	  2.39615E-001	  2.62553E-001	  1.32748E-001	  1.26835E-001	
  1.40000E-003	  1.89660E-001	  1.65980E-001	  2.03626E-001	  2.38048E-001	  1.57853E-001	  2.10546E-001	  1.61905E-001	
  1.60000E-003	  1.97578E-001	  1.89938E-001	  1.95738E-001	  1.67526E-001	  2.24060E-001	  1.68535E-001	  2.39671E-001	
  1.80000E-003	  1.64219E-001	  1.97924E-001	  1.67343E-001	  1.76929E-001	  2.04044E-001	  9.85163E-002	  1.40558E-001	
  2.00000E-003	  1.51493E-001	  1.97924E-001	  2.06781E-001	  1.23646E-001	  9.16464E-002	  1.52975E-001	  1.35984E-001	
  2.20000E-003	  1.86369E-001	  2.60217E-001	  2.24133E-001	  1.48721E-001	  1.76330E-001	  1.54531E-001	  1.54281E-001	
  2.40000E-003	  1.93872E-001	  2.21883E-001	  1.91006E-001	  2.12974E-001	  1.51695E-001	  1.85651E-001	  2.00026E-001	
  2.60000E-003	  1.98563E-001	  2.05911E-001	  1.95738E-001	  2.12974E-001	  1.73250E-001	  1.62311E-001	  2.41196E-001	
  2.80000E-003	  1.70948E-001	  1.59591E-001	  9.79337E-002	  1.98869E-001	  1.96346E-001	  1.59199E-001	  2.13749E-001	
  3.00000E-003	  1.93365E-001	  1.35632E-001	  2.20978E-001	  2.33347E-001	  2.51775E-001	  1.79427E-001	  1.39033E-001	
  3.20000E-003	  1.98297E-001	  1.64369E-001	  2.20992E-001	  1.75349E-001	  2.18672E-001	  2.02002E-001	  2.08399E-001	
  3.60000E-003	  1.82391E-001	  2.05098E-001	  1.62624E-001	  2.13743E-001	  2.24060E-001	  1.45986E-001	  1.42832E-001	
  4.00000E-003	  1.91021E-001	  2.26660E-001	  2.11527E-001	  1.37738E-001	  1.64782E-001	  1.81774E-001	  2.23647E-001	
  4.40000E-003	  1.80334E-001	  2.23466E-001	  1.54737E-001	  1.53409E-001	  1.67861E-001	  1.80996E-001	  2.01537E-001	
  4.80000E-003	  1.73577E-001	  1.08467E-001	  1.57892E-001	  1.32253E-001	  2.10203E-001	  2.09004E-001	  2.23647E-001	
  5.20000E-003	  1.72009E-001	  1.04474E-001	  1.47638E-001	  1.83184E-001	  2.33299E-001	  1.80218E-001	  1.83239E-001	
  5.60000E-003	  1.70672E-001	  1.28432E-001	  1.87864E-001	  1.62028E-001	  1.65552E-001	  2.14450E-001	  1.65704E-001	
  6.00000E-003	  1.62929E-001	  1.89925E-001	  1.80765E-001	  1.87102E-001	  1.50925E-001	  1.00863E-001	  1.67992E-001	
  6.40000E-003	  1.65351E-001	  1.63584E-001	  1.51910E-001	  1.74977E-001	  2.03632E-001	  1.67381E-001	  1.30621E-001	
  7.20000E-003	  1.40576E-001	  2.00320E-001	  1.53882E-001	  1.20904E-001	  1.14717E-001	  1.40930E-001	  1.12705E-001	
  8.00000E-003	  1.46712E-001	  1.94730E-001	  1.57431E-001	  1.26389E-001	  1.41282E-001	  1.38207E-001	  1.22235E-001	
  8.80000E-003	  1.48426E-001	  1.40823E-001	  1.62558E-001	  1.35008E-001	  1.30120E-001	  1.49876E-001	  1.72172E-001	
  9.60000E-003	  1.30440E-001	  9.25134E-002	  1.33770E-001	  1.18161E-001	  1.44362E-001	  1.49487E-001	  1.44344E-001	
  1.04000E-002	  1.57256E-001	  1.44823E-001	  2.07908E-001	  1.67918E-001	  1.06640E-001	  1.83719E-001	  1.32527E-001	
  1.12000E-002	  1.33156E-001	  1.32045E-001	  1.33776E-001	  1.33833E-001	  1.40897E-001	  1.30816E-001	  1.27572E-001	
  1.20000E-002	  1.32021E-001	  1.19666E-001	  1.19185E-001	  9.73964E-002	  1.39358E-001	  1.59212E-001	  1.57305E-001	
  1.28000E-002	  1.30188E-001	  1.22243E-001	  1.19223E-001	  1.16764E-001	  1.51284E-001	  1.40599E-001	  1.31015E-001	
  1.44000E-002	  1.26505E-001	  1.29031E-001	  1.24745E-001	  1.26363E-001	  1.01245E-001	  1.65885E-001	  1.11765E-001	
  1.60000E-002	  1.21408E-001	  1.46201E-001	  1.19421E-001	  9.18865E-002	  1.35695E-001	  1.04420E-001	  1.30825E-001	
  1.76000E-002	  1.15462E-001	  1.03076E-001	  1.38350E-001	  1.19899E-001	  1.07788E-001	  1.06365E-001	  1.17292E-001	
  1.92000E-002	  1.03163E-001	  1.00481E-001	  8.09695E-002	  1.20486E-001	  1.16449E-001	  8.73035E-002	  1.13290E-001	
  2.08000E-002	  1.05997E-001	  7.93175E-002	  9.81246E-002	  1.10496E-001	  1.09905E-001	  1.15507E-001	  1.22629E-001	
  2.24000E-002	  1.09529E-001	  9.70865E-002	  1.22378E-001	  1.16764E-001	  9.98974E-002	  1.18814E-001	  1.02235E-001	
  2.40000E-002	  9.12964E-002	  8.09147E-002	  8.45188E-002	  1.14218E-001	  7.96893E-002	  8.94431E-002	  9.89947E-002	
  2.56000E-002	  9.41648E-002	  9.57142E-002	  7.53435E-002	  1.04240E-001	  9.99161E-002	  1.03532E-001	  8.62429E-002	
  2.88000E-002	  9.64445E-002	  1.22568E-001	  8.74704E-002	  9.55229E-002	  7.87453E-002	  8.98197E-002	  1.04541E-001	
  3.20000E-002	  8.59328E-002	  8.05403E-002	  6.73576E-002	  9.12133E-002	  9.22176E-002	  9.03060E-002	  9.39622E-002	
  3.52000E-002	  8.04444E-002	  6.99585E-002	  7.83013E-002	  8.30838E-002	  8.96194E-002	  9.13757E-002	  7.03276E-002	
  3.84000E-002	  8.07722E-002	  6.74628E-002	  9.55612E-002	  9.13112E-002	  8.50003E-002	  6.21998E-002	  8.30979E-002	
  4.16000E-002	  6.85524E-002	  7.86435E-002	  6.03636E-002	  6.43762E-002	  7.27790E-002	  7.39674E-002	  6.11846E-002	
