ALV-5000/E-WIN Data
Date :	"14.01.2011"
Time :	"13:49:03"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	      23.25238
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  2.53466E+000
  4.00000E-004	  1.32106E+000
  6.00000E-004	  1.08640E+000
  8.00000E-004	  9.78047E-001
  1.00000E-003	  9.43715E-001
  1.20000E-003	  9.31116E-001
  1.40000E-003	  9.41195E-001
  1.60000E-003	  9.00878E-001
  1.80000E-003	  8.91114E-001
  2.00000E-003	  9.08438E-001
  2.20000E-003	  8.57412E-001
  2.40000E-003	  8.28119E-001
  2.60000E-003	  9.08753E-001
  2.80000E-003	  8.98044E-001
  3.00000E-003	  8.45758E-001
  3.20000E-003	  8.43249E-001
  3.60000E-003	  8.65140E-001
  4.00000E-003	  8.33799E-001
  4.40000E-003	  8.28602E-001
  4.80000E-003	  8.32224E-001
  5.20000E-003	  8.20413E-001
  5.60000E-003	  8.30492E-001
  6.00000E-003	  8.30492E-001
  6.40000E-003	  8.05530E-001
  7.20000E-003	  8.11042E-001
  8.00000E-003	  8.11751E-001
  8.80000E-003	  7.76867E-001
  9.60000E-003	  8.06160E-001
  1.04000E-002	  8.01278E-001
  1.12000E-002	  7.90254E-001
  1.20000E-002	  7.76631E-001
  1.28000E-002	  7.75927E-001
  1.44000E-002	  7.82620E-001
  1.60000E-002	  7.63367E-001
  1.76000E-002	  7.85413E-001
  1.92000E-002	  7.64861E-001
  2.08000E-002	  7.64624E-001
  2.24000E-002	  7.82539E-001
  2.40000E-002	  7.65294E-001
  2.56000E-002	  7.58781E-001
  2.88000E-002	  7.56635E-001
  3.20000E-002	  7.54686E-001
  3.52000E-002	  7.43582E-001
  3.84000E-002	  7.42381E-001
  4.16000E-002	  7.33502E-001
  4.48000E-002	  7.31177E-001
  4.80000E-002	  7.30291E-001
