ALV-5000/E-WIN Data
Date :	"31-Aug-09"
Time :	"17:30:18"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH1"
MeanCR0 [kHz]   :	     556.68427
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	 -1.34877E-001
  4.00000E-004	 -1.82800E-001
  6.00000E-004	  7.66090E-003
  8.00000E-004	  5.26634E-002
  1.00000E-003	  6.03623E-002
  1.20000E-003	  6.35025E-002
  1.40000E-003	  6.37675E-002
  1.60000E-003	  6.34034E-002
  1.80000E-003	  6.32381E-002
  2.00000E-003	  6.10054E-002
  2.20000E-003	  6.17222E-002
  2.40000E-003	  6.10374E-002
  2.60000E-003	  6.04235E-002
  2.80000E-003	  6.17953E-002
  3.00000E-003	  6.20386E-002
  3.20000E-003	  6.32035E-002
  3.60000E-003	  6.08302E-002
  4.00000E-003	  6.11184E-002
  4.40000E-003	  6.13381E-002
  4.80000E-003	  6.06993E-002
  5.20000E-003	  6.05395E-002
  5.60000E-003	  6.07359E-002
  6.00000E-003	  6.06107E-002
  6.40000E-003	  6.09614E-002
  7.20000E-003	  6.01736E-002
  8.00000E-003	  5.98015E-002
  8.80000E-003	  6.06845E-002
  9.60000E-003	  5.91893E-002
  1.04000E-002	  5.98260E-002
  1.12000E-002	  5.88360E-002
  1.20000E-002	  6.02964E-002
  1.28000E-002	  5.94376E-002
  1.44000E-002	  5.94719E-002
  1.60000E-002	  5.95224E-002
  1.76000E-002	  5.90947E-002
  1.92000E-002	  5.87061E-002
  2.08000E-002	  5.97253E-002
  2.24000E-002	  5.89364E-002
  2.40000E-002	  5.96553E-002
  2.56000E-002	  5.91389E-002
  2.88000E-002	  5.82769E-002
  3.20000E-002	  5.85606E-002
  3.52000E-002	  5.80072E-002
  3.84000E-002	  5.86881E-002
  4.16000E-002	  5.83863E-002
  4.48000E-002	  5.83549E-002
  4.80000E-002	  5.91532E-002
  5.12000E-002	  5.83725E-002
  5.76000E-002	  5.82193E-002
  6.40000E-002	  5.75820E-002
  7.04000E-002	  5.80687E-002
  7.68000E-002	  5.80942E-002
  8.32000E-002	  5.77172E-002
  8.96000E-002	  5.74859E-002
  9.60000E-002	  5.76438E-002
  1.02400E-001	  5.76665E-002
  1.15200E-001	  5.77718E-002
  1.28000E-001	  5.74194E-002
  1.40800E-001	  5.74242E-002
  1.53600E-001	  5.73949E-002
  1.66400E-001	  5.70087E-002
  1.79200E-001	  5.68308E-002
  1.92000E-001	  5.68944E-002
  2.04800E-001	  5.67774E-002
  2.30400E-001	  5.65505E-002
  2.56000E-001	  5.66379E-002
  2.81600E-001	  5.64998E-002
  3.07200E-001	  5.64069E-002
  3.32800E-001	  5.59788E-002
  3.58400E-001	  5.58952E-002
  3.84000E-001	  5.59092E-002
  4.09600E-001	  5.56750E-002
  4.60800E-001	  5.52782E-002
  5.12000E-001	  5.51558E-002
  5.63200E-001	  5.49314E-002
  6.14400E-001	  5.47718E-002
  6.65600E-001	  5.44372E-002
  7.16800E-001	  5.43843E-002
  7.68000E-001	  5.41024E-002
  8.19200E-001	  5.38828E-002
  9.21600E-001	  5.35725E-002
  1.02400E+000	  5.32902E-002
  1.12640E+000	  5.29916E-002
  1.22880E+000	  5.26299E-002
  1.33120E+000	  5.23809E-002
  1.43360E+000	  5.21914E-002
  1.53600E+000	  5.20458E-002
  1.63840E+000	  5.17465E-002
  1.84320E+000	  5.13292E-002
  2.04800E+000	  5.10630E-002
  2.25280E+000	  5.06830E-002
  2.45760E+000	  5.03418E-002
  2.66240E+000	  5.00371E-002
  2.86720E+000	  4.98698E-002
  3.07200E+000	  4.96502E-002
  3.22560E+000	  4.91216E-002
  3.63520E+000	  4.86249E-002
  4.04480E+000	  4.82109E-002
  4.45440E+000	  4.77992E-002
  4.86400E+000	  4.73349E-002
  5.27360E+000	  4.70364E-002
  5.68320E+000	  4.66681E-002
  6.09280E+000	  4.63876E-002
  6.50240E+000	  4.61174E-002
  7.32160E+000	  4.55534E-002
  8.14080E+000	  4.49743E-002
  8.96000E+000	  4.44909E-002
  9.77920E+000	  4.39675E-002
  1.05984E+001	  4.35406E-002
  1.14176E+001	  4.32139E-002
  1.22368E+001	  4.28288E-002
  1.30560E+001	  4.25524E-002
  1.46944E+001	  4.19229E-002
  1.63328E+001	  4.13085E-002
  1.79712E+001	  4.06575E-002
  1.96096E+001	  4.00039E-002
  2.12480E+001	  3.94116E-002
  2.28864E+001	  3.88415E-002
  2.45248E+001	  3.82992E-002
  2.61632E+001	  3.79028E-002
  2.94400E+001	  3.68152E-002
  3.27168E+001	  3.56419E-002
  3.59936E+001	  3.45640E-002
  3.92704E+001	  3.37123E-002
  4.25472E+001	  3.28234E-002
  4.58240E+001	  3.21908E-002
  4.91008E+001	  3.16130E-002
  5.23776E+001	  3.12243E-002
  5.89312E+001	  3.02488E-002
  6.54848E+001	  2.93077E-002
  7.20384E+001	  2.86329E-002
