ALV-5000/E-WIN Data
Date :	"14.01.2011"
Time :	"15:23:50"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     268.13739
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 266.992"	" 2, 266.543"	" 3, 266.916"	" 4, 266.046"	" 5, 267.830"	" 6, 268.137"	
  2.00000E-004	  1.84775E-001	  1.83089E-001	  1.84357E-001	  1.82957E-001	  1.86798E-001	  1.83898E-001	  1.87552E-001	
  4.00000E-004	  9.88646E-002	  9.89201E-002	  1.00694E-001	  9.95607E-002	  9.89422E-002	  9.66181E-002	  9.84524E-002	
  6.00000E-004	  8.00513E-002	  8.16153E-002	  7.99187E-002	  7.83127E-002	  8.07430E-002	  7.77012E-002	  8.20168E-002	
  8.00000E-004	  7.40409E-002	  7.70695E-002	  7.35567E-002	  7.62318E-002	  7.43310E-002	  7.19526E-002	  7.11040E-002	
  1.00000E-003	  7.13011E-002	  7.18147E-002	  7.30367E-002	  6.96684E-002	  7.22546E-002	  7.09297E-002	  7.01022E-002	
  1.20000E-003	  6.71766E-002	  6.81921E-002	  6.55262E-002	  6.47830E-002	  6.73415E-002	  6.91813E-002	  6.80355E-002	
  1.40000E-003	  6.52612E-002	  6.45578E-002	  6.56940E-002	  6.40595E-002	  6.75292E-002	  6.47692E-002	  6.49576E-002	
  1.60000E-003	  6.47245E-002	  6.48146E-002	  6.29148E-002	  6.47335E-002	  6.61938E-002	  6.61174E-002	  6.35728E-002	
  1.80000E-003	  6.30722E-002	  6.43600E-002	  6.13314E-002	  6.15449E-002	  6.49403E-002	  6.28780E-002	  6.33790E-002	
  2.00000E-003	  6.25263E-002	  6.27301E-002	  6.22058E-002	  6.30909E-002	  6.46010E-002	  6.08627E-002	  6.16672E-002	
  2.20000E-003	  6.01969E-002	  5.84645E-002	  6.15700E-002	  6.05928E-002	  6.06985E-002	  6.05842E-002	  5.92712E-002	
  2.40000E-003	  6.05401E-002	  6.33896E-002	  6.00504E-002	  6.13375E-002	  6.09607E-002	  5.88568E-002	  5.86454E-002	
  2.60000E-003	  6.02952E-002	  6.30669E-002	  5.60376E-002	  6.12668E-002	  5.83045E-002	  6.21313E-002	  6.09643E-002	
  2.80000E-003	  5.87188E-002	  5.93925E-002	  5.75454E-002	  5.87829E-002	  6.11941E-002	  5.67619E-002	  5.86360E-002	
  3.00000E-003	  5.89341E-002	  6.02475E-002	  5.86183E-002	  6.07201E-002	  5.76019E-002	  5.79884E-002	  5.84282E-002	
  3.20000E-003	  5.93616E-002	  5.87296E-002	  5.98493E-002	  6.06682E-002	  6.00221E-002	  5.79374E-002	  5.89631E-002	
  3.60000E-003	  5.83236E-002	  6.03053E-002	  5.45142E-002	  5.89431E-002	  5.98970E-002	  5.85097E-002	  5.77721E-002	
  4.00000E-003	  5.81309E-002	  6.08494E-002	  5.71801E-002	  5.73407E-002	  5.86098E-002	  5.81985E-002	  5.66068E-002	
  4.40000E-003	  5.79307E-002	  5.90547E-002	  5.72804E-002	  5.73985E-002	  5.74152E-002	  5.73185E-002	  5.91172E-002	
  4.80000E-003	  5.64331E-002	  5.79359E-002	  5.67179E-002	  5.70556E-002	  5.50561E-002	  5.54506E-002	  5.63826E-002	
  5.20000E-003	  5.68418E-002	  5.61387E-002	  5.60739E-002	  5.78758E-002	  5.75270E-002	  5.70399E-002	  5.63955E-002	
  5.60000E-003	  5.63090E-002	  5.73165E-002	  5.32675E-002	  5.66374E-002	  5.57863E-002	  5.82629E-002	  5.65835E-002	
  6.00000E-003	  5.59024E-002	  5.67055E-002	  5.36445E-002	  5.57630E-002	  5.59776E-002	  5.62476E-002	  5.70762E-002	
  6.40000E-003	  5.53616E-002	  5.65397E-002	  5.43904E-002	  5.61945E-002	  5.34221E-002	  5.57405E-002	  5.58825E-002	
  7.20000E-003	  5.53799E-002	  5.54098E-002	  5.49385E-002	  5.61816E-002	  5.55633E-002	  5.36251E-002	  5.65609E-002	
  8.00000E-003	  5.41181E-002	  5.45530E-002	  5.30473E-002	  5.49313E-002	  5.43146E-002	  5.39130E-002	  5.39495E-002	
