ALV-5000/E-WIN Data
Date :	"14.01.2011"
Time :	"12:06:05"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	      71.74120
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  7.73870E-001
  4.00000E-004	  3.79891E-001
  6.00000E-004	  3.26749E-001
  8.00000E-004	  2.82383E-001
  1.00000E-003	  2.65191E-001
  1.20000E-003	  2.66398E-001
  1.40000E-003	  2.55437E-001
  1.60000E-003	  2.59188E-001
  1.80000E-003	  2.53349E-001
  2.00000E-003	  2.53577E-001
  2.20000E-003	  2.48390E-001
  2.40000E-003	  2.53545E-001
  2.60000E-003	  2.39452E-001
  2.80000E-003	  2.43236E-001
  3.00000E-003	  2.40006E-001
  3.20000E-003	  2.39921E-001
  3.60000E-003	  2.30412E-001
  4.00000E-003	  2.25306E-001
  4.40000E-003	  2.26922E-001
  4.80000E-003	  2.36986E-001
  5.20000E-003	  2.21343E-001
  5.60000E-003	  2.21996E-001
  6.00000E-003	  2.18864E-001
  6.40000E-003	  2.19055E-001
  7.20000E-003	  2.15785E-001
  8.00000E-003	  2.15336E-001
  8.80000E-003	  2.05224E-001
  9.60000E-003	  1.99458E-001
  1.04000E-002	  1.97899E-001
  1.12000E-002	  1.95265E-001
  1.20000E-002	  1.94074E-001
  1.28000E-002	  1.95368E-001
  1.44000E-002	  1.90573E-001
  1.60000E-002	  1.80647E-001
  1.76000E-002	  1.79453E-001
  1.92000E-002	  1.72170E-001
  2.08000E-002	  1.71142E-001
  2.24000E-002	  1.71913E-001
  2.40000E-002	  1.67754E-001
  2.56000E-002	  1.61133E-001
  2.88000E-002	  1.57060E-001
  3.20000E-002	  1.49435E-001
  3.52000E-002	  1.46092E-001
  3.84000E-002	  1.43548E-001
  4.16000E-002	  1.36318E-001
  4.48000E-002	  1.34924E-001
  4.80000E-002	  1.31266E-001
  5.12000E-002	  1.26952E-001
  5.76000E-002	  1.20936E-001
  6.40000E-002	  1.18409E-001
  7.04000E-002	  1.11221E-001
  7.68000E-002	  1.05563E-001
  8.32000E-002	  1.03099E-001
  8.96000E-002	  9.77376E-002
  9.60000E-002	  9.19881E-002
  1.02400E-001	  9.10232E-002
  1.15200E-001	  8.74716E-002
  1.28000E-001	  8.27681E-002
  1.40800E-001	  7.66212E-002
  1.53600E-001	  7.43495E-002
  1.66400E-001	  7.09202E-002
  1.79200E-001	  6.93596E-002
  1.92000E-001	  6.59028E-002
  2.04800E-001	  6.43027E-002
  2.30400E-001	  6.02004E-002
  2.56000E-001	  5.71113E-002
  2.81600E-001	  5.34837E-002
  3.07200E-001	  5.04838E-002
  3.32800E-001	  4.98041E-002
  3.58400E-001	  4.72361E-002
  3.84000E-001	  4.41577E-002
  4.09600E-001	  4.33331E-002
  4.60800E-001	  3.99453E-002
  5.12000E-001	  3.73602E-002
  5.63200E-001	  3.57099E-002
  6.14400E-001	  3.48434E-002
  6.65600E-001	  3.21413E-002
  7.16800E-001	  3.12843E-002
  7.68000E-001	  2.86554E-002
  8.19200E-001	  2.74764E-002
  9.21600E-001	  2.60868E-002
  1.02400E+000	  2.42631E-002
  1.12640E+000	  2.21975E-002
  1.22880E+000	  2.14004E-002
  1.33120E+000	  2.00634E-002
  1.43360E+000	  1.84756E-002
  1.53600E+000	  1.76975E-002
  1.63840E+000	  1.64444E-002
  1.84320E+000	  1.43546E-002
  2.04800E+000	  1.38240E-002
  2.25280E+000	  1.22664E-002
  2.45760E+000	  1.14091E-002
  2.66240E+000	  9.91066E-003
  2.86720E+000	  9.14907E-003
  3.07200E+000	  8.27562E-003
  3.22560E+000	  7.92469E-003
  3.63520E+000	  7.19712E-003
  4.04480E+000	  5.94736E-003
  4.45440E+000	  6.17456E-003
  4.86400E+000	  5.78134E-003
  5.27360E+000	  5.68306E-003
  5.68320E+000	  4.96730E-003
  6.09280E+000	  4.77851E-003
  6.50240E+000	  4.65475E-003
  7.32160E+000	  4.13469E-003
  8.14080E+000	  3.28798E-003
  8.96000E+000	  3.28603E-003
  9.77920E+000	  2.68055E-003
  1.05984E+001	  1.53288E-003
  1.14176E+001	  1.78013E-003
  1.22368E+001	  1.17548E-003
  1.30560E+001	  1.55603E-003
  1.46944E+001	  2.22503E-003
  1.63328E+001	  1.28280E-003
  1.79712E+001	  5.82027E-004
  1.96096E+001	  6.04498E-004
  2.12480E+001	  9.61060E-004
  2.28864E+001	  1.53073E-003
  2.45248E+001	  1.02594E-003
  2.61632E+001	  1.14279E-003
  2.94400E+001	  1.08045E-003
  3.27168E+001	  5.24825E-004
  3.59936E+001	  1.53953E-004
  3.92704E+001	  3.70148E-004
  4.25472E+001	  3.21141E-004
  4.58240E+001	  2.30460E-004
  4.91008E+001	  3.66933E-004
  5.23776E+001	  8.93654E-004
  5.89312E+001	  4.47478E-004
  6.54848E+001	  6.22344E-004
  7.20384E+001	  1.80863E-004
  7.85920E+001	 -1.26674E-004
  8.51456E+001	  5.62423E-005
  9.16992E+001	 -2.64043E-004
  9.82528E+001	 -8.08786E-004
  1.04806E+002	 -5.64590E-004
  1.17914E+002	 -4.45925E-004
  1.31021E+002	 -6.55723E-005
  1.44128E+002	 -6.29804E-005
  1.57235E+002	  3.05552E-004
  1.70342E+002	  8.16098E-005
  1.83450E+002	  4.39061E-004
  1.96557E+002	  1.81099E-005
  2.09664E+002	  4.14636E-005
  2.35878E+002	  3.74714E-004
  2.62093E+002	 -1.62211E-005
  2.88307E+002	 -1.60610E-004
  3.14522E+002	 -4.77370E-004
  3.40736E+002	 -1.10532E-004
  3.66950E+002	 -6.54333E-007
  3.93165E+002	  2.33571E-004
  4.19379E+002	  7.29078E-005
  4.71808E+002	 -4.01656E-004
  5.24237E+002	 -3.24374E-005
  5.76666E+002	  7.69591E-005
  6.29094E+002	  1.58436E-004
  6.81523E+002	  1.87220E-004
  7.33952E+002	 -1.75625E-004
  7.86381E+002	 -1.55216E-004
  8.38810E+002	 -2.14903E-004
  9.43667E+002	 -2.90310E-004
  1.04852E+003	 -3.90439E-005
  1.15338E+003	  1.58059E-004
  1.25824E+003	 -1.14853E-004
  1.36310E+003	  1.15337E-004
  1.46796E+003	  6.07150E-005
  1.57281E+003	  9.97807E-005
  1.67767E+003	  1.47465E-004
  1.88739E+003	  6.66832E-005
  2.09710E+003	  5.67460E-005
  2.30682E+003	  1.69226E-005
  2.51653E+003	  7.78151E-005
  2.72625E+003	  1.05602E-004
  2.93596E+003	  1.04469E-004
  3.14568E+003	  2.54285E-004
  3.35539E+003	  5.01006E-005
  3.77482E+003	  3.08797E-005
  4.19425E+003	 -1.37428E-004
  4.61368E+003	  1.14830E-006
  5.03311E+003	  2.78121E-005
  5.45254E+003	 -6.97742E-006
  5.87197E+003	  1.59810E-005
  6.29140E+003	  3.91748E-005

"Count Rate"
       0.11719	      78.36402
       0.23438	      77.39087
       0.35156	      70.84346
       0.46875	      70.63859
       0.58594	      70.74103
       0.70313	      73.86534
       0.82031	      70.77517
       0.93750	      69.20448
       1.05469	      71.15077
       1.17188	      71.31297
       1.28906	      76.78479
       1.40625	      73.61779
       1.52344	      67.05331
       1.64063	      68.84595
       1.75781	      71.32150
       1.87500	      70.27152
       1.99219	      74.22387
       2.10938	      70.05811
       2.22656	      73.11414
       2.34375	      69.91299
       2.46094	      67.59110
       2.57813	      74.49703
       2.69531	      66.43869
       2.81250	      76.18724
       2.92969	      78.85059
       3.04688	      70.19469
       3.16406	      67.85573
       3.28125	      76.22138
       3.39844	      69.55447
       3.51563	      78.15914
       3.63281	      70.04104
       3.75000	      70.96297
       3.86719	      69.58862
       3.98438	      66.46429
       4.10156	      67.19843
       4.21875	      67.33501
       4.33594	      73.08853
       4.45313	      70.60445
       4.57031	      72.21782
       4.68750	      70.17763
       4.80469	      71.61174
       4.92188	      71.20199
       5.03906	      74.45435
       5.15625	      66.78014
       5.27344	      71.55198
       5.39063	      70.98858
       5.50781	      74.20679
       5.62500	      65.49115
       5.74219	      68.11182
       5.85938	      70.74103
       5.97656	      71.93612
       6.09375	      76.99820
       6.21094	      70.89468
       6.32813	      74.24948
       6.44531	      76.06773
       6.56250	      77.81769
       6.67969	      75.31653
       6.79688	      61.59002
       6.91406	      71.38979
       7.03125	      64.42410
       7.14844	      64.55215
       7.26563	      77.62989
       7.38281	      72.22636
       7.50000	      73.62633
       7.61719	      73.33609
       7.73438	      66.68624
       7.85156	      75.38482
       7.96875	      74.27509
       8.08594	      71.03127
       8.20313	      72.31172
       8.32031	      67.18989
       8.43750	      68.42767
       8.55469	      76.19578
       8.67188	      75.64944
       8.78906	      65.81553
       8.90625	      66.56673
       9.02344	      69.05082
       9.14063	      75.72627
       9.25781	      70.53616
       9.37500	      78.57743
       9.49219	      75.53848
       9.60938	      70.77517
       9.72656	      72.78976
       9.84375	      72.68732
       9.96094	      66.38747
      10.07813	      78.87620
      10.19531	      67.88987
      10.31250	      69.42642
      10.42969	      70.92029
      10.54688	      68.12889
      10.66406	      68.59840
      10.78125	      68.62400
      10.89844	      72.77268
      11.01563	      71.90198
      11.13281	      72.10685
      11.25000	      72.76415
      11.36719	      68.66669
      11.48438	      69.22155
      11.60156	      70.68127
      11.71875	      76.55431
      11.83594	      77.56160
      11.95313	      74.96654
      12.07031	      73.54096
      12.18750	      70.42518
      12.30469	      73.72022
      12.42188	      68.73498
      12.53906	      67.24964
      12.65625	      68.47034
      12.77344	      69.38374
      12.89063	      68.60693
      13.00781	      79.14083
      13.12500	      67.29233
      13.24219	      68.52157
      13.35938	      70.77517
      13.47656	      75.07751
      13.59375	      77.42502
      13.71094	      74.05315
      13.82813	      69.66544
      13.94531	      69.24716
      14.06250	      70.79224
      14.17969	      76.49455
      14.29688	      66.02040
      14.41406	      69.28130
      14.53125	      79.37132
      14.64844	      73.14828
      14.76563	      65.39725
      14.88281	      74.12144
      15.00000	      66.03748
      15.11719	      74.64215
      15.23438	      69.69958
      15.35156	      69.93861
      15.46875	      71.81661
      15.58594	      72.61050
      15.70313	      71.94466
      15.82031	      74.48850
      15.93750	      68.62400
      16.05469	      70.10934
      16.17188	      68.93985
      16.28906	      68.17157
      16.40625	      74.57386
      16.52344	      68.70937
      16.64063	      68.55571
      16.75781	      75.52994
      16.87500	      66.66917
      16.99219	      66.33625
      17.10938	      72.06416
      17.22656	      72.33733
      17.34375	      76.45187
      17.46094	      70.49347
      17.57813	      67.94963
      17.69531	      68.24840
      17.81250	      76.16163
      17.92969	      67.13867
      18.04688	      66.13138
      18.16406	      70.66420
      18.28125	      71.57759
      18.39844	      73.48121
      18.51563	      68.04353
      18.63281	      74.79581
      18.75000	      69.15326
      18.86719	      71.16785
      18.98438	      71.13370
      19.10156	      72.81537
      19.21875	      69.59715
      19.33594	      72.96902
      19.45313	      73.84827
      19.57031	      77.36526
      19.68750	      73.88242
      19.80469	      76.22992
      19.92188	      71.07394
      20.03906	      77.74940
      20.15625	      67.74475
      20.27344	      66.98502
      20.39063	      66.79722
      20.50781	      66.63503
      20.62500	      72.71293
      20.74219	      66.25089
      20.85938	      75.19702
      20.97656	      71.26174
      21.09375	      71.99587
      21.21094	      73.31048
      21.32813	      68.88010
      21.44531	      75.65798
      21.56250	      68.62400
      21.67969	      74.99214
      21.79688	      67.76183
      21.91406	      81.04444
      22.03125	      67.65939
      22.14844	      73.67754
      22.26563	      74.38606
      22.38281	      72.61050
      22.50000	      72.86658
      22.61719	      75.13726
      22.73438	      79.07254
      22.85156	      70.64713
      22.96875	      73.22511
      23.08594	      71.65442
      23.20313	      68.68375
      23.32031	      77.76647
      23.43750	      72.79829
      23.55469	      68.21426
      23.67188	      73.69462
      23.78906	      68.85448
      23.90625	      71.06541
      24.02344	      72.95195
      24.14063	      75.63238
      24.25781	      71.79100
      24.37500	      71.73125
      24.49219	      82.64928
      24.60938	      69.93861
      24.72656	      77.13478
      24.84375	      75.36774
      24.96094	      80.86518
      25.07813	      72.61050
      25.19531	      66.90819
      25.31250	      73.10561
      25.42969	      73.83974
      25.54688	      69.12765
      25.66406	      76.48602
      25.78125	      69.46057
      25.89844	      73.34462
      26.01563	      79.35424
      26.13281	      73.58364
      26.25000	      70.98004
      26.36719	      70.86907
      26.48438	      64.95335
      26.60156	      75.80310
      26.71875	      68.78619
      26.83594	      71.47515
      26.95313	      69.74227
      27.07031	      65.95211
      27.18750	      79.98593
      27.30469	      76.92137
      27.42188	      73.97632
      27.53906	      71.36418
      27.65625	      73.85680
      27.77344	      70.39957
      27.89063	      80.78835
      28.00781	      72.33733
      28.12500	      70.08372
      28.24219	      69.01668
      28.35938	      72.64464
      28.47656	      72.20074
      28.59375	      75.37628
      28.71094	      69.28984
      28.82813	      70.07519
      28.94531	      69.11057
      29.06250	      65.54237
      29.17969	      71.50930
      29.29688	      68.31669
      29.41406	      77.45916
      29.53125	      65.96918
      29.64844	      73.05438
      29.76563	      77.67257
      29.88281	      75.20556
