# name: sodium dihydrogen phosphate
# temperature: 20°C
# reference: CRC handbook 90th edition 2009, p. 8-73
#! concentration [M], density [g/cm^3], refractive index, viscosity [mPa*s]
0.000,	0.9982,	1.3339,	1.0016
0.042,	1.0019,	1.3336,	1.018
0.084,	1.0056,	1.3343,	1.035
0.126,	1.0094,	1.3349,	1.051
0.169,	1.0131,	1.3356,	1.068
0.212,	1.0168,	1.3362,	1.085
0.255,	1.0206,	1.3369,	1.103
0.299,	1.0244,	1.3375,	1.121
0.343,	1.0281,	1.3382,	1.140
0.387,	1.0319,	1.3388,	1.160
0.432,	1.0358,	1.3395,	1.180
0.522,	1.0434,	1.3408,	1.223
0.613,	1.0511,	1.3421,	1.270
0.706,	1.0589,	1.3434,	1.319
0.800,	1.0668,	1.3447,	1.371
0.896,	1.0747,	1.3460,	1.428
1.091,	1.0907,	1.3486,	1.552
1.292,	1.1070,	1.3512,	1.694
1.499,	1.1236,	1.3538,	1.861
1.711,	1.1404,	1.3565,	2.050
1.930,	1.1576,	1.3592,	2.283
