# Ficoll 400
# temperature: 22.7°C
#! concentration [M], density [g/cm^3], refractive index, viscosity [mPa*s]
0.000,	0.9982,	1.3339,	1.0016
0.961521, 0.9982,       1.3339,     1.00633
1.983, 0.9982,       1.3339,     1.29957
3.00353, 0.9982,       1.3339,     1.41459
4.98369, 0.9982,       1.3339,     2.17952
6.96574, 0.9982,       1.3339,     3.30087
9.97274, 0.9982,       1.3339,     5.36891
11.0573, 0.9982,       1.3339,     5.5431
12.0201, 0.9982,       1.3339,     6.78705
13.0425, 0.9982,       1.3339,     7.25851
14.0082, 0.9982,       1.3339,     9.0371
15.1006, 0.9982,       1.3339,     10.6964

