ALV-5000/E-WIN Data
Date :	"20-Dec-12"
Time :	"14:07:54"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     500.00000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"DUAL AUTO CH0"
MeanCR0 [kHz]   :	      13.89088
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	"Run  1"	"Run  2"	"Run  3"	"Run  4"	"Run  5"	"Run  6"	"Average(1)"	" 1,   0.000"	" 2,   0.000"	" 3,   0.000"	" 4,   0.000"	" 5,   0.000"	" 6,   0.000"	
  4.00000E-004	  9.49452E-001	  9.69727E-001	  9.06200E-001	  1.03053E+000	  9.20287E-001	  8.80633E-001	  9.89328E-001	  2.33250E-001	  2.33563E-001	  2.31498E-001	  2.33099E-001	  2.33540E-001	  2.29606E-001	  2.38195E-001	
  8.00000E-004	  7.41680E-001	  7.67538E-001	  7.16559E-001	  7.28892E-001	  7.20945E-001	  7.39076E-001	  7.77069E-001	  2.12176E-001	  2.10431E-001	  2.07816E-001	  2.18288E-001	  2.28950E-001	  2.09019E-001	  1.98551E-001	
  1.20000E-003	  7.16726E-001	  6.95064E-001	  7.06766E-001	  7.20186E-001	  7.59743E-001	  7.16546E-001	  7.02050E-001	  2.07918E-001	  2.04488E-001	  1.99940E-001	  2.12360E-001	  2.16072E-001	  2.04200E-001	  2.10450E-001	
  1.60000E-003	  7.02261E-001	  6.81677E-001	  7.10327E-001	  7.49785E-001	  6.52714E-001	  6.92740E-001	  7.26321E-001	  1.99965E-001	  1.99533E-001	  1.97760E-001	  2.09328E-001	  2.03608E-001	  1.93078E-001	  1.96480E-001	
  2.00000E-003	  6.87302E-001	  7.02912E-001	  6.27526E-001	  7.18880E-001	  6.67430E-001	  6.83388E-001	  7.23673E-001	  1.98372E-001	  1.95100E-001	  1.88719E-001	  2.01854E-001	  2.08475E-001	  2.02022E-001	  1.94062E-001	
  2.40000E-003	  6.84983E-001	  6.72445E-001	  6.76940E-001	  7.07128E-001	  6.94188E-001	  6.54056E-001	  7.05139E-001	  1.98199E-001	  1.94674E-001	  1.95542E-001	  2.00876E-001	  2.02243E-001	  1.99921E-001	  1.95939E-001	
  2.80000E-003	  6.91211E-001	  6.64136E-001	  6.62249E-001	  7.04517E-001	  6.95971E-001	  7.15695E-001	  7.04697E-001	  1.96866E-001	  1.93087E-001	  1.88343E-001	  2.00641E-001	  2.02204E-001	  1.95294E-001	  2.01627E-001	
  3.20000E-003	  6.69593E-001	  6.79369E-001	  6.12836E-001	  6.54896E-001	  6.90620E-001	  6.91465E-001	  6.88370E-001	  1.93555E-001	  1.94036E-001	  1.95354E-001	  1.91505E-001	  1.98287E-001	  1.87834E-001	  1.94313E-001	
  3.60000E-003	  6.60685E-001	  6.43363E-001	  5.97255E-001	  6.87976E-001	  6.80809E-001	  6.67659E-001	  6.87046E-001	  1.89399E-001	  1.80698E-001	  1.91426E-001	  1.80412E-001	  1.92847E-001	  1.98167E-001	  1.92843E-001	
  4.00000E-003	  6.52748E-001	  6.72445E-001	  6.35984E-001	  6.92764E-001	  6.35321E-001	  6.48530E-001	  6.31443E-001	  1.87521E-001	  1.86912E-001	  1.86708E-001	  1.94909E-001	  1.92985E-001	  1.78100E-001	  1.85510E-001	
