ALV-5000/E-WIN Data
Date :	"20-Dec-12"
Time :	"14:11:37"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     500.00000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"DUAL CROSS CH0"
MeanCR0 [kHz]   :	      64.63463
MeanCR1 [kHz]   :	      64.63459

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	"Run  1"	"Run  2"	"Run  3"	"Run  4"	"Run  5"	"Run  6"	"Average(1)"	" 1,  65.455"	" 2,  66.652"	" 3,  66.025"	" 4,  66.996"	" 5,  66.167"	" 6,  64.635"	
  4.00000E-004	  9.87887E-002	  1.29502E-001	  8.73786E-002	  9.76562E-002	  9.70555E-002	  9.64945E-002	  8.46453E-002	  9.26076E-002	  1.24804E-001	  7.00831E-002	  8.41285E-002	  8.10018E-002	  1.03322E-001	  9.23060E-002	
  8.00000E-004	  8.63809E-002	  1.03691E-001	  9.45465E-002	  7.28526E-002	  8.17260E-002	  8.02488E-002	  8.52201E-002	  8.91874E-002	  9.72412E-002	  8.59422E-002	  8.36588E-002	  7.45995E-002	  8.89228E-002	  1.04760E-001	
  1.20000E-003	  9.59455E-002	  1.14384E-001	  1.03327E-001	  8.61000E-002	  9.20058E-002	  7.22182E-002	  1.07637E-001	  8.68702E-002	  1.03602E-001	  7.38463E-002	  7.94309E-002	  7.82064E-002	  8.83690E-002	  9.77666E-002	
  1.60000E-003	  8.49566E-002	  1.26460E-001	  7.70746E-002	  6.44907E-002	  8.59641E-002	  7.88642E-002	  7.68855E-002	  9.35428E-002	  1.23513E-001	  8.97054E-002	  8.01825E-002	  1.02283E-001	  7.48001E-002	  9.07732E-002	
  2.00000E-003	  8.82613E-002	  1.01571E-001	  8.42426E-002	  7.30405E-002	  8.20867E-002	  9.10485E-002	  9.75783E-002	  9.51447E-002	  1.22960E-001	  8.12830E-002	  7.52030E-002	  9.57903E-002	  8.55075E-002	  1.10125E-001	
  2.40000E-003	  7.96290E-002	  1.10328E-001	  6.74875E-002	  7.87716E-002	  7.55040E-002	  5.88339E-002	  8.68487E-002	  8.69827E-002	  1.05261E-001	  7.99390E-002	  6.85323E-002	  9.63313E-002	  8.15384E-002	  9.02942E-002	
  2.80000E-003	  9.31665E-002	  1.13647E-001	  1.16498E-001	  6.97521E-002	  8.48820E-002	  9.45561E-002	  7.96637E-002	  9.31738E-002	  1.13926E-001	  1.09148E-001	  7.93369E-002	  8.42481E-002	  7.71077E-002	  9.52758E-002	
  3.20000E-003	  8.90917E-002	  1.00004E-001	  9.59801E-002	  7.69865E-002	  7.54138E-002	  8.77255E-002	  9.84405E-002	  8.11641E-002	  1.09686E-001	  7.08895E-002	  7.00355E-002	  7.80261E-002	  7.84000E-002	  7.99479E-002	
  3.60000E-003	  9.95955E-002	  1.17242E-001	  9.07833E-002	  8.34693E-002	  1.08327E-001	  1.00556E-001	  9.71951E-002	  9.07391E-002	  9.66881E-002	  8.45982E-002	  8.58197E-002	  1.03906E-001	  8.25538E-002	  9.08690E-002	
  4.00000E-003	  8.43333E-002	  9.88978E-002	  8.46906E-002	  7.66107E-002	  8.09144E-002	  8.55102E-002	  7.93763E-002	  9.62468E-002	  1.02957E-001	  9.33789E-002	  9.68122E-002	  9.93071E-002	  1.02492E-001	  8.25345E-002	
