ALV-5000/E-WIN Data
Date :	"06.12.2013"
Time :	"11:19:17"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	       0.00000
Duration [s]    :	        20
Runs            :	         6
Mode            :	"DUAL AUTO CH0"
MeanCR0 [kHz]   :	     121.68226
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	"Run  1"	"Run  2"	"Run  3"	"Run  4"	"Run  5"	"Run  6"	"Average(1)"	" 1,   0.000"	" 2,   0.000"	" 3,   0.000"	" 4,   0.000"	" 5,   0.000"	" 6,   0.000"	
  4.00000E-004	  3.08883E-001	  3.13192E-001	  3.07644E-001	  3.12865E-001	  3.07246E-001	  3.01657E-001	  3.10694E-001	  2.57555E-001	  2.61096E-001	  2.60729E-001	  2.54810E-001	  2.57608E-001	  2.53560E-001	  2.57524E-001	
  8.00000E-004	  2.14465E-001	  2.16411E-001	  2.12547E-001	  2.11754E-001	  2.21010E-001	  2.06823E-001	  2.18246E-001	  2.22621E-001	  2.24023E-001	  2.23612E-001	  2.21390E-001	  2.25487E-001	  2.17816E-001	  2.23402E-001	
  1.20000E-003	  1.98668E-001	  1.87001E-001	  1.97504E-001	  2.03964E-001	  2.06197E-001	  2.00823E-001	  1.96517E-001	  2.13290E-001	  2.13472E-001	  2.12108E-001	  2.13353E-001	  2.19409E-001	  2.08284E-001	  2.13112E-001	
  1.60000E-003	  1.93966E-001	  1.90091E-001	  1.93767E-001	  1.96686E-001	  1.94648E-001	  1.94686E-001	  1.93918E-001	  2.08461E-001	  2.09614E-001	  2.11976E-001	  2.08264E-001	  2.07230E-001	  2.03787E-001	  2.09897E-001	
  2.00000E-003	  1.88036E-001	  1.86510E-001	  1.84539E-001	  1.96235E-001	  1.91332E-001	  1.81939E-001	  1.87661E-001	  2.04167E-001	  2.08974E-001	  2.04580E-001	  2.02926E-001	  2.06441E-001	  1.98952E-001	  2.03130E-001	
  2.40000E-003	  1.85541E-001	  1.84969E-001	  1.86119E-001	  1.94491E-001	  1.87171E-001	  1.80136E-001	  1.80362E-001	  1.98462E-001	  1.99617E-001	  1.97560E-001	  2.03020E-001	  2.01206E-001	  1.99667E-001	  1.89704E-001	
  2.80000E-003	  1.85017E-001	  1.86671E-001	  1.84268E-001	  1.87794E-001	  1.85447E-001	  1.85578E-001	  1.80345E-001	  1.98613E-001	  2.02775E-001	  1.97177E-001	  1.96110E-001	  2.05591E-001	  1.92656E-001	  1.97368E-001	
  3.20000E-003	  1.83974E-001	  1.86163E-001	  1.79684E-001	  1.85990E-001	  1.84990E-001	  1.83347E-001	  1.83670E-001	  1.94819E-001	  1.93256E-001	  1.97810E-001	  1.99705E-001	  1.93412E-001	  1.91588E-001	  1.93147E-001	
  3.60000E-003	  1.83230E-001	  1.83039E-001	  1.80662E-001	  1.89069E-001	  1.85957E-001	  1.79081E-001	  1.81570E-001	  1.90140E-001	  1.92409E-001	  1.83527E-001	  1.89597E-001	  1.96667E-001	  1.85799E-001	  1.92840E-001	
  4.00000E-003	  1.80853E-001	  1.78476E-001	  1.80723E-001	  1.82902E-001	  1.85482E-001	  1.79827E-001	  1.77711E-001	  1.90238E-001	  1.95004E-001	  1.87423E-001	  1.90088E-001	  1.93303E-001	  1.89927E-001	  1.85679E-001	
  4.40000E-003	  1.79016E-001	  1.79051E-001	  1.75659E-001	  1.78200E-001	  1.88965E-001	  1.74188E-001	  1.78034E-001	  1.87934E-001	  1.87403E-001	  1.87041E-001	  1.89512E-001	  1.92515E-001	  1.83447E-001	  1.87684E-001	
  4.80000E-003	  1.79683E-001	  1.81794E-001	  1.73573E-001	  1.81097E-001	  1.79862E-001	  1.78531E-001	  1.83241E-001	  1.83770E-001	  1.86525E-001	  1.86478E-001	  1.79856E-001	  1.87488E-001	  1.76129E-001	  1.86143E-001	
  5.20000E-003	  1.79151E-001	  1.80084E-001	  1.78357E-001	  1.78252E-001	  1.78876E-001	  1.77844E-001	  1.81491E-001	  1.85772E-001	  1.88450E-001	  1.85479E-001	  1.83746E-001	  1.87852E-001	  1.84001E-001	  1.85106E-001	
  5.60000E-003	  1.77481E-001	  1.78933E-001	  1.73957E-001	  1.81306E-001	  1.80187E-001	  1.74754E-001	  1.75750E-001	  1.80932E-001	  1.79748E-001	  1.83363E-001	  1.81420E-001	  1.86321E-001	  1.75153E-001	  1.79588E-001	
  6.00000E-003	  1.79567E-001	  1.75022E-001	  1.83543E-001	  1.83734E-001	  1.74584E-001	  1.76531E-001	  1.83985E-001	  1.82136E-001	  1.80664E-001	  1.78326E-001	  1.85847E-001	  1.87558E-001	  1.80741E-001	  1.79682E-001	
  6.40000E-003	  1.78633E-001	  1.79233E-001	  1.78869E-001	  1.80075E-001	  1.76182E-001	  1.75334E-001	  1.82108E-001	  1.81262E-001	  1.81769E-001	  1.79897E-001	  1.80597E-001	  1.83365E-001	  1.79665E-001	  1.82277E-001	
  7.20000E-003	  1.75579E-001	  1.74907E-001	  1.72159E-001	  1.77754E-001	  1.77040E-001	  1.73960E-001	  1.77653E-001	  1.76446E-001	  1.77680E-001	  1.73989E-001	  1.77563E-001	  1.76777E-001	  1.73554E-001	  1.79114E-001	
  8.00000E-003	  1.74253E-001	  1.73552E-001	  1.72316E-001	  1.79407E-001	  1.76349E-001	  1.71663E-001	  1.72227E-001	  1.75944E-001	  1.77387E-001	  1.77382E-001	  1.74707E-001	  1.76100E-001	  1.73177E-001	  1.76913E-001	
  8.80000E-003	  1.73227E-001	  1.76413E-001	  1.69155E-001	  1.77104E-001	  1.74111E-001	  1.71114E-001	  1.71462E-001	  1.73118E-001	  1.73290E-001	  1.71954E-001	  1.71680E-001	  1.73726E-001	  1.73665E-001	  1.74393E-001	
  9.60000E-003	  1.71520E-001	  1.70335E-001	  1.71246E-001	  1.72992E-001	  1.72048E-001	  1.71303E-001	  1.71195E-001	  1.71877E-001	  1.73479E-001	  1.71588E-001	  1.68016E-001	  1.73621E-001	  1.70925E-001	  1.73631E-001	
  1.04000E-002	  1.71968E-001	  1.73492E-001	  1.74560E-001	  1.70620E-001	  1.75536E-001	  1.69269E-001	  1.68333E-001	  1.71046E-001	  1.75701E-001	  1.71697E-001	  1.68782E-001	  1.71340E-001	  1.66582E-001	  1.72173E-001	
  1.12000E-002	  1.72664E-001	  1.74809E-001	  1.67706E-001	  1.75174E-001	  1.74203E-001	  1.69144E-001	  1.74949E-001	  1.68448E-001	  1.67946E-001	  1.70932E-001	  1.66176E-001	  1.71448E-001	  1.63518E-001	  1.70667E-001	
  1.20000E-002	  1.70541E-001	  1.66491E-001	  1.73237E-001	  1.71808E-001	  1.71648E-001	  1.72136E-001	  1.67926E-001	  1.66653E-001	  1.62766E-001	  1.65739E-001	  1.69039E-001	  1.68402E-001	  1.62458E-001	  1.71516E-001	
  1.28000E-002	  1.70864E-001	  1.69024E-001	  1.71032E-001	  1.72057E-001	  1.73308E-001	  1.70184E-001	  1.69579E-001	  1.66442E-001	  1.65890E-001	  1.66210E-001	  1.65316E-001	  1.68690E-001	  1.66030E-001	  1.66519E-001	
  1.44000E-002	  1.69707E-001	  1.68635E-001	  1.69559E-001	  1.73154E-001	  1.69460E-001	  1.67302E-001	  1.70133E-001	  1.64781E-001	  1.68044E-001	  1.63196E-001	  1.64678E-001	  1.66402E-001	  1.61056E-001	  1.65309E-001	
  1.60000E-002	  1.68806E-001	  1.69648E-001	  1.67467E-001	  1.73505E-001	  1.67659E-001	  1.66388E-001	  1.68166E-001	  1.63250E-001	  1.66440E-001	  1.62572E-001	  1.61227E-001	  1.64525E-001	  1.61743E-001	  1.62993E-001	
  1.76000E-002	  1.67858E-001	  1.68373E-001	  1.64878E-001	  1.73635E-001	  1.71438E-001	  1.66504E-001	  1.62320E-001	  1.61215E-001	  1.61824E-001	  1.63694E-001	  1.60403E-001	  1.63759E-001	  1.54796E-001	  1.62816E-001	
  1.92000E-002	  1.67262E-001	  1.68012E-001	  1.66975E-001	  1.71072E-001	  1.67523E-001	  1.62985E-001	  1.67002E-001	  1.60983E-001	  1.60207E-001	  1.63015E-001	  1.59440E-001	  1.63280E-001	  1.56614E-001	  1.63344E-001	
  2.08000E-002	  1.68032E-001	  1.68226E-001	  1.66279E-001	  1.73896E-001	  1.68504E-001	  1.65234E-001	  1.66052E-001	  1.60662E-001	  1.60687E-001	  1.61234E-001	  1.61058E-001	  1.62886E-001	  1.57978E-001	  1.60129E-001	
  2.24000E-002	  1.66343E-001	  1.63822E-001	  1.64572E-001	  1.69608E-001	  1.69433E-001	  1.65037E-001	  1.65584E-001	  1.57837E-001	  1.57095E-001	  1.58178E-001	  1.56637E-001	  1.59278E-001	  1.56570E-001	  1.59262E-001	
  2.40000E-002	  1.66639E-001	  1.66506E-001	  1.65586E-001	  1.69498E-001	  1.68411E-001	  1.63284E-001	  1.66551E-001	  1.57496E-001	  1.60997E-001	  1.57397E-001	  1.55365E-001	  1.59375E-001	  1.54510E-001	  1.57331E-001	
  2.56000E-002	  1.65917E-001	  1.67088E-001	  1.65269E-001	  1.69599E-001	  1.66954E-001	  1.63879E-001	  1.62716E-001	  1.57057E-001	  1.59209E-001	  1.57375E-001	  1.57123E-001	  1.57559E-001	  1.54725E-001	  1.56352E-001	
  2.88000E-002	  1.65359E-001	  1.65912E-001	  1.64397E-001	  1.67844E-001	  1.67132E-001	  1.62222E-001	  1.64649E-001	  1.56573E-001	  1.56895E-001	  1.56098E-001	  1.55249E-001	  1.60164E-001	  1.53650E-001	  1.57384E-001	
  3.20000E-002	  1.63711E-001	  1.65966E-001	  1.60192E-001	  1.66228E-001	  1.65826E-001	  1.61151E-001	  1.62901E-001	  1.54182E-001	  1.55319E-001	  1.53505E-001	  1.54338E-001	  1.57562E-001	  1.51408E-001	  1.52960E-001	
  3.52000E-002	  1.62431E-001	  1.61249E-001	  1.62839E-001	  1.65062E-001	  1.64346E-001	  1.59494E-001	  1.61597E-001	  1.53638E-001	  1.54018E-001	  1.53614E-001	  1.51838E-001	  1.56639E-001	  1.50426E-001	  1.55295E-001	
  3.84000E-002	  1.62905E-001	  1.60288E-001	  1.62844E-001	  1.66148E-001	  1.64930E-001	  1.61167E-001	  1.62051E-001	  1.52582E-001	  1.53731E-001	  1.50680E-001	  1.52027E-001	  1.56053E-001	  1.50374E-001	  1.52625E-001	
