ALV-5000/E-WIN Data
Date :	"06.12.2013"
Time :	"11:21:42"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	       0.00000
Duration [s]    :	        20
Runs            :	         6
Mode            :	"SINGLE CROSS CH0"
MeanCR0 [kHz]   :	     120.53282
MeanCR1 [kHz]   :	     127.29026

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 121.727"	" 2, 121.917"	" 3, 122.189"	" 4, 121.098"	" 5, 122.615"	" 6, 120.533"	
  2.00000E-004	  8.69183E-002	  8.78026E-002	  9.58368E-002	  8.58587E-002	  8.73398E-002	  8.53973E-002	  7.92743E-002	
  4.00000E-004	  9.22495E-002	  9.03666E-002	  9.29490E-002	  9.55746E-002	  9.44082E-002	  8.52688E-002	  9.49296E-002	
  6.00000E-004	  9.31172E-002	  9.53638E-002	  1.00678E-001	  8.96803E-002	  8.53911E-002	  9.59503E-002	  9.16398E-002	
  8.00000E-004	  8.90765E-002	  9.07259E-002	  8.72568E-002	  8.78181E-002	  9.44247E-002	  8.91238E-002	  8.51099E-002	
  1.00000E-003	  9.33515E-002	  9.59354E-002	  9.10294E-002	  9.90399E-002	  9.30870E-002	  9.45850E-002	  8.64324E-002	
  1.20000E-003	  9.33058E-002	  9.30775E-002	  9.17638E-002	  9.18016E-002	  9.37476E-002	  9.92591E-002	  9.01851E-002	
  1.40000E-003	  9.14104E-002	  9.30449E-002	  9.57367E-002	  8.55834E-002	  8.97014E-002	  9.55166E-002	  8.88791E-002	
  1.60000E-003	  9.02426E-002	  8.87988E-002	  9.18139E-002	  8.82067E-002	  8.64645E-002	  9.13083E-002	  9.48635E-002	
  1.80000E-003	  8.89854E-002	  9.17384E-002	  9.23147E-002	  8.91621E-002	  8.43176E-002	  9.26254E-002	  8.37543E-002	
  2.00000E-003	  8.78140E-002	  8.50100E-002	  9.89250E-002	  8.10008E-002	  8.69269E-002	  8.19600E-002	  9.30615E-002	
  2.20000E-003	  8.92800E-002	  9.40084E-002	  7.72579E-002	  9.30484E-002	  8.63820E-002	  9.46492E-002	  9.03338E-002	
  2.40000E-003	  9.05687E-002	  8.96154E-002	  8.59047E-002	  9.16073E-002	  8.89252E-002	  9.25290E-002	  9.48304E-002	
  2.60000E-003	  9.19941E-002	  9.50699E-002	  9.60038E-002	  8.40775E-002	  8.45653E-002	  9.55166E-002	  9.67315E-002	
  2.80000E-003	  9.07419E-002	  9.73889E-002	  9.00111E-002	  8.39156E-002	  9.31861E-002	  9.26575E-002	  8.72920E-002	
  3.00000E-003	  8.99287E-002	  9.29142E-002	  8.82083E-002	  9.49107E-002	  9.48706E-002	  8.38393E-002	  8.48289E-002	
  3.20000E-003	  8.64205E-002	  8.93945E-002	  8.83845E-002	  8.65955E-002	  8.43176E-002	  8.84500E-002	  8.13812E-002	
  3.60000E-003	  9.01369E-002	  9.02028E-002	  9.34340E-002	  8.96965E-002	  8.90161E-002	  8.94700E-002	  8.90022E-002	
  4.00000E-003	  8.92702E-002	  8.55485E-002	  8.97616E-002	  8.97613E-002	  8.71664E-002	  9.05381E-002	  9.28453E-002	
  4.40000E-003	  9.15370E-002	  9.62208E-002	  9.64215E-002	  8.97370E-002	  8.63081E-002	  9.26985E-002	  8.78363E-002	
  4.80000E-003	  9.19419E-002	  9.45142E-002	  9.26573E-002	  9.29513E-002	  8.27161E-002	  9.51159E-002	  9.36967E-002	
  5.20000E-003	  9.04880E-002	  9.00477E-002	  9.27742E-002	  9.57284E-002	  8.65558E-002	  8.90845E-002	  8.87372E-002	
  5.60000E-003	  9.17932E-002	  9.07336E-002	  9.32165E-002	  9.05790E-002	  9.20883E-002	  9.54131E-002	  8.87290E-002	
  6.00000E-003	  9.07395E-002	  8.97860E-002	  9.40845E-002	  8.99394E-002	  8.81247E-002	  9.41040E-002	  8.83983E-002	
  6.40000E-003	  9.01614E-002	  8.78464E-002	  9.19330E-002	  9.25037E-002	  8.94575E-002	  8.74907E-002	  9.17373E-002	
  7.20000E-003	  8.93148E-002	  9.03573E-002	  9.17410E-002	  8.73057E-002	  8.89047E-002	  9.10003E-002	  8.65800E-002	
  8.00000E-003	  8.95800E-002	  8.96061E-002	  9.19752E-002	  8.96735E-002	  8.72449E-002	  9.07554E-002	  8.82249E-002	
  8.80000E-003	  8.96569E-002	  8.87814E-002	  8.82736E-002	  9.22279E-002	  8.57958E-002	  9.13979E-002	  9.14650E-002	
  9.60000E-003	  8.78422E-002	  9.05156E-002	  8.93967E-002	  8.50301E-002	  8.76619E-002	  9.11047E-002	  8.33440E-002	
  1.04000E-002	  8.84787E-002	  8.96787E-002	  9.18588E-002	  8.69814E-002	  8.61756E-002	  8.92134E-002	  8.69643E-002	
  1.12000E-002	  8.80768E-002	  8.59348E-002	  9.01641E-002	  8.76453E-002	  8.88588E-002	  8.85588E-002	  8.72991E-002	
  1.20000E-002	  8.98889E-002	  8.99644E-002	  8.76435E-002	  8.86371E-002	  9.03245E-002	  9.60520E-002	  8.67118E-002	
  1.28000E-002	  9.00523E-002	  9.03960E-002	  9.05671E-002	  9.15063E-002	  9.05037E-002	  9.09857E-002	  8.63550E-002	
  1.44000E-002	  8.91344E-002	  8.80827E-002	  9.48195E-002	  8.70087E-002	  8.63115E-002	  8.90963E-002	  8.94876E-002	
  1.60000E-002	  8.81674E-002	  8.79357E-002	  9.25315E-002	  8.56323E-002	  8.73444E-002	  8.91084E-002	  8.64521E-002	
  1.76000E-002	  8.86240E-002	  8.58167E-002	  9.20875E-002	  8.84377E-002	  8.86965E-002	  9.14274E-002	  8.52783E-002	
  1.92000E-002	  8.93255E-002	  8.58551E-002	  9.14031E-002	  8.98081E-002	  8.96312E-002	  8.91746E-002	  9.00812E-002	
  2.08000E-002	  8.74772E-002	  8.67247E-002	  9.03269E-002	  8.56485E-002	  8.90929E-002	  8.82912E-002	  8.47792E-002	
  2.24000E-002	  8.77797E-002	  8.72983E-002	  9.14437E-002	  8.75147E-002	  8.69294E-002	  8.79459E-002	  8.55463E-002	
  2.40000E-002	  8.83296E-002	  8.68533E-002	  8.97457E-002	  8.95105E-002	  8.64835E-002	  9.07227E-002	  8.66622E-002	
  2.56000E-002	  8.70857E-002	  8.60326E-002	  8.92877E-002	  8.62917E-002	  8.64928E-002	  8.92802E-002	  8.51293E-002	
  2.88000E-002	  8.66296E-002	  8.57309E-002	  8.80018E-002	  8.63211E-002	  8.71296E-002	  8.86176E-002	  8.39763E-002	
  3.20000E-002	  8.68814E-002	  8.68542E-002	  8.94499E-002	  8.69718E-002	  8.55221E-002	  8.74696E-002	  8.50208E-002	
  3.52000E-002	  8.53526E-002	  8.50791E-002	  8.79141E-002	  8.48485E-002	  8.43061E-002	  8.55792E-002	  8.43885E-002	
  3.84000E-002	  8.64506E-002	  8.56436E-002	  8.93216E-002	  8.83381E-002	  8.57674E-002	  8.79158E-002	  8.17172E-002	
  4.16000E-002	  8.57843E-002	  8.54549E-002	  9.01203E-002	  8.71025E-002	  8.50310E-002	  8.48765E-002	  8.21207E-002	
  4.48000E-002	  8.54793E-002	  8.39896E-002	  8.81412E-002	  8.55571E-002	  8.41867E-002	  8.64175E-002	  8.45839E-002	
  4.80000E-002	  8.43562E-002	  8.33374E-002	  8.68052E-002	  8.50424E-002	  8.26735E-002	  8.57198E-002	  8.25588E-002	
  5.12000E-002	  8.41082E-002	  8.29334E-002	  8.60360E-002	  8.39335E-002	  8.28524E-002	  8.60998E-002	  8.27942E-002	
  5.76000E-002	  8.35261E-002	  8.16815E-002	  8.64074E-002	  8.33850E-002	  8.39300E-002	  8.48358E-002	  8.09168E-002	
  6.40000E-002	  8.23503E-002	  8.21107E-002	  8.45461E-002	  8.21902E-002	  8.21361E-002	  8.20720E-002	  8.10466E-002	
  7.04000E-002	  8.22076E-002	  8.15299E-002	  8.63975E-002	  8.17165E-002	  8.05718E-002	  8.26457E-002	  8.03840E-002	
  7.68000E-002	  8.16278E-002	  8.13585E-002	  8.60134E-002	  8.09371E-002	  8.04056E-002	  8.19551E-002	  7.90970E-002	
  8.32000E-002	  8.06094E-002	  8.12422E-002	  8.40233E-002	  7.95440E-002	  7.90649E-002	  8.16956E-002	  7.80866E-002	
  8.96000E-002	  8.05538E-002	  8.08038E-002	  8.30421E-002	  8.10075E-002	  7.95352E-002	  8.18046E-002	  7.71295E-002	
  9.60000E-002	  8.03479E-002	  7.96799E-002	  8.30126E-002	  8.01812E-002	  8.03279E-002	  8.06179E-002	  7.82677E-002	
  1.02400E-001	  7.90183E-002	  7.84445E-002	  8.24848E-002	  7.83097E-002	  7.92824E-002	  7.90607E-002	  7.65278E-002	
  1.15200E-001	  7.78805E-002	  7.86325E-002	  7.97299E-002	  7.71237E-002	  7.75459E-002	  7.88743E-002	  7.53767E-002	
  1.28000E-001	  7.65168E-002	  7.63401E-002	  7.87680E-002	  7.64428E-002	  7.71263E-002	  7.63406E-002	  7.40827E-002	
  1.40800E-001	  7.52622E-002	  7.55140E-002	  7.71610E-002	  7.46595E-002	  7.53525E-002	  7.59562E-002	  7.29297E-002	
  1.53600E-001	  7.49470E-002	  7.48037E-002	  7.73062E-002	  7.42367E-002	  7.48565E-002	  7.58631E-002	  7.26158E-002	
  1.66400E-001	  7.34807E-002	  7.29942E-002	  7.63140E-002	  7.31721E-002	  7.42898E-002	  7.34783E-002	  7.06358E-002	
  1.79200E-001	  7.23038E-002	  7.27891E-002	  7.45638E-002	  7.21160E-002	  7.22828E-002	  7.32677E-002	  6.88036E-002	
  1.92000E-001	  7.14222E-002	  7.17998E-002	  7.38747E-002	  7.01071E-002	  7.09528E-002	  7.28740E-002	  6.89245E-002	
  2.04800E-001	  7.04136E-002	  7.10879E-002	  7.25781E-002	  7.01943E-002	  6.97009E-002	  7.11992E-002	  6.77213E-002	
  2.30400E-001	  6.84414E-002	  6.85130E-002	  7.09802E-002	  6.71900E-002	  6.83131E-002	  6.99246E-002	  6.57276E-002	
  2.56000E-001	  6.68625E-002	  6.69787E-002	  6.95677E-002	  6.63567E-002	  6.64228E-002	  6.85663E-002	  6.32830E-002	
  2.81600E-001	  6.51361E-002	  6.48563E-002	  6.79362E-002	  6.49612E-002	  6.45092E-002	  6.65022E-002	  6.20517E-002	
  3.07200E-001	  6.31616E-002	  6.33433E-002	  6.57017E-002	  6.28463E-002	  6.24127E-002	  6.42430E-002	  6.04224E-002	
  3.32800E-001	  6.15037E-002	  6.18301E-002	  6.41382E-002	  6.17266E-002	  6.11927E-002	  6.23733E-002	  5.77614E-002	
  3.58400E-001	  6.02646E-002	  5.99519E-002	  6.24484E-002	  5.98561E-002	  6.04508E-002	  6.16691E-002	  5.72110E-002	
  3.84000E-001	  5.86360E-002	  5.82482E-002	  6.12691E-002	  5.81734E-002	  5.84933E-002	  6.03807E-002	  5.52513E-002	
  4.09600E-001	  5.73775E-002	  5.69113E-002	  5.95617E-002	  5.71749E-002	  5.74243E-002	  5.90447E-002	  5.41478E-002	
  4.60800E-001	  5.48135E-002	  5.43492E-002	  5.69429E-002	  5.40598E-002	  5.48944E-002	  5.65829E-002	  5.20516E-002	
  5.12000E-001	  5.27507E-002	  5.22365E-002	  5.55203E-002	  5.27255E-002	  5.25465E-002	  5.40687E-002	  4.94068E-002	
  5.63200E-001	  5.06588E-002	  5.04123E-002	  5.34975E-002	  5.00512E-002	  5.08773E-002	  5.16937E-002	  4.74205E-002	
  6.14400E-001	  4.87719E-002	  4.80539E-002	  5.14612E-002	  4.79394E-002	  4.93160E-002	  4.99905E-002	  4.58702E-002	
  6.65600E-001	  4.67331E-002	  4.64740E-002	  4.98560E-002	  4.54211E-002	  4.72117E-002	  4.81381E-002	  4.32976E-002	
  7.16800E-001	  4.49150E-002	  4.48122E-002	  4.77261E-002	  4.35365E-002	  4.52814E-002	  4.66376E-002	  4.14963E-002	
  7.68000E-001	  4.33127E-002	  4.29637E-002	  4.61377E-002	  4.20425E-002	  4.34084E-002	  4.48356E-002	  4.04883E-002	
  8.19200E-001	  4.17599E-002	  4.12267E-002	  4.47801E-002	  4.05326E-002	  4.21927E-002	  4.32691E-002	  3.85583E-002	
  9.21600E-001	  3.90526E-002	  3.87840E-002	  4.14395E-002	  3.83808E-002	  3.90842E-002	  4.06737E-002	  3.59532E-002	
  1.02400E+000	  3.65087E-002	  3.63467E-002	  3.90086E-002	  3.59046E-002	  3.61687E-002	  3.82344E-002	  3.33893E-002	
  1.12640E+000	  3.44607E-002	  3.41090E-002	  3.67067E-002	  3.40145E-002	  3.43912E-002	  3.60724E-002	  3.14703E-002	
  1.22880E+000	  3.26698E-002	  3.27895E-002	  3.43947E-002	  3.25255E-002	  3.25629E-002	  3.40342E-002	  2.97116E-002	
  1.33120E+000	  3.09659E-002	  3.08589E-002	  3.30451E-002	  3.11315E-002	  3.07623E-002	  3.20893E-002	  2.79083E-002	
  1.43360E+000	  2.92732E-002	  2.93002E-002	  3.10366E-002	  2.99407E-002	  2.86369E-002	  3.01560E-002	  2.65685E-002	
  1.53600E+000	  2.76054E-002	  2.73896E-002	  2.90921E-002	  2.76197E-002	  2.76558E-002	  2.88393E-002	  2.50360E-002	
  1.63840E+000	  2.63046E-002	  2.57045E-002	  2.87702E-002	  2.64698E-002	  2.55291E-002	  2.76180E-002	  2.37362E-002	
