ALV-5000/E-WIN Data
Date :	"06.12.2013"
Time :	"12:58:32"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	       0.00000
Duration [s]    :	        20
Runs            :	         6
Mode            :	"SINGLE CROSS CH0"
MeanCR0 [kHz]   :	     100.35390
MeanCR1 [kHz]   :	      96.75777

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  99.876"	" 2,  98.214"	" 3,  99.981"	" 4, 101.263"	" 5, 100.263"	" 6, 100.354"	
  2.00000E-004	  7.42037E-002	  7.44109E-002	  7.22684E-002	  6.29177E-002	  8.01035E-002	  7.80339E-002	  7.74879E-002	
  4.00000E-004	  7.42324E-002	  7.75580E-002	  7.33116E-002	  6.98110E-002	  7.07200E-002	  6.85527E-002	  8.54412E-002	
  6.00000E-004	  7.25496E-002	  6.47334E-002	  7.48897E-002	  6.95760E-002	  7.17216E-002	  7.79033E-002	  7.64737E-002	
  8.00000E-004	  7.82366E-002	  7.50403E-002	  7.69226E-002	  8.12214E-002	  7.53590E-002	  7.35937E-002	  8.72827E-002	
  1.00000E-003	  7.87586E-002	  6.98737E-002	  6.94332E-002	  7.21087E-002	  8.57178E-002	  7.98883E-002	  9.55296E-002	
  1.20000E-003	  7.99932E-002	  7.23914E-002	  8.88521E-002	  7.67042E-002	  7.15371E-002	  9.48545E-002	  7.56196E-002	
  1.40000E-003	  7.75599E-002	  7.54075E-002	  7.91427E-002	  8.09342E-002	  7.27496E-002	  8.76979E-002	  6.94278E-002	
  1.60000E-003	  7.68030E-002	  6.86935E-002	  8.55621E-002	  7.35709E-002	  6.97974E-002	  7.86869E-002	  8.45071E-002	
  1.80000E-003	  7.49358E-002	  8.09937E-002	  7.93566E-002	  7.23176E-002	  7.26441E-002	  6.37990E-002	  8.05037E-002	
  2.00000E-003	  7.75891E-002	  7.43584E-002	  7.81797E-002	  8.16653E-002	  8.37145E-002	  7.94965E-002	  6.81200E-002	
  2.20000E-003	  7.84847E-002	  7.54599E-002	  8.02661E-002	  7.97070E-002	  8.08151E-002	  8.32838E-002	  7.13761E-002	
  2.40000E-003	  7.15542E-002	  7.32045E-002	  7.40873E-002	  6.30483E-002	  7.41465E-002	  6.86049E-002	  7.62335E-002	
  2.60000E-003	  7.52301E-002	  7.79252E-002	  7.65214E-002	  6.85577E-002	  7.81793E-002	  7.13213E-002	  7.88757E-002	
  2.80000E-003	  7.62596E-002	  7.05294E-002	  7.56654E-002	  7.93414E-002	  7.00610E-002	  8.14032E-002	  8.05571E-002	
  3.00000E-003	  7.54623E-002	  7.44895E-002	  7.48897E-002	  7.77748E-002	  7.59125E-002	  7.29668E-002	  7.67406E-002	
