ALV-5000/E-WIN Data
Date :	"20-Dec-12"
Time :	"14:26:43"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     500.00000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"DUAL AUTO CH0"
MeanCR0 [kHz]   :	      84.85808
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	"Run  1"	"Run  2"	"Run  3"	"Run  4"	"Run  5"	"Run  6"	"Average(1)"	" 1,   0.000"	" 2,   0.000"	" 3,   0.000"	" 4,   0.000"	" 5,   0.000"	" 6,   0.000"	
  4.00000E-004	  2.12469E-001	  2.20928E-001	  2.06353E-001	  2.10407E-001	  2.14532E-001	  2.12258E-001	  2.10333E-001	  2.93012E-001	  2.88458E-001	  2.99292E-001	  2.98429E-001	  2.93936E-001	  2.35530E-001	  3.42425E-001	
  8.00000E-004	  1.80487E-001	  1.79667E-001	  1.83217E-001	  1.81228E-001	  1.78219E-001	  1.81041E-001	  1.79553E-001	  1.02539E-001	  1.24389E-001	  9.69246E-002	  1.06537E-001	  1.00642E-001	  6.95801E-002	  1.17163E-001	
  1.20000E-003	  1.69191E-001	  1.73525E-001	  1.66772E-001	  1.69411E-001	  1.65008E-001	  1.73104E-001	  1.67326E-001	  1.08504E-001	  1.66840E-001	  1.13022E-001	  9.50466E-002	  5.74348E-002	  8.32198E-002	  1.35458E-001	
  1.60000E-003	  1.62254E-001	  1.67442E-001	  1.64851E-001	  1.58418E-001	  1.61750E-001	  1.61741E-001	  1.59320E-001	  1.10831E-001	  1.42746E-001	  9.00257E-002	  7.78108E-002	  1.16560E-001	  1.28685E-001	  1.09158E-001	
  2.00000E-003	  1.60004E-001	  1.54934E-001	  1.59592E-001	  1.63209E-001	  1.66122E-001	  1.56230E-001	  1.59935E-001	  1.10312E-001	  1.56514E-001	  7.39283E-002	  1.13431E-001	  1.42712E-001	  7.29900E-002	  1.02298E-001	
  2.40000E-003	  1.53541E-001	  1.52776E-001	  1.54870E-001	  1.49313E-001	  1.52639E-001	  1.53592E-001	  1.58055E-001	  9.49154E-002	  7.39059E-002	  1.46367E-001	  9.50466E-002	  7.10792E-002	  1.05953E-001	  7.71415E-002	
  2.80000E-003	  1.48278E-001	  1.47345E-001	  1.50743E-001	  1.50675E-001	  1.49097E-001	  1.44395E-001	  1.47413E-001	  8.00884E-002	  8.65266E-002	  1.06884E-002	  9.15994E-002	  1.29068E-001	  8.32198E-002	  7.94284E-002	
  3.20000E-003	  1.49275E-001	  1.48697E-001	  1.52520E-001	  1.48130E-001	  1.49405E-001	  1.49447E-001	  1.47448E-001	  1.06644E-001	  5.66959E-002	  1.34869E-001	  1.28369E-001	  1.23382E-001	  1.50282E-001	  4.62680E-002	
  3.60000E-003	  1.44398E-001	  1.52171E-001	  1.39903E-001	  1.42777E-001	  1.39015E-001	  1.47998E-001	  1.44527E-001	  7.03150E-002	  9.91473E-002	  7.23895E-003	  1.37561E-001	  4.72016E-002	  6.50335E-002	  6.57069E-002	
  4.00000E-003	  1.40697E-001	  1.37646E-001	  1.43659E-001	  1.44796E-001	  1.31539E-001	  1.42699E-001	  1.43842E-001	  8.11203E-002	  3.14545E-002	  1.02674E-001	  9.38975E-002	  6.19829E-002	  1.23002E-001	  7.37111E-002	
