ALV-5000/E-WIN Data
Date :	"20-Dec-12"
Time :	"14:30:02"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     500.00000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"DUAL CROSS CH0"
MeanCR0 [kHz]   :	       8.70626
MeanCR1 [kHz]   :	       8.70630

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	"Run  1"	"Run  2"	"Run  3"	"Run  4"	"Run  5"	"Run  6"	"Average(1)"	" 1,   8.600"	" 2,   8.610"	" 3,   8.693"	" 4,   8.705"	" 5,   8.661"	" 6,   8.706"	
  4.00000E-004	  1.32009E-001	  1.36084E-001	  1.20589E-001	  1.29887E-001	  1.39040E-001	  1.39208E-001	  1.27248E-001	  1.24977E-001	  1.30322E-001	  1.28310E-001	  1.22531E-001	  1.34583E-001	  1.11686E-001	  1.22428E-001	
  8.00000E-004	  1.28505E-001	  1.20928E-001	  1.36030E-001	  1.28049E-001	  1.23615E-001	  1.35276E-001	  1.27133E-001	  1.27756E-001	  1.23508E-001	  1.18719E-001	  1.30114E-001	  1.22129E-001	  1.35622E-001	  1.36443E-001	
  1.20000E-003	  1.22869E-001	  1.17286E-001	  1.35445E-001	  1.24487E-001	  1.32870E-001	  1.15156E-001	  1.11970E-001	  1.32055E-001	  1.49002E-001	  1.22345E-001	  1.33216E-001	  1.53436E-001	  1.09720E-001	  1.24611E-001	
  1.60000E-003	  1.12917E-001	  1.31854E-001	  1.09243E-001	  1.03576E-001	  1.04534E-001	  1.18163E-001	  1.10132E-001	  1.23552E-001	  1.29500E-001	  1.42230E-001	  1.14948E-001	  1.36526E-001	  1.05789E-001	  1.12320E-001	
  2.00000E-003	  1.13176E-001	  1.13174E-001	  9.40368E-002	  1.12998E-001	  1.23158E-001	  1.07178E-001	  1.28511E-001	  1.13481E-001	  1.08000E-001	  1.19421E-001	  1.10582E-001	  1.23500E-001	  1.07870E-001	  1.11515E-001	
  2.40000E-003	  1.18273E-001	  1.19636E-001	  9.70781E-002	  1.32760E-001	  1.15617E-001	  1.27066E-001	  1.17484E-001	  1.18195E-001	  1.11054E-001	  1.24216E-001	  1.36548E-001	  9.98488E-002	  1.20358E-001	  1.17144E-001	
  2.80000E-003	  1.09101E-001	  1.13291E-001	  1.23865E-001	  1.13113E-001	  1.18816E-001	  9.42270E-002	  9.12926E-002	  1.10259E-001	  1.16576E-001	  1.12285E-001	  1.11961E-001	  1.03848E-001	  1.11917E-001	  1.04968E-001	
  3.20000E-003	  1.13882E-001	  1.31267E-001	  1.04213E-001	  1.16559E-001	  1.25329E-001	  8.74047E-002	  1.18517E-001	  1.05380E-001	  1.15871E-001	  1.08776E-001	  9.88625E-002	  1.04876E-001	  1.10298E-001	  9.35952E-002	
  3.60000E-003	  1.01705E-001	  1.06360E-001	  9.63762E-002	  1.13572E-001	  1.07962E-001	  1.09259E-001	  7.67037E-002	  1.01779E-001	  9.51939E-002	  1.08776E-001	  8.76027E-002	  1.18359E-001	  8.50907E-002	  1.15651E-001	
  4.00000E-003	  9.93575E-002	  1.12469E-001	  8.50300E-002	  9.13973E-002	  1.19730E-001	  1.01281E-001	  8.62382E-002	  1.15942E-001	  9.67212E-002	  1.06554E-001	  1.16097E-001	  1.34126E-001	  1.28684E-001	  1.13468E-001	
  4.40000E-003	  9.38434E-002	  8.75622E-002	  9.87157E-002	  9.09377E-002	  8.84234E-002	  1.04865E-001	  9.25562E-002	  9.78479E-002	  8.57952E-002	  1.22813E-001	  9.08198E-002	  1.01448E-001	  7.65339E-002	  1.09677E-001	
  4.80000E-003	  1.06709E-001	  1.05890E-001	  1.17899E-001	  1.05874E-001	  1.04762E-001	  1.07872E-001	  9.79552E-002	  1.02405E-001	  8.74399E-002	  1.09946E-001	  9.36922E-002	  1.23729E-001	  1.06830E-001	  9.27911E-002	
  5.20000E-003	  9.47794E-002	  1.06947E-001	  9.19313E-002	  9.12824E-002	  9.45934E-002	  9.58458E-002	  8.80761E-002	  1.08866E-001	  1.23978E-001	  9.87166E-002	  1.03573E-001	  1.11617E-001	  9.97760E-002	  1.15536E-001	
  5.60000E-003	  9.57122E-002	  9.08518E-002	  8.86561E-002	  7.78395E-002	  1.02591E-001	  1.08912E-001	  1.05422E-001	  1.10310E-001	  1.27150E-001	  1.03629E-001	  1.09203E-001	  1.01448E-001	  1.08911E-001	  1.11515E-001	
  6.00000E-003	  1.00943E-001	  1.09649E-001	  8.59658E-002	  9.67974E-002	  9.33365E-002	  1.17932E-001	  1.01976E-001	  9.85434E-002	  9.68387E-002	  9.60262E-002	  1.17476E-001	  9.43644E-002	  1.11455E-001	  7.51005E-002	
  6.40000E-003	  9.89179E-002	  1.01950E-001	  1.00295E-001	  1.00638E-001	  8.84192E-002	  1.06889E-001	  9.53174E-002	  9.83098E-002	  1.05180E-001	  1.03278E-001	  9.60467E-002	  1.03678E-001	  8.57280E-002	  9.59488E-002	
  7.20000E-003	  9.31792E-002	  9.56056E-002	  1.03862E-001	  9.02972E-002	  9.57888E-002	  9.45160E-002	  7.90054E-002	  9.18563E-002	  7.37530E-002	  9.02352E-002	  8.57635E-002	  1.01735E-001	  1.11456E-001	  8.81948E-002	
  8.00000E-003	  9.90466E-002	  1.01715E-001	  1.06319E-001	  9.38590E-002	  9.33322E-002	  9.93148E-002	  9.97400E-002	  9.48417E-002	  9.94234E-002	  9.25162E-002	  8.57635E-002	  1.02649E-001	  9.65974E-002	  9.21005E-002	
  8.80000E-003	  8.93093E-002	  8.89677E-002	  9.48556E-002	  8.63908E-002	  9.81882E-002	  8.87922E-002	  7.86612E-002	  9.03982E-002	  8.55014E-002	  1.05500E-001	  8.90955E-002	  7.77983E-002	  9.49207E-002	  8.95733E-002	
  9.60000E-003	  9.37184E-002	  8.09200E-002	  1.07489E-001	  9.55254E-002	  1.04986E-001	  8.31845E-002	  9.02060E-002	  8.50458E-002	  9.04946E-002	  8.09360E-002	  7.80081E-002	  8.79673E-002	  7.39335E-002	  9.89355E-002	
  1.04000E-002	  8.55800E-002	  9.50182E-002	  8.37433E-002	  8.02448E-002	  8.42483E-002	  9.10475E-002	  7.91781E-002	  8.95093E-002	  9.03771E-002	  9.21068E-002	  9.70233E-002	  9.08808E-002	  7.48586E-002	  9.18090E-002	
  1.12000E-002	  8.73870E-002	  8.41512E-002	  8.43286E-002	  9.05279E-002	  8.48196E-002	  8.91974E-002	  9.12973E-002	  8.78906E-002	  8.89672E-002	  8.22811E-002	  9.20254E-002	  7.98549E-002	  9.68287E-002	  8.73864E-002	
  1.20000E-002	  8.20317E-002	  8.55611E-002	  8.29249E-002	  8.93215E-002	  8.31058E-002	  7.43965E-002	  7.68806E-002	  8.31134E-002	  8.72637E-002	  6.74257E-002	  9.35190E-002	  7.89409E-002	  8.07558E-002	  9.07752E-002	
  1.28000E-002	  7.83266E-002	  7.59200E-002	  8.20751E-002	  7.63907E-002	  8.88796E-002	  7.98103E-002	  6.68841E-002	  7.87967E-002	  7.35116E-002	  6.80372E-002	  8.90012E-002	  7.69678E-002	  7.86213E-002	  8.66410E-002	
  1.44000E-002	  7.55342E-002	  7.78585E-002	  7.77472E-002	  7.64194E-002	  8.24807E-002	  6.49515E-002	  7.37478E-002	  7.74855E-002	  7.88865E-002	  7.61668E-002	  7.75118E-002	  6.83127E-002	  7.98643E-002	  8.41712E-002	
  1.60000E-002	  7.75399E-002	  6.99870E-002	  8.07884E-002	  7.41502E-002	  8.63655E-002	  8.66905E-002	  6.72579E-002	  7.18283E-002	  6.63157E-002	  7.27161E-002	  8.79385E-002	  6.79414E-002	  7.02668E-002	  6.57915E-002	
  1.76000E-002	  7.25643E-002	  7.27479E-002	  7.29221E-002	  7.38630E-002	  8.06811E-002	  7.00104E-002	  6.51614E-002	  7.31035E-002	  7.22192E-002	  6.97626E-002	  8.29118E-002	  6.62275E-002	  6.83258E-002	  7.91742E-002	
  1.92000E-002	  6.75812E-002	  5.88852E-002	  7.13137E-002	  6.41544E-002	  6.99123E-002	  6.85072E-002	  7.27143E-002	  7.18963E-002	  6.76667E-002	  6.91485E-002	  7.27436E-002	  7.59394E-002	  7.08119E-002	  7.50675E-002	
  2.08000E-002	  7.15676E-002	  7.00168E-002	  6.92375E-002	  6.78310E-002	  7.91958E-002	  7.39135E-002	  6.92107E-002	  6.73802E-002	  6.56989E-002	  6.70722E-002	  7.62192E-002	  6.45422E-002	  6.70538E-002	  6.36951E-002	
