ALV-5000/E-WIN Data
Date :	"20-Dec-12"
Time :	"15:32:09"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     500.00000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"DUAL AUTO CH0"
MeanCR0 [kHz]   :	       1.34873
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	"Run  1"	"Run  2"	"Run  3"	"Run  4"	"Run  5"	"Run  6"	"Average(1)"	" 1,   0.000"	" 2,   0.000"	" 3,   0.000"	" 4,   0.000"	" 5,   0.000"	" 6,   0.000"	
  4.00000E-004	  2.90623E+000	  2.92270E+000	  2.71042E+000	  3.14674E+000	  2.66787E+000	  2.96407E+000	  3.02558E+000	  5.03389E-001	  5.15885E-001	  5.10574E-001	  5.07139E-001	  4.87359E-001	  4.93251E-001	  5.06127E-001	
  8.00000E-004	  1.18696E+000	  1.30747E+000	  9.87728E-001	  8.72721E-001	  1.30940E+000	  1.35079E+000	  1.29364E+000	  4.62205E-001	  4.72362E-001	  4.57841E-001	  4.60893E-001	  4.62074E-001	  4.55377E-001	  4.64687E-001	
  1.20000E-003	  5.06083E-001	  4.76780E-001	  7.66869E-001	  7.38955E-001	  4.49035E-001	  6.01594E-002	  5.44698E-001	  4.46611E-001	  4.70856E-001	  4.43215E-001	  4.48262E-001	  4.20940E-001	  4.43335E-001	  4.53057E-001	
  1.60000E-003	  6.16985E-001	  8.92125E-001	  7.22697E-001	  2.03892E-001	  6.30164E-001	  5.21098E-001	  7.31934E-001	  4.39295E-001	  4.59460E-001	  4.29126E-001	  4.36377E-001	  4.37091E-001	  4.41071E-001	  4.32641E-001	
  2.00000E-003	  4.57041E-001	  4.30631E-001	  4.57667E-001	  1.14715E-001	  9.47141E-001	  6.01594E-002	  7.31934E-001	  4.29499E-001	  4.51177E-001	  4.24235E-001	  4.17779E-001	  4.25685E-001	  4.17657E-001	  4.40462E-001	
  2.40000E-003	  3.50035E-001	  6.61378E-001	  5.01839E-001	  1.14715E-001	  3.13188E-001	  1.98441E-001	  3.10652E-001	  4.26050E-001	  4.50575E-001	  4.14940E-001	  4.15442E-001	  4.17458E-001	  4.19201E-001	  4.38685E-001	
  2.80000E-003	  6.08606E-001	  9.38274E-001	  6.34354E-001	  1.59303E-001	  7.66011E-001	  8.89849E-001	  2.63843E-001	  4.20310E-001	  4.23868E-001	  4.27072E-001	  4.08828E-001	  4.17407E-001	  4.27177E-001	  4.17507E-001	
  3.20000E-003	  3.93803E-001	  6.15228E-001	  5.01839E-001	  3.82246E-001	  5.84882E-001	 -3.20284E-002	  3.10652E-001	  4.11692E-001	  4.09712E-001	  4.23599E-001	  4.10420E-001	  4.00601E-001	  4.02270E-001	  4.23551E-001	
  3.60000E-003	  2.38885E-001	  1.99884E-001	 -1.16565E-001	  2.48480E-001	  4.03752E-001	  1.06253E-001	  5.91507E-001	  4.07063E-001	  4.20806E-001	  4.00461E-001	  4.11414E-001	  3.98784E-001	  4.11739E-001	  3.99174E-001	
  4.00000E-003	  3.56342E-001	  3.38332E-001	  4.57667E-001	  2.93069E-001	  4.03752E-001	  4.75004E-001	  1.70225E-001	  4.09021E-001	  4.14531E-001	  4.16163E-001	  4.11215E-001	  4.07162E-001	  4.02373E-001	  4.02678E-001	
