5/15/2013	10:23 AM
Pseudo Cross Correlation
Scattering angle:	35.0
Duration (s):	60
Wavelength (nm):	660.0
Refractive index:	1.400
Viscosity (mPas):	0.895
Temperature (K):	329.1
Laser intensity (mW):	95.832746
Average Count rate  A (kHz):	281.2
Average Count rate  B (kHz):	293.5
Intercept:	1.0000
Cumulant 1st	-Inf
Cumulant 2nd	-Inf	NaN
Cumulant 3rd	-Inf	NaN

Lag time (s)         g2-1
1.250000E-8	1.314958
2.500000E-8	1.321800
3.750000E-8	1.314354
5.000000E-8	1.317930
6.250000E-8	1.311365
7.500000E-8	1.310287
8.750000E-8	1.317685
1.000000E-7	1.312819
1.125000E-7	1.300652
1.250000E-7	1.304800
1.375000E-7	1.315578
1.500000E-7	1.306744
1.625000E-7	1.301240
1.750000E-7	1.299460
1.875000E-7	1.302971
2.000000E-7	1.295116
2.125000E-7	1.306025
2.250000E-7	1.290495
2.375000E-7	1.294496
2.500000E-7	1.304964
2.625000E-7	1.291622
2.750000E-7	1.290495
2.875000E-7	1.292699
3.000000E-7	1.309406
3.125000E-7	1.308230
3.250000E-7	1.282738
3.375000E-7	1.289074
3.500000E-7	1.302089
3.625000E-7	1.291540
3.750000E-7	1.301273
3.875000E-7	1.290430
4.000000E-7	1.292895
4.125000E-7	1.295067
4.250000E-7	1.296456
4.375000E-7	1.279472
4.500000E-7	1.296423
4.625000E-7	1.290299
4.750000E-7	1.287898
4.875000E-7	1.281464
5.000000E-7	1.283750
5.125000E-7	1.273789
5.250000E-7	1.288503
5.375000E-7	1.292291
5.500000E-7	1.281791
5.625000E-7	1.283603
5.750000E-7	1.282281
5.875000E-7	1.290609
6.000000E-7	1.290658
6.125000E-7	1.282656
6.250000E-7	1.279243
6.375000E-7	1.283195
6.500000E-7	1.282166
6.625000E-7	1.287343
6.750000E-7	1.281954
6.875000E-7	1.278427
7.000000E-7	1.291801
7.125000E-7	1.277969
7.250000E-7	1.286559
7.375000E-7	1.276663
7.500000E-7	1.276843
7.625000E-7	1.278312
7.750000E-7	1.287784
7.875000E-7	1.277300
8.000000E-7	1.281627
8.250000E-7	1.281962
8.500000E-7	1.285865
8.750000E-7	1.279807
9.000000E-7	1.277765
9.250000E-7	1.278149
9.500000E-7	1.274989
9.750000E-7	1.278190
1.000000E-6	1.272637
1.025000E-6	1.276353
1.050000E-6	1.282125
1.075000E-6	1.276949
1.100000E-6	1.269878
1.125000E-6	1.270131
1.150000E-6	1.276802
1.175000E-6	1.278174
1.200000E-6	1.274809
1.225000E-6	1.262790
1.250000E-6	1.272915
1.275000E-6	1.268906
1.300000E-6	1.274230
1.325000E-6	1.272629
1.350000E-6	1.274434
1.375000E-6	1.272319
1.400000E-6	1.264146
1.425000E-6	1.262325
1.450000E-6	1.257426
1.475000E-6	1.268669
1.500000E-6	1.263027
1.525000E-6	1.262006
1.550000E-6	1.266930
1.575000E-6	1.256168
1.600000E-6	1.266309
1.650000E-6	1.260651
1.700000E-6	1.260161
1.750000E-6	1.258699
1.800000E-6	1.261206
1.850000E-6	1.256413
1.900000E-6	1.259038
1.950000E-6	1.261553
2.000000E-6	1.251151
2.050000E-6	1.253784
2.100000E-6	1.249799
2.150000E-6	1.253008
2.200000E-6	1.248313
2.250000E-6	1.254392
2.300000E-6	1.253282
2.350000E-6	1.250461
2.400000E-6	1.251294
2.450000E-6	1.253604
2.500000E-6	1.250963
2.550000E-6	1.248579
2.600000E-6	1.246350
2.650000E-6	1.244957
2.700000E-6	1.245933
2.750000E-6	1.238466
2.800000E-6	1.242883
2.850000E-6	1.241324
2.900000E-6	1.244851
