ALV-5000/E-WIN Data
Date :	"21.09.2012"
Time :	"14:49:45"
Samplename : 	"puc18-0.1mg/ml"
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     299.69400
Viscosity [cp]  :	       0.85965
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	      56.00100
Duration [s]    :	        10
Runs            :	         1
Mode            :	"SINGLE CROSS CH0 "
MeanCR0 [kHz]   :	     160.81387
MeanCR1 [kHz]   :	     169.40475

"Correlation"
  2.00000E-004	  7.17070E-001
  4.00000E-004	  7.18590E-001
  6.00000E-004	  7.32231E-001
  8.00000E-004	  7.24299E-001
  1.00000E-003	  7.15937E-001
  1.20000E-003	  7.14823E-001
  1.40000E-003	  7.10733E-001
  1.60000E-003	  7.16177E-001
  1.80000E-003	  7.15790E-001
  2.00000E-003	  7.13817E-001
  2.20000E-003	  7.05606E-001
  2.40000E-003	  7.12173E-001
  2.60000E-003	  7.10153E-001
  2.80000E-003	  7.09968E-001
  3.00000E-003	  7.16121E-001
  3.20000E-003	  7.04288E-001
  3.60000E-003	  6.98249E-001
  4.00000E-003	  7.07738E-001
  4.40000E-003	  6.94680E-001
  4.80000E-003	  6.97819E-001
  5.20000E-003	  6.99882E-001
  5.60000E-003	  7.04782E-001
  6.00000E-003	  6.97235E-001
  6.40000E-003	  6.94680E-001
  7.20000E-003	  6.89195E-001
  8.00000E-003	  6.87937E-001
  8.80000E-003	  6.93684E-001
  9.60000E-003	  6.82133E-001
  1.04000E-002	  6.85998E-001
  1.12000E-002	  6.87445E-001
  1.20000E-002	  6.82249E-001
  1.28000E-002	  6.81955E-001
  1.44000E-002	  6.77093E-001
  1.60000E-002	  6.75769E-001
  1.76000E-002	  6.67732E-001
  1.92000E-002	  6.56977E-001
  2.08000E-002	  6.62508E-001
  2.24000E-002	  6.56257E-001
  2.40000E-002	  6.54687E-001
  2.56000E-002	  6.50696E-001
  2.88000E-002	  6.42333E-001
  3.20000E-002	  6.34414E-001
  3.52000E-002	  6.26651E-001
  3.84000E-002	  6.16482E-001
  4.16000E-002	  6.15282E-001
  4.48000E-002	  6.06446E-001
  4.80000E-002	  6.01606E-001
  5.12000E-002	  5.94252E-001
  5.76000E-002	  5.82094E-001
  6.40000E-002	  5.69224E-001
  7.04000E-002	  5.54399E-001
  7.68000E-002	  5.45673E-001
  8.32000E-002	  5.31232E-001
  8.96000E-002	  5.20511E-001
  9.60000E-002	  5.10564E-001
  1.02400E-001	  4.98232E-001
  1.15200E-001	  4.77868E-001
  1.28000E-001	  4.57517E-001
  1.40800E-001	  4.37602E-001
  1.53600E-001	  4.20276E-001
  1.66400E-001	  4.02903E-001
  1.79200E-001	  3.86324E-001
  1.92000E-001	  3.71505E-001
  2.04800E-001	  3.54973E-001
  2.30400E-001	  3.26617E-001
  2.56000E-001	  3.00307E-001
  2.81600E-001	  2.77076E-001
  3.07200E-001	  2.55458E-001
  3.32800E-001	  2.34729E-001
  3.58400E-001	  2.16274E-001
  3.84000E-001	  1.98953E-001
  4.09600E-001	  1.83117E-001
  4.60800E-001	  1.55048E-001
  5.12000E-001	  1.31151E-001
  5.63200E-001	  1.11386E-001
  6.14400E-001	  9.40575E-002
  6.65600E-001	  7.88950E-002
  7.16800E-001	  6.91357E-002
  7.68000E-001	  5.86616E-002
  8.19200E-001	  5.13644E-002
  9.21600E-001	  3.87281E-002
  1.02400E+000	  2.95235E-002
  1.12640E+000	  2.29392E-002
  1.22880E+000	  1.79888E-002
  1.33120E+000	  1.30059E-002
  1.43360E+000	  9.46649E-003
  1.53600E+000	  6.85725E-003
  1.63840E+000	  4.77038E-003
  1.84320E+000	  2.78919E-003
  2.04800E+000	  4.55187E-003
  2.25280E+000	  3.32323E-003
  2.45760E+000	  3.14636E-003
  2.66240E+000	  2.07408E-003
  2.86720E+000	 -1.86125E-003
  3.07200E+000	 -6.14106E-004
  3.22560E+000	  3.21360E-004
  3.63520E+000	  2.35213E-003
  4.04480E+000	  2.74077E-003
  4.45440E+000	  5.91492E-004
  4.86400E+000	  4.78668E-003
  5.27360E+000	  2.63485E-003
  5.68320E+000	 -2.19738E-003
  6.09280E+000	 -1.29488E-003
  6.50240E+000	 -2.66232E-003
  7.32160E+000	 -1.64851E-003
  8.14080E+000	 -6.75327E-004
  8.96000E+000	  1.25640E-003
  9.77920E+000	  3.75716E-003
  1.05984E+001	  6.18398E-004
  1.14176E+001	 -2.83781E-003
  1.22368E+001	 -1.43288E-003
  1.30560E+001	  1.77328E-004
  1.46944E+001	  1.03593E-003
  1.63328E+001	 -3.91216E-003
  1.79712E+001	 -6.34869E-004
  1.96096E+001	  4.92605E-004
  2.12480E+001	 -1.53103E-003
  2.28864E+001	 -2.25572E-003
  2.45248E+001	  2.60969E-003
  2.61632E+001	  1.76204E-003
  2.94400E+001	 -1.84287E-003
  3.27168E+001	  7.62981E-004
  3.59936E+001	 -5.06298E-004
  3.92704E+001	 -2.82655E-003
  4.25472E+001	 -2.16763E-004
  4.58240E+001	  3.15237E-003
  4.91008E+001	  2.25257E-003
  5.23776E+001	  3.46369E-003
  5.89312E+001	 -2.53196E-004
  6.54848E+001	  4.08676E-004
  7.20384E+001	  1.36061E-003
  7.85920E+001	 -6.83739E-004
  8.51456E+001	  1.90171E-004
  9.16992E+001	  2.76041E-004
  9.82528E+001	  4.01790E-004
  1.04806E+002	 -1.11965E-003
  1.17914E+002	 -3.70436E-004
  1.31021E+002	 -1.06643E-003
  1.44128E+002	  1.90283E-003
  1.57235E+002	 -4.81251E-004
  1.70342E+002	  1.40693E-003
  1.83450E+002	  4.34516E-004
  1.96557E+002	  1.98067E-004
  2.09664E+002	 -1.04736E-003
  2.35878E+002	  1.03674E-003
  2.62093E+002	 -2.12899E-004
  2.88307E+002	 -6.09037E-004
  3.14522E+002	  1.88288E-004
  3.40736E+002	  2.01309E-004
  3.66950E+002	  3.34847E-004
  3.93165E+002	 -1.30581E-004
  4.19379E+002	  1.33320E-003
  4.71808E+002	 -4.70889E-004
  5.24237E+002	 -2.82313E-004
  5.76666E+002	  8.51778E-004
  6.29094E+002	 -2.62262E-004
  6.81523E+002	 -1.88773E-004
  7.33952E+002	 -6.12486E-005
  7.86381E+002	  3.04634E-004
  8.38810E+002	  3.71033E-004
  9.43667E+002	 -2.63045E-004
  1.04852E+003	 -6.15111E-004
  1.15338E+003	 -1.31098E-004
  1.25824E+003	  4.07349E-005
  1.36310E+003	  3.80779E-004
  1.46796E+003	 -1.65114E-004
  1.57281E+003	  6.53502E-004
  1.67767E+003	 -2.68996E-005
  1.88739E+003	  8.15293E-005
  2.09710E+003	 -1.58812E-004
  2.30682E+003	 -2.64951E-004
  2.51653E+003	 -5.56661E-004
  2.72625E+003	 -1.07424E-004
  2.93596E+003	 -4.77029E-004
  3.14568E+003	 -1.60656E-004

"Count Rate"
       0.03906	     145.66202	     156.09581
       0.07813	     160.90152	     171.05264
       0.11719	     158.46011	     166.91510
       0.15625	     160.25905	     171.69511
       0.19531	     144.06866	     147.82072
       0.23438	     160.00206	     165.65584
       0.27344	     150.82751	     156.32710
       0.31250	     140.93340	     145.81621
       0.35156	     150.33923	     159.53947
       0.39063	     169.04811	     176.78352
       0.42969	     192.81970	     204.28146
       0.46875	     158.43442	     169.97328
       0.50781	     162.54626	     170.25597
       0.54688	     141.88426	     151.39288
       0.58594	     172.38899	     182.43730
       0.62500	     144.94244	     149.97945
       0.66406	     180.76686	     190.09561
       0.70313	     159.74507	     171.12973
       0.74219	     171.28392	     178.40256
       0.78125	     185.67537	     196.36617
       0.82031	     145.86760	     149.87665
       0.85938	     156.37849	     161.85239
       0.89844	     164.13960	     170.25597
       0.93750	     176.19244	     183.87645
       0.97656	     183.33676	     197.39412
       1.01563	     169.74199	     173.85384
       1.05469	     158.87131	     164.11391
       1.09375	     159.10260	     165.32176
       1.13281	     156.07011	     165.03906
       1.17188	     162.00658	     171.95210
       1.21094	     182.54010	     188.93915
       1.25000	     149.43976	     153.93709
       1.28906	     168.58553	     180.12439
       1.32813	     195.51810	     204.82114
       1.36719	     171.97780	     181.87192
       1.40625	     160.13055	     167.94305
       1.44531	     158.71710	     168.43134
       1.48438	     161.74959	     170.12747
       1.52344	     174.29071	     181.97472
       1.56250	     143.70889	     151.95827
       1.60156	     172.23479	     176.01254
       1.64063	     164.93626	     180.58698
