ALV-5000/E-WIN Data
Date :	"10-Jan-11"
Time :	"14:17:18"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"SINGLE AUTO CH1"
MeanCR0 [kHz]   :	      38.35171
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  40.131"	" 2,  41.900"	" 3,  37.794"	" 4,  37.770"	" 5,  38.086"	" 6,  38.352"	
  2.00000E-004	  4.80890E-001	  6.19729E-001	  7.50760E-001	  3.87173E-001	  3.39251E-001	  3.61303E-001	  4.27124E-001	
  4.00000E-004	  2.56942E-001	  2.53893E-001	  1.99499E-001	  2.59165E-001	  2.60748E-001	  2.70673E-001	  2.97676E-001	
  6.00000E-004	  2.54929E-001	  2.63693E-001	  2.58030E-001	  2.44706E-001	  2.48390E-001	  2.66506E-001	  2.48249E-001	
  8.00000E-004	  2.53195E-001	  2.72659E-001	  2.90260E-001	  2.49291E-001	  2.35914E-001	  2.25763E-001	  2.45281E-001	
  1.00000E-003	  2.50478E-001	  3.00912E-001	  2.68741E-001	  2.25664E-001	  2.38974E-001	  2.20554E-001	  2.48020E-001	
  1.20000E-003	  2.51334E-001	  2.82250E-001	  2.55256E-001	  2.38946E-001	  2.37915E-001	  2.66390E-001	  2.27245E-001	
  1.40000E-003	  2.53902E-001	  2.66299E-001	  2.57647E-001	  2.45176E-001	  2.46742E-001	  2.57015E-001	  2.50532E-001	
  1.60000E-003	  2.40491E-001	  2.70782E-001	  2.61855E-001	  2.18846E-001	  2.32972E-001	  2.17776E-001	  2.40715E-001	
  1.80000E-003	  2.50484E-001	  2.75265E-001	  2.84809E-001	  2.25899E-001	  2.37327E-001	  2.42199E-001	  2.37404E-001	
  2.00000E-003	  2.38900E-001	  2.61399E-001	  2.60134E-001	  2.40239E-001	  2.21202E-001	  2.20786E-001	  2.29642E-001	
  2.20000E-003	  2.32228E-001	  2.42112E-001	  2.46075E-001	  2.24488E-001	  2.22497E-001	  2.29351E-001	  2.28843E-001	
  2.40000E-003	  2.26541E-001	  2.71408E-001	  2.19105E-001	  2.19551E-001	  2.08962E-001	  2.25531E-001	  2.14688E-001	
  2.60000E-003	  2.29490E-001	  2.37733E-001	  2.72567E-001	  2.03330E-001	  2.14729E-001	  2.19281E-001	  2.29299E-001	
  2.80000E-003	  2.24865E-001	  2.53059E-001	  2.27330E-001	  2.16377E-001	  2.18613E-001	  2.16272E-001	  2.17542E-001	
