ALV-5000/E-WIN Data
ALV-5000/EPP-WIN Data
Date :	"4/16/2010"
Time :	"12:05:33 PM"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	       0.00000
Angle [°]       :	       0.00000
Duration [s]    :	         5
Runs            :	         5
Mode            :	"SINGLE AUTO CH1"
MeanCR0 [kHz]   :	       2.34463
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,   3.165"	" 2,   2.448"	" 3,   2.210"	" 4,   2.875"	" 5,   2.345"	
  1.25000E-004	  2.56749E+000	  3.32872E+000	  1.41294E+000	  4.26218E+000	  3.08053E+000	  7.53064E-001	
  2.50000E-004	  3.18345E-001	  2.82583E-001	  6.08630E-001	  1.63109E+000	 -2.22756E-001	 -7.07823E-001	
  3.75000E-004	  1.84898E-001	 -3.58708E-001	  6.08630E-001	 -3.42228E-001	 -2.84448E-002	  1.04524E+000	
  5.00000E-004	  2.33070E-001	  2.82583E-001	  8.76735E-001	  6.44431E-001	 -2.22756E-001	 -4.15645E-001	
  6.25000E-004	  5.01758E-001	  7.63552E-001	  6.08630E-001	  3.15545E-001	  3.60177E-001	  4.60887E-001	
  7.50000E-004	 -3.18731E-002	 -3.58708E-001	  7.24198E-002	 -1.33416E-002	 -2.84448E-002	  1.68709E-001	
  8.75000E-004	 -3.09272E-001	 -1.98386E-001	 -4.63790E-001	 -3.42228E-001	  1.65866E-001	 -7.07823E-001	
  1.00000E-003	  5.56286E-001	  1.08420E+000	 -7.31895E-001	  2.28886E+000	 -2.84448E-002	  1.68709E-001	
  1.12500E-003	  1.01819E-001	  4.42906E-001	  7.24198E-002	 -3.42228E-001	 -4.17067E-001	  7.53064E-001	
  1.25000E-003	  1.80028E-001	 -1.98386E-001	 -1.95685E-001	 -1.33416E-002	  5.54488E-001	  7.53064E-001	
  1.37500E-003	  2.37584E-001	 -5.19031E-001	 -4.63790E-001	 -1.33416E-002	  5.54488E-001	  1.62960E+000	
  1.50000E-003	 -1.25669E-001	  1.22260E-001	  7.24198E-002	 -6.71114E-001	 -2.84448E-002	 -1.23468E-001	
  1.62500E-003	  1.02639E-001	 -3.80626E-002	  7.24198E-002	 -3.42228E-001	  3.60177E-001	  4.60887E-001	
  1.75000E-003	  5.01139E-001	  6.03229E-001	  3.40525E-001	  6.44431E-001	  7.48799E-001	  1.68709E-001	
  1.87500E-003	  2.55674E-001	 -1.98386E-001	  7.24198E-002	  9.73317E-001	  5.54488E-001	 -1.23468E-001	
  2.00000E-003	  4.96141E-002	 -2.78547E-001	 -4.63790E-001	  3.15545E-001	  3.60177E-001	  3.14686E-001	
  2.25000E-003	  2.19091E-001	 -1.98386E-001	  6.08630E-001	 -6.71114E-001	  4.57333E-001	  8.98990E-001	
  2.50000E-003	 -3.14394E-001	 -3.58708E-001	 -3.29738E-001	 -3.42228E-001	 -1.25600E-001	 -4.15695E-001	
  2.75000E-003	 -1.91455E-001	 -3.58708E-001	 -4.63790E-001	 -1.77785E-001	 -1.25600E-001	  1.68609E-001	
  3.00000E-003	  3.25484E-002	  2.02422E-001	 -1.95685E-001	 -1.77785E-001	  4.57333E-001	 -1.23543E-001	
  3.25000E-003	 -4.96010E-002	  4.20989E-002	 -4.63790E-001	 -1.33416E-002	  7.48799E-001	 -5.61771E-001	
  3.50000E-003	  2.63421E-001	  4.42906E-001	 -1.95685E-001	  1.51101E-001	  1.65866E-001	  7.52914E-001	
  3.75000E-003	 -8.43832E-002	 -3.80626E-002	 -6.16326E-002	  3.15545E-001	 -5.14222E-001	 -1.23543E-001	
  4.00000E-003	 -6.64820E-002	  4.02825E-001	 -3.96764E-001	 -2.60006E-001	 -3.20006E-001	  2.41541E-001	
