ALV-5000/E-WIN Data
Date :	"14.01.2011"
Time :	"15:20:38"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     269.74933
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  1.80629E-001
  4.00000E-004	  9.66262E-002
  6.00000E-004	  8.02987E-002
  8.00000E-004	  7.37456E-002
  1.00000E-003	  6.85192E-002
  1.20000E-003	  6.61195E-002
  1.40000E-003	  6.57018E-002
  1.60000E-003	  6.42943E-002
  1.80000E-003	  6.01939E-002
  2.00000E-003	  6.10015E-002
  2.20000E-003	  6.11931E-002
  2.40000E-003	  6.10938E-002
  2.60000E-003	  5.96702E-002
  2.80000E-003	  5.92987E-002
  3.00000E-003	  6.10454E-002
  3.20000E-003	  6.00872E-002
  3.60000E-003	  5.86416E-002
  4.00000E-003	  5.83370E-002
  4.40000E-003	  5.74035E-002
  4.80000E-003	  5.66051E-002
  5.20000E-003	  5.68210E-002
  5.60000E-003	  5.79228E-002
  6.00000E-003	  5.62868E-002
  6.40000E-003	  5.52340E-002
  7.20000E-003	  5.50545E-002
  8.00000E-003	  5.44182E-002
  8.80000E-003	  5.30982E-002
  9.60000E-003	  5.35999E-002
  1.04000E-002	  5.26850E-002
  1.12000E-002	  5.19588E-002
  1.20000E-002	  5.24831E-002
  1.28000E-002	  5.20135E-002
  1.44000E-002	  5.19167E-002
  1.60000E-002	  5.04177E-002
  1.76000E-002	  5.03813E-002
  1.92000E-002	  4.87268E-002
  2.08000E-002	  4.80966E-002
  2.24000E-002	  4.81934E-002
  2.40000E-002	  4.68875E-002
  2.56000E-002	  4.79555E-002
  2.88000E-002	  4.63250E-002
  3.20000E-002	  4.52774E-002
  3.52000E-002	  4.41411E-002
  3.84000E-002	  4.44688E-002
  4.16000E-002	  4.33105E-002
  4.48000E-002	  4.28666E-002
  4.80000E-002	  4.27047E-002
  5.12000E-002	  4.15099E-002
  5.76000E-002	  3.98128E-002
  6.40000E-002	  3.87985E-002
  7.04000E-002	  3.78123E-002
  7.68000E-002	  3.70086E-002
  8.32000E-002	  3.58809E-002
  8.96000E-002	  3.49105E-002
  9.60000E-002	  3.39990E-002
  1.02400E-001	  3.35297E-002
  1.15200E-001	  3.19426E-002
  1.28000E-001	  3.04987E-002
  1.40800E-001	  2.91372E-002
  1.53600E-001	  2.82239E-002
  1.66400E-001	  2.69609E-002
  1.79200E-001	  2.60096E-002
  1.92000E-001	  2.47537E-002
  2.04800E-001	  2.40040E-002
  2.30400E-001	  2.25130E-002
  2.56000E-001	  2.14818E-002
  2.81600E-001	  2.03698E-002
  3.07200E-001	  1.92924E-002
  3.32800E-001	  1.80049E-002
  3.58400E-001	  1.69267E-002
  3.84000E-001	  1.64561E-002
  4.09600E-001	  1.57266E-002
  4.60800E-001	  1.41669E-002
  5.12000E-001	  1.31801E-002
  5.63200E-001	  1.22125E-002
  6.14400E-001	  1.13481E-002
  6.65600E-001	  1.07599E-002
  7.16800E-001	  1.01042E-002
  7.68000E-001	  9.44669E-003
  8.19200E-001	  8.89618E-003
  9.21600E-001	  7.89995E-003
  1.02400E+000	  7.18265E-003
  1.12640E+000	  6.33095E-003
  1.22880E+000	  5.68272E-003
  1.33120E+000	  5.28292E-003
  1.43360E+000	  4.88680E-003
  1.53600E+000	  4.67205E-003
  1.63840E+000	  4.48644E-003
  1.84320E+000	  4.05333E-003
  2.04800E+000	  3.61104E-003
  2.25280E+000	  3.34120E-003
  2.45760E+000	  3.06171E-003
  2.66240E+000	  2.60461E-003
  2.86720E+000	  2.43135E-003
  3.07200E+000	  2.25226E-003
  3.22560E+000	  2.19505E-003
  3.63520E+000	  2.09831E-003
  4.04480E+000	  1.79512E-003
  4.45440E+000	  1.61306E-003
  4.86400E+000	  1.47108E-003
  5.27360E+000	  1.39280E-003
  5.68320E+000	  1.21741E-003
  6.09280E+000	  1.07648E-003
  6.50240E+000	  8.75151E-004
  7.32160E+000	  6.60048E-004
  8.14080E+000	  6.76584E-004
  8.96000E+000	  3.29607E-004
  9.77920E+000	  4.51620E-004
  1.05984E+001	  4.21909E-004
  1.14176E+001	  1.37821E-005
  1.22368E+001	  6.66402E-005
  1.30560E+001	  1.22401E-004
  1.46944E+001	  2.43670E-004
  1.63328E+001	  2.02740E-004
  1.79712E+001	  3.36452E-004
  1.96096E+001	  2.28884E-004
  2.12480E+001	  2.39149E-004
  2.28864E+001	  4.01046E-004
  2.45248E+001	  1.54532E-005
  2.61632E+001	  8.08739E-005
  2.94400E+001	  1.34854E-004
  3.27168E+001	 -8.46295E-005
  3.59936E+001	  9.53116E-005
  3.92704E+001	  3.76093E-005
  4.25472E+001	 -1.82309E-005
  4.58240E+001	 -2.25250E-004
  4.91008E+001	 -6.68871E-005
  5.23776E+001	  8.47128E-005
  5.89312E+001	  1.45246E-004
  6.54848E+001	  1.54329E-005
  7.20384E+001	 -2.73129E-004
  7.85920E+001	 -8.95363E-005
  8.51456E+001	 -1.17926E-004
  9.16992E+001	  1.21476E-004
  9.82528E+001	 -5.65738E-005
  1.04806E+002	 -6.54249E-005
  1.17914E+002	 -1.31656E-005
  1.31021E+002	 -7.03247E-005
  1.44128E+002	 -1.11600E-004
  1.57235E+002	  6.34280E-006
  1.70342E+002	  4.27857E-005
  1.83450E+002	  2.46437E-005
  1.96557E+002	 -3.25665E-005
  2.09664E+002	 -1.07115E-004
  2.35878E+002	 -9.95908E-005
  2.62093E+002	  1.10717E-005
  2.88307E+002	 -8.40887E-005
  3.14522E+002	 -1.21573E-004
  3.40736E+002	 -3.64739E-005
