ALV-7004/USB
Date :	"04.12.2014"
Time :	"15:58:27"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     532.00000
Angle [°]       :	      90.00000
Duration [s]    :	        30
FloatDur [ms]   :	        29989
Stop TP [ms]   :	     98655
Runs            :	        10
Mode            :	"A-CH0+1  C-CH0/1+1/0 "
MeanCR0 [kHz]   :	      85.35768
MeanCR1 [kHz]   :	       8.19226
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	" 1  65.381"	" 2  67.825"	" 3  70.819"	" 4  72.501"	" 5  74.894"	" 6  77.741"	" 7  79.144"	" 8  81.304"	" 9  83.072"	"10  85.358"	"Average(1)"	" 1,   7.002"	" 2,   7.142"	" 3,   7.399"	" 4,   7.418"	" 5,   7.573"	" 6,   7.735"	" 7,   7.741"	" 8,   7.896"	" 9,   8.005"	"10,   8.192"	
  2.50000E-005	 -9.09987E-001	 -8.91209E-001	 -9.07147E-001	 -9.04925E-001	 -9.13471E-001	 -9.07087E-001	 -9.09989E-001	 -9.17012E-001	 -9.17791E-001	 -9.18436E-001	 -9.12800E-001	 -1.00000E+000	 -1.00000E+000	 -1.00000E+000	 -1.00000E+000	 -1.00000E+000	 -1.00000E+000	 -1.00000E+000	 -1.00000E+000	 -1.00000E+000	 -1.00000E+000	 -1.00000E+000	
  5.00000E-005	  1.49854E+000	  1.70431E+000	  1.64806E+000	  1.58094E+000	  1.58672E+000	  1.49883E+000	  1.46364E+000	  1.43432E+000	  1.40229E+000	  1.34409E+000	  1.32214E+000	  1.20363E+000	  1.52933E+000	  1.37028E+000	  1.45351E+000	  9.14931E-001	  1.29529E+000	  1.02071E+000	  1.26421E+000	  1.29725E+000	  7.69315E-001	  1.12148E+000	
  7.50000E-005	  9.85571E-001	  1.11747E+000	  1.12394E+000	  1.06593E+000	  1.00411E+000	  9.72480E-001	  9.25570E-001	  9.22453E-001	  9.06202E-001	  9.10566E-001	  9.06975E-001	  2.54783E+000	  2.87648E+000	  2.13404E+000	  2.77840E+000	  2.17539E+000	  2.86452E+000	  2.65974E+000	  2.63170E+000	  2.62837E+000	  2.76760E+000	  1.96207E+000	
  1.00000E-004	  5.70834E-001	  6.35958E-001	  6.36897E-001	  6.37160E-001	  5.77561E-001	  5.70177E-001	  5.77083E-001	  5.51044E-001	  5.40513E-001	  4.89217E-001	  4.92728E-001	  1.47325E+000	  1.91423E+000	  1.52830E+000	  1.50258E+000	  1.54516E+000	  1.62319E+000	  1.11052E+000	  1.66773E+000	  1.14696E+000	  1.35215E+000	  1.34164E+000	
  1.25000E-004	  3.86934E-001	  4.77029E-001	  4.14109E-001	  4.12462E-001	  3.88010E-001	  4.09256E-001	  3.46833E-001	  3.43895E-001	  3.50379E-001	  3.81754E-001	  3.45612E-001	  1.12509E+000	  5.67086E-001	  1.18593E+000	  1.25723E+000	  1.32700E+000	  1.34214E+000	  1.15543E+000	  1.10728E+000	  1.08255E+000	  1.16481E+000	  1.06144E+000	
  1.50000E-004	  2.66859E-001	  3.11478E-001	  2.93225E-001	  2.66502E-001	  3.07825E-001	  2.56238E-001	  2.43486E-001	  2.53187E-001	  2.59665E-001	  2.33509E-001	  2.43479E-001	  8.74269E-001	  1.14443E+000	  7.64544E-001	  9.13737E-001	  6.48295E-001	  7.56601E-001	  9.53356E-001	  9.27939E-001	  8.67857E-001	  1.16481E+000	  6.01120E-001	
  1.75000E-004	  2.18950E-001	  2.60709E-001	  2.43879E-001	  2.32489E-001	  2.43881E-001	  2.32052E-001	  1.96592E-001	  2.12872E-001	  2.00539E-001	  1.84029E-001	  1.82457E-001	  6.12311E-001	  4.57115E-001	  7.64544E-001	  6.68386E-001	  8.17972E-001	  1.47646E-001	  5.94118E-001	  6.36507E-001	  1.06108E+000	  3.94637E-001	  5.81106E-001	
  2.00000E-004	  1.63771E-001	  1.86290E-001	  1.74093E-001	  1.97406E-001	  1.40097E-001	  1.50873E-001	  1.75700E-001	  1.61406E-001	  1.62877E-001	  1.34163E-001	  1.54804E-001	  3.92902E-001	  6.77057E-001	  3.69497E-001	  1.04079E-001	  2.60461E-001	  2.88174E-001	  5.49213E-001	  3.00238E-001	  4.81404E-001	  4.77899E-001	  4.20994E-001	
  2.25000E-004	  1.45475E-001	  1.91020E-001	  1.38762E-001	  1.48931E-001	  1.61158E-001	  1.81764E-001	  1.34140E-001	  1.22378E-001	  1.19747E-001	  1.29331E-001	  1.27519E-001	  5.05982E-001	  7.32042E-001	  6.32861E-001	  6.92921E-001	  4.30138E-001	  7.56601E-001	  5.71666E-001	  5.69253E-001	  2.23768E-001	  2.69744E-001	  1.80826E-001	
  2.50000E-004	  1.21832E-001	  1.20700E-001	  1.68545E-001	  1.22417E-001	  9.59445E-002	  1.12079E-001	  1.26583E-001	  1.24951E-001	  1.03346E-001	  1.37062E-001	  1.06687E-001	  4.06480E-001	  3.47144E-001	  6.32861E-001	  6.19316E-001	  4.54378E-001	  2.41332E-001	  4.14499E-001	  2.10567E-001	  6.31691E-001	  3.32190E-001	  1.80826E-001	
  2.75000E-004	  1.12091E-001	  1.15024E-001	  1.35842E-001	  1.25899E-001	  9.67058E-002	  1.33392E-001	  1.23916E-001	  9.25711E-002	  1.01118E-001	  9.85996E-002	  9.78381E-002	  3.38045E-001	  2.09680E-001	  6.32861E-001	 -1.85965E-002	  5.75576E-001	 -8.65673E-002	  4.36952E-001	  4.12328E-001	  4.16995E-001	  5.40345E-001	  2.60882E-001	
  3.00000E-004	  7.91143E-002	  1.00204E-001	  7.13123E-002	  9.13504E-002	  8.60483E-002	  5.12548E-002	  9.28013E-002	  7.86325E-002	  8.97792E-002	  7.19271E-002	  5.78329E-002	  2.22368E-001	  4.29622E-001	  5.34589E-002	  4.72105E-001	  1.87742E-001	  2.17910E-001	  1.22618E-001	  3.67492E-001	  7.34809E-002	 -2.16727E-002	  3.20924E-001	
  3.25000E-004	  8.37590E-002	  1.09348E-001	  1.02555E-001	  1.11437E-001	  7.91971E-002	  7.92723E-002	  7.70215E-002	  7.58448E-002	  5.79889E-002	  6.49690E-002	  7.99556E-002	  1.54927E-001	 -3.77543E-002	  1.85141E-001	 -6.76667E-002	  1.15023E-001	  3.11596E-001	  2.34880E-001	  2.10567E-001	  2.23768E-001	  3.53006E-001	  2.07139E-002	
  3.50000E-004	  7.44812E-002	  8.19143E-002	  8.53278E-002	  8.19769E-002	  7.36146E-002	  8.54985E-002	  6.34643E-002	  5.16131E-002	  7.64151E-002	  6.63220E-002	  7.86651E-002	  2.28707E-001	  2.37173E-001	  5.34589E-002	  5.45711E-001	  1.87742E-001	  4.05281E-001	  1.00166E-001	  1.88149E-001	  1.16420E-001	  3.32190E-001	  1.20784E-001	
  3.75000E-004	  6.41334E-002	  1.05249E-001	  5.40849E-002	  5.54631E-002	  3.32684E-002	  1.02740E-001	  4.59066E-002	  7.86325E-002	  5.00919E-002	  5.91707E-002	  5.67268E-002	  2.46221E-001	  4.47239E-002	  2.90487E-001	  4.23035E-001	  2.36221E-001	 -1.09989E-001	  3.24690E-001	  4.57164E-001	  2.45238E-001	  2.69744E-001	  2.80896E-001	
  4.00000E-004	  6.60383E-002	  8.09683E-002	  5.48148E-002	  4.97050E-002	  7.47564E-002	  8.33433E-002	  5.74636E-002	  6.27639E-002	  5.35342E-002	  8.99021E-002	  5.31318E-002	  2.09312E-001	  3.05905E-001	  2.24646E-001	  3.49430E-001	  3.01842E-002	 -3.97246E-002	  3.92047E-001	  5.24417E-001	  2.02299E-001	  1.03220E-001	  6.99925E-004	
  4.50000E-004	  5.10598E-002	  6.69359E-002	  4.76611E-002	  5.30527E-002	  4.07540E-002	  5.14943E-002	  6.27976E-002	  5.37574E-002	  5.24205E-002	  3.37544E-002	  4.79699E-002	  1.89487E-001	  1.54695E-001	  3.03655E-001	  2.26754E-001	  3.45299E-001	 -1.63032E-002	  1.11392E-001	  3.33865E-001	  2.02299E-001	  8.24047E-002	  1.50805E-001	
  5.00000E-004	  5.38855E-002	  7.49769E-002	  5.64208E-002	  6.20246E-002	  4.77321E-002	  5.08956E-002	  3.59054E-002	  7.13415E-002	  5.63690E-002	  5.54983E-002	  2.76907E-002	  8.35343E-002	 -1.02615E-002	  7.85949E-004	 -7.99342E-002	  2.96820E-001	  1.00804E-001	 -1.20958E-002	  6.48502E-002	  1.37890E-001	  1.65667E-001	  1.70819E-001	
  5.50000E-004	  4.94621E-002	  5.66875E-002	  5.51068E-002	  3.14935E-002	  7.27264E-002	  5.32903E-002	  4.12393E-002	  5.93329E-002	  3.46017E-002	  3.24015E-002	  5.77407E-002	  9.89176E-002	  1.13456E-001	  1.71973E-001	  2.88092E-001	  1.75622E-001	  7.73822E-002	  2.34880E-001	  6.48502E-002	 -6.60717E-002	 -2.16727E-002	 -4.93351E-002	
  6.00000E-004	  4.30033E-002	  5.05384E-002	  3.62735E-002	  4.05993E-002	  2.62903E-002	  4.50287E-002	  4.31285E-002	  5.13986E-002	  5.57615E-002	  4.63176E-002	  3.46963E-002	  1.00131E-001	  1.82188E-001	 -1.23823E-002	  2.02219E-001	  5.94460E-003	 -1.09989E-001	  8.89398E-002	  7.60592E-002	  2.13033E-001	  1.34443E-001	  2.20854E-001	
  6.50000E-004	  3.98187E-002	  6.34672E-002	  2.32799E-002	  3.40378E-002	  5.58521E-002	  2.59912E-002	  3.99058E-002	  3.60662E-002	  4.39161E-002	  4.43848E-002	  3.12857E-002	  1.37280E-001	  1.82188E-001	  3.69497E-001	  1.89952E-001	  1.02903E-001	  6.56715E-002	  1.89975E-001	  1.99358E-001	 -1.51950E-001	  1.34443E-001	  9.07629E-002	
  7.00000E-004	  3.20954E-002	  2.89380E-002	  1.33522E-002	  2.80119E-002	  2.89546E-002	  3.10200E-002	  2.86822E-002	  6.15845E-002	  3.22731E-002	  3.09519E-002	  3.71851E-002	  1.31424E-001	  5.84703E-002	  5.34589E-002	  2.88092E-001	  1.51382E-001	  4.22502E-002	  2.23654E-001	 -5.84482E-002	  2.34503E-001	  2.80152E-001	  4.07279E-002	
  7.50000E-004	  3.33234E-002	  3.98171E-002	  4.24053E-002	  2.61372E-002	  3.69477E-002	  3.25765E-002	  3.70166E-002	  3.04907E-002	  3.84490E-002	  2.42837E-002	  2.51098E-002	  9.00408E-002	  8.59630E-002	  7.97954E-002	  5.50087E-002	  6.65437E-002	  3.05395E-002	  1.45071E-001	  1.99358E-001	  1.48625E-001	 -1.12649E-002	  1.00770E-001	
  8.00000E-004	  3.44160E-002	  4.80946E-002	  2.90467E-002	  3.44395E-002	  3.99293E-002	  4.07183E-002	  4.03503E-002	  3.62274E-002	  3.84489E-002	  1.43298E-002	  2.25748E-002	  6.95617E-002	  1.82188E-001	 -1.89664E-002	  6.11425E-002	  6.65436E-002	 -4.59257E-003	  1.22618E-001	  1.32104E-001	  1.44394E-002	  4.34663E-003	  1.35794E-001	
  9.00000E-004	  3.33943E-002	  3.95805E-002	  2.21849E-002	  4.38800E-002	  2.32452E-002	  3.22173E-002	  3.56275E-002	  4.53411E-002	  3.45511E-002	  3.51557E-002	  2.21600E-002	  4.30783E-002	 -5.83739E-002	  1.85141E-001	  1.20723E-002	  2.41243E-002	  1.24225E-001	 -4.57744E-002	  1.44099E-002	  1.98068E-002	  4.34663E-003	  1.50805E-001	
  1.00000E-003	  3.18937E-002	  4.17090E-002	  3.19666E-002	  3.71846E-002	  4.01830E-002	  1.66520E-002	  3.24049E-002	  3.51016E-002	  2.88309E-002	  2.48635E-002	  3.00413E-002	  1.12192E-002	  1.03580E-002	  7.85922E-004	  7.34100E-002	  1.08963E-001	  4.22501E-002	 -7.94530E-002	  2.00144E-002	 -1.09011E-001	 -8.57234E-004	  4.57314E-002	
  1.10000E-003	  2.69414E-002	  2.54693E-002	  3.93393E-002	  2.79449E-002	  3.09846E-002	  2.10821E-002	  2.92934E-002	  3.18850E-002	  2.41737E-002	  2.00316E-002	  1.92104E-002	  4.54792E-003	  1.68441E-001	 -1.30896E-001	  4.27412E-002	 -1.22352E-002	 -8.65673E-002	 -4.01613E-002	  1.32104E-001	 -1.03644E-001	  1.99582E-002	  5.57384E-002	
  1.20000E-003	  2.37276E-002	  1.26194E-002	  3.47405E-002	  1.68306E-002	  2.92084E-002	  1.19226E-002	  3.11825E-002	  3.08664E-002	  2.43762E-002	  2.54434E-002	  2.00860E-002	  3.09134E-002	  7.90898E-002	  4.68747E-002	 -1.24628E-002	  1.20045E-002	  7.11810E-003	 -1.18745E-001	  9.84771E-002	  7.88482E-002	  7.72008E-002	  4.07279E-002	
  1.30000E-003	  2.15937E-002	  3.24855E-002	  2.33529E-002	  1.93079E-002	  1.77896E-002	  1.62928E-002	  2.25703E-002	  1.06554E-002	  3.70315E-002	  2.34623E-002	  1.29884E-002	  4.27926E-002	  4.47239E-002	  9.29636E-002	  4.88749E-002	  6.65436E-002	 -2.80139E-002	 -2.89352E-002	  1.04082E-001	  8.42156E-002	 -3.72843E-002	  8.07559E-002	
  1.40000E-003	  2.15878E-002	  3.31950E-002	  2.45208E-002	  1.77010E-002	  3.06674E-002	  1.50955E-002	  3.21271E-002	  2.58271E-002	  1.38469E-002	  4.42425E-003	  1.84729E-002	  1.11351E-002	 -1.02616E-002	 -5.18870E-002	  5.93854E-003	  1.80644E-002	  7.11810E-003	  6.08743E-002	  1.26499E-001	  1.98068E-002	  9.55050E-003	 -7.43526E-002	
  1.50000E-003	  2.22302E-002	  2.87015E-002	  2.06520E-002	  1.95087E-002	  2.86374E-002	  2.86253E-002	  1.77920E-002	  2.78106E-002	  9.54408E-003	  1.68424E-002	  2.41880E-002	  4.16971E-002	  8.59630E-002	 -8.48076E-002	  1.40882E-001	  5.94457E-003	  1.00804E-001	 -1.77090E-002	  4.80368E-002	  8.95830E-002	 -4.24882E-002	  9.07629E-002	
  1.60000E-003	  1.85311E-002	  1.92414E-002	  1.46296E-002	  2.62041E-002	  1.19216E-002	  1.92262E-002	  2.34315E-002	  1.99035E-002	  1.46315E-002	  2.13361E-002	  1.47858E-002	  4.43496E-002	  3.48474E-003	  2.05382E-002	  1.07146E-001	  3.62440E-002	  1.09586E-001	  6.64873E-002	  4.80367E-002	 -6.87554E-002	  1.99582E-002	  1.00770E-001	
  1.80000E-003	  1.95787E-002	  2.88197E-002	  1.40821E-002	  1.39180E-002	  2.35624E-002	  1.20123E-002	  2.63485E-002	  2.81590E-002	  1.51883E-002	  1.27352E-002	  2.09617E-002	  1.93723E-002	  4.81604E-002	 -3.54268E-002	  3.96742E-002	  4.83639E-002	  3.05394E-002	 -2.05156E-002	  9.00703E-002	  1.02081E-003	 -1.38670E-002	  5.70334E-003	
  2.00000E-003	  1.80625E-002	  2.42867E-002	  1.14542E-002	  2.01782E-002	  2.04857E-002	  1.77295E-002	  1.59584E-002	  2.69260E-002	  7.97476E-003	  1.57069E-002	  1.99247E-002	  1.68973E-002	  4.47238E-002	 -8.48077E-002	 -4.31317E-002	 -2.13251E-002	  3.34671E-002	  1.08586E-001	  3.12233E-002	  1.02081E-003	  1.11026E-001	 -1.18089E-002	
