5/15/2013	10:11 AM
Pseudo Cross Correlation
Scattering angle:	30.0
Duration (s):	60
Wavelength (nm):	660.0
Refractive index:	1.400
Viscosity (mPas):	0.895
Temperature (K):	329.1
Laser intensity (mW):	71.045647
Average Count rate  A (kHz):	261.0
Average Count rate  B (kHz):	273.3
Intercept:	1.0000
Cumulant 1st	-Inf
Cumulant 2nd	-Inf	NaN
Cumulant 3rd	-Inf	NaN

Lag time (s)         g2-1
1.250000E-8	1.352061
2.500000E-8	1.350466
3.750000E-8	1.353806
5.000000E-8	1.347651
6.250000E-8	1.355157
7.500000E-8	1.348533
8.750000E-8	1.342923
1.000000E-7	1.354875
1.125000E-7	1.343805
1.250000E-7	1.352924
1.375000E-7	1.332227
1.500000E-7	1.349753
1.625000E-7	1.342679
1.750000E-7	1.338532
1.875000E-7	1.345325
2.000000E-7	1.330801
2.125000E-7	1.347689
2.250000E-7	1.339921
2.375000E-7	1.338757
2.500000E-7	1.342416
2.625000E-7	1.334686
2.750000E-7	1.334929
2.875000E-7	1.332040
3.000000E-7	1.334929
3.125000E-7	1.338213
3.250000E-7	1.337463
3.375000E-7	1.339470
3.500000E-7	1.323878
3.625000E-7	1.334348
3.750000E-7	1.335961
3.875000E-7	1.335680
4.000000E-7	1.332040
4.125000E-7	1.326617
4.250000E-7	1.323502
4.375000E-7	1.335455
4.500000E-7	1.325885
4.625000E-7	1.334573
4.750000E-7	1.335342
4.875000E-7	1.328719
5.000000E-7	1.328644
5.125000E-7	1.330595
5.250000E-7	1.330464
5.375000E-7	1.323915
5.500000E-7	1.331496
5.625000E-7	1.326580
5.750000E-7	1.337275
5.875000E-7	1.326373
6.000000E-7	1.332809
6.125000E-7	1.332640
6.250000E-7	1.324215
6.375000E-7	1.328081
6.500000E-7	1.323615
6.625000E-7	1.326486
6.750000E-7	1.334254
6.875000E-7	1.333916
7.000000E-7	1.316747
7.125000E-7	1.329113
7.250000E-7	1.325960
7.375000E-7	1.320969
7.500000E-7	1.337706
7.625000E-7	1.341459
7.750000E-7	1.320463
7.875000E-7	1.320387
8.000000E-7	1.322320
8.250000E-7	1.326617
8.500000E-7	1.332528
8.750000E-7	1.324703
9.000000E-7	1.317170
9.250000E-7	1.319421
9.500000E-7	1.313726
9.750000E-7	1.321879
1.000000E-6	1.324957
1.025000E-6	1.316569
1.050000E-6	1.314871
1.075000E-6	1.324178
1.100000E-6	1.308341
1.125000E-6	1.311981
1.150000E-6	1.323221
1.175000E-6	1.316522
1.200000E-6	1.317751
1.225000E-6	1.311109
1.250000E-6	1.322414
1.275000E-6	1.315790
1.300000E-6	1.317742
1.325000E-6	1.312976
1.350000E-6	1.315190
1.375000E-6	1.316926
1.400000E-6	1.301830
1.425000E-6	1.312253
1.450000E-6	1.306502
1.475000E-6	1.311944
1.500000E-6	1.315312
1.525000E-6	1.318305
1.550000E-6	1.310602
1.575000E-6	1.312404
1.600000E-6	1.317629
1.650000E-6	1.308163
1.700000E-6	1.310293
1.750000E-6	1.308580
1.800000E-6	1.314275
1.850000E-6	1.311479
1.900000E-6	1.312085
1.950000E-6	1.306244
2.000000E-6	1.302126
2.050000E-6	1.306821
2.100000E-6	1.306629
2.150000E-6	1.307084
2.200000E-6	1.302651
2.250000E-6	1.303964
2.300000E-6	1.304574
2.350000E-6	1.300132
2.400000E-6	1.299330
2.450000E-6	1.301938
2.500000E-6	1.294629
2.550000E-6	1.297810
2.600000E-6	1.303988
2.650000E-6	1.296295
2.700000E-6	1.299574
2.750000E-6	1.295413
2.800000E-6	1.292612
2.850000E-6	1.295671
2.900000E-6	1.294503
2.950000E-6	1.290173
3.000000E-6	1.294752
3.050000E-6	1.295099
3.100000E-6	1.289394
3.150000E-6	1.288850
3.200000E-6	1.293199
3.300000E-6	1.285855
3.400000E-6	1.283085
3.500000E-6	1.287394
3.600000E-6	1.285684
3.700000E-6	1.285492
3.800000E-6	1.280421
3.900000E-6	1.283418
4.000000E-6	1.285635
4.100000E-6	1.279417
4.200000E-6	1.283336
4.300000E-6	1.280085
4.400000E-6	1.280055
4.500000E-6	1.278579
4.600000E-6	1.276637
4.700000E-6	1.277367
4.800000E-6	1.276433
4.900000E-6	1.272024
5.000000E-6	1.274006
5.100000E-6	1.273239
5.200000E-6	1.270872
5.300000E-6	1.270094
5.400000E-6	1.273107
5.500000E-6	1.272988
5.600000E-6	1.269289
5.700000E-6	1.271126
5.800000E-6	1.272251
5.900000E-6	1.262461
6.000000E-6	1.266463
6.100000E-6	1.263484
6.200000E-6	1.263641
6.300000E-6	1.263353
6.400000E-6	1.259091
6.600000E-6	1.257935
6.800000E-6	1.256987
7.000000E-6	1.253131
7.200000E-6	1.252494
7.400000E-6	1.254290
7.600000E-6	1.250444
7.800000E-6	1.248539
8.000000E-6	1.250713
8.200000E-6	1.249310
8.400000E-6	1.243885
8.600000E-6	1.245393
8.800000E-6	1.244312
9.000000E-6	1.242569
9.200000E-6	1.240283
9.400000E-6	1.239158
9.600000E-6	1.238196
