ALV-5000/E-WIN Data
Date :	"21.09.2012"
Time :	"14:49:35"
Samplename : 	"puc18-0.1mg/ml"
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     299.69400
Viscosity [cp]  :	       0.85965
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	      56.00100
Duration [s]    :	        10
Runs            :	         1
Mode            :	"SINGLE CROSS CH0 "
MeanCR0 [kHz]   :	     163.90251
MeanCR1 [kHz]   :	     172.99010

"Correlation"
  2.00000E-004	  3.55350E-001
  4.00000E-004	  3.59774E-001
  6.00000E-004	  3.69078E-001
  8.00000E-004	  3.56154E-001
  1.00000E-003	  3.56026E-001
  1.20000E-003	  3.54674E-001
  1.40000E-003	  3.61583E-001
  1.60000E-003	  3.52169E-001
  1.80000E-003	  3.60395E-001
  2.00000E-003	  3.57288E-001
  2.20000E-003	  3.45954E-001
  2.40000E-003	  3.57434E-001
  2.60000E-003	  3.55971E-001
  2.80000E-003	  3.54692E-001
  3.00000E-003	  3.53705E-001
  3.20000E-003	  3.54821E-001
  3.60000E-003	  3.49200E-001
  4.00000E-003	  3.58650E-001
  4.40000E-003	  3.47701E-001
  4.80000E-003	  3.51248E-001
  5.20000E-003	  3.51660E-001
  5.60000E-003	  3.55525E-001
  6.00000E-003	  3.53140E-001
  6.40000E-003	  3.48480E-001
  7.20000E-003	  3.44343E-001
  8.00000E-003	  3.42812E-001
  8.80000E-003	  3.51352E-001
  9.60000E-003	  3.43332E-001
  1.04000E-002	  3.43592E-001
  1.12000E-002	  3.46924E-001
  1.20000E-002	  3.44090E-001
  1.28000E-002	  3.40349E-001
  1.44000E-002	  3.40049E-001
  1.60000E-002	  3.38494E-001
  1.76000E-002	  3.33508E-001
  1.92000E-002	  3.29470E-001
  2.08000E-002	  3.31579E-001
  2.24000E-002	  3.29824E-001
  2.40000E-002	  3.28683E-001
  2.56000E-002	  3.25045E-001
  2.88000E-002	  3.23317E-001
  3.20000E-002	  3.20709E-001
  3.52000E-002	  3.13108E-001
  3.84000E-002	  3.07796E-001
  4.16000E-002	  3.09043E-001
  4.48000E-002	  3.04291E-001
  4.80000E-002	  3.01058E-001
  5.12000E-002	  2.98001E-001
  5.76000E-002	  2.92104E-001
  6.40000E-002	  2.86923E-001
  7.04000E-002	  2.78112E-001
  7.68000E-002	  2.74299E-001
  8.32000E-002	  2.65937E-001
  8.96000E-002	  2.63016E-001
  9.60000E-002	  2.56932E-001
  1.02400E-001	  2.50544E-001
  1.15200E-001	  2.40511E-001
  1.28000E-001	  2.30609E-001
  1.40800E-001	  2.21692E-001
  1.53600E-001	  2.12884E-001
  1.66400E-001	  2.04181E-001
  1.79200E-001	  1.96116E-001
  1.92000E-001	  1.88791E-001
  2.04800E-001	  1.80155E-001
  2.30400E-001	  1.65558E-001
  2.56000E-001	  1.52659E-001
  2.81600E-001	  1.41210E-001
  3.07200E-001	  1.31474E-001
  3.32800E-001	  1.20368E-001
  3.58400E-001	  1.12031E-001
  3.84000E-001	  1.03026E-001
  4.09600E-001	  9.51190E-002
  4.60800E-001	  8.09716E-002
  5.12000E-001	  6.94741E-002
  5.63200E-001	  5.95488E-002
  6.14400E-001	  5.05528E-002
  6.65600E-001	  4.32653E-002
  7.16800E-001	  3.79326E-002
  7.68000E-001	  3.26585E-002
  8.19200E-001	  2.90886E-002
  9.21600E-001	  2.25959E-002
  1.02400E+000	  1.71277E-002
  1.12640E+000	  1.32233E-002
  1.22880E+000	  9.81853E-003
  1.33120E+000	  6.73822E-003
  1.43360E+000	  4.60398E-003
  1.53600E+000	  3.22319E-003
  1.63840E+000	  2.22531E-003
  1.84320E+000	  1.35456E-003
  2.04800E+000	  1.46079E-003
  2.25280E+000	 -9.69565E-004
  2.45760E+000	 -9.36947E-004
  2.66240E+000	  3.75316E-004
  2.86720E+000	 -7.72097E-004
  3.07200E+000	  5.36658E-004
  3.22560E+000	  1.51834E-003
  3.63520E+000	  3.07117E-003
  4.04480E+000	  2.44084E-003
  4.45440E+000	  2.71125E-004
  4.86400E+000	  1.59295E-003
  5.27360E+000	 -4.50883E-004
  5.68320E+000	 -3.36413E-003
  6.09280E+000	 -2.41046E-003
  6.50240E+000	 -1.91627E-003
  7.32160E+000	  4.53936E-004
  8.14080E+000	  6.99912E-004
  8.96000E+000	  1.39643E-004
  9.77920E+000	  1.08979E-003
  1.05984E+001	  7.33703E-005
  1.14176E+001	 -6.42725E-004
  1.22368E+001	 -1.04172E-003
  1.30560E+001	 -9.99635E-005
  1.46944E+001	 -4.69638E-004
  1.63328E+001	 -1.97230E-003
  1.79712E+001	  6.47084E-004
  1.96096E+001	 -3.46502E-004
  2.12480E+001	  8.27626E-005
  2.28864E+001	 -3.71748E-004
  2.45248E+001	  9.54705E-004
  2.61632E+001	  6.54822E-004
  2.94400E+001	 -1.46439E-003
  3.27168E+001	 -4.53888E-004
  3.59936E+001	 -1.33317E-003
  3.92704E+001	 -9.03701E-004
  4.25472E+001	  1.24244E-006
  4.58240E+001	  2.54450E-003
  4.91008E+001	  1.47877E-003
  5.23776E+001	  2.10560E-003
  5.89312E+001	  1.11250E-004
  6.54848E+001	  2.60151E-004
  7.20384E+001	  9.64206E-004
  7.85920E+001	 -9.45035E-004
  8.51456E+001	  6.73766E-005
  9.16992E+001	  5.81642E-006
  9.82528E+001	 -6.07099E-004
  1.04806E+002	 -8.86117E-004
  1.17914E+002	  1.13690E-003
  1.31021E+002	 -1.08289E-003
  1.44128E+002	  1.08842E-003
  1.57235E+002	 -1.00087E-004
  1.70342E+002	 -2.82721E-005
  1.83450E+002	  3.47300E-004
  1.96557E+002	  1.61386E-004
  2.09664E+002	 -6.45677E-004
  2.35878E+002	  5.72015E-004
  2.62093E+002	  5.26264E-005
  2.88307E+002	 -1.87814E-004
  3.14522E+002	 -4.76604E-004
  3.40736E+002	  3.56261E-004
  3.66950E+002	 -2.29528E-004
  3.93165E+002	 -1.33162E-005
  4.19379E+002	  4.89830E-004
  4.71808E+002	 -1.29311E-004
  5.24237E+002	 -9.69329E-005
  5.76666E+002	  2.92994E-004
  6.29094E+002	 -9.94267E-005
  6.81523E+002	 -7.76686E-005
  7.33952E+002	  1.45347E-004
  7.86381E+002	  5.77039E-004
  8.38810E+002	  4.24742E-004
  9.43667E+002	  6.02184E-005
  1.04852E+003	 -5.15602E-004
  1.15338E+003	  1.92382E-005
  1.25824E+003	  1.00727E-004
  1.36310E+003	  2.89788E-004
  1.46796E+003	  2.27174E-004
  1.57281E+003	  8.76763E-005
  1.67767E+003	 -3.83423E-004
  1.88739E+003	  9.59169E-006
  2.09710E+003	 -1.76334E-004
  2.30682E+003	 -5.18198E-005
  2.51653E+003	 -1.46173E-004
  2.72625E+003	  1.54893E-004
  2.93596E+003	 -3.63151E-004
  3.14568E+003	 -6.85461E-005

"Count Rate"
       0.03906	     153.26892	     164.34520
       0.07813	     149.23418	     160.00206
       0.11719	     158.97411	     167.40338
       0.15625	     179.81599	     187.39720
       0.19531	     163.44572	     173.39125
       0.23438	     156.01871	     163.13734
       0.27344	     172.56888	     180.22719
       0.31250	     179.22493	     190.48109
       0.35156	     157.68915	     167.58327
       0.39063	     177.34889	     188.55367
       0.42969	     174.39351	     186.65193
       0.46875	     164.47369	     176.06395
       0.50781	     178.81374	     183.79935
       0.54688	     165.60445	     178.19696
       0.58594	     150.93031	     160.79874
       0.62500	     170.64145	     185.64967
       0.66406	     170.33307	     181.35794
       0.70313	     169.84479	     180.86966
       0.74219	     167.71176	     172.98006
       0.78125	     160.02776	     174.72760
       0.82031	     148.51460	     155.76172
       0.85938	     165.50165	     174.72760
       0.89844	     181.38364	     191.27776
       0.93750	     168.63693	     174.80469
       0.97656	     155.42764	     167.35197
       1.01563	     134.68854	     143.63179
       1.05469	     178.63385	     186.39494
       1.09375	     168.53413	     175.19017
       1.13281	     149.97945	     161.49260
       1.17188	     160.72163	     167.78886
       1.21094	     183.54236	     194.56723
       1.25000	     170.15317	     184.64742
       1.28906	     162.77756	     172.51749
       1.32813	     178.78804	     191.09787
       1.36719	     188.55367	     198.06230
       1.40625	     152.42085	     163.57422
       1.44531	     165.86143	     175.01028
       1.48438	     181.17805	     186.90892
       1.52344	     162.59766	     173.75104
       1.56250	     144.47986	     153.32031
       1.60156	     170.89844	     173.33984
       1.64063	     163.93401	     172.90297
       1.67969	     188.86205	     196.54605
       1.71875	     171.51521	     184.33902
       1.75781	     158.30592	     170.46156
       1.79688	     169.81908	     177.52879
       1.83594	     151.67558	     154.91365
       1.87500	     158.28023	     164.47369
       1.91406	     161.56970	     175.39577
       1.95313	     160.23335	     168.94531
       1.99219	     157.81764	     169.71629
       2.03125	     158.97411	     172.10629
       2.07031	     186.08656	     197.21423
       2.10938	     175.42146	     183.67085
       2.14844	     162.77756	     176.34663
       2.18750	     188.57936	     190.37830
       2.22656	     166.99219	     175.34438
       2.26563	     173.15996	     182.84848
       2.30469	     163.49713	     176.83492
       2.34375	     175.49857	     184.62172
       2.38281	     169.84479	     181.35794
       2.42188	     162.85464	     171.38672
       2.46094	     171.79791	     181.10095
       2.50000	     157.17517	     165.73294
       2.53906	     168.55983	     176.52652
       2.57813	     164.26810	     175.98685
       2.61719	     163.26584	     172.10629
       2.65625	     161.62109	     170.25597
       2.69531	     166.96649	     168.97102
       2.73438	     160.41324	     167.27489
       2.77344	     169.51070	     177.65729
       2.81250	     167.78886	     179.79030
       2.85156	     198.19080	     208.41901
       2.89063	     199.68134	     215.33203
       2.92969	     159.05119	     166.94080
       2.96875	     171.05264	     180.22719
       3.00781	     182.48869	     196.90584
       3.04688	     172.56888	     173.77673
       3.08594	     143.34911	     152.52365
       3.12500	     159.46239	     165.91283
       3.16406	     167.37767	     175.52426
       3.20313	     158.02324	     168.17435
       3.24219	     173.41695	     185.11000
       3.28125	     166.94080	     173.77673
       3.32031	     160.54173	     173.03146
       3.35938	     166.94080	     177.29750
       3.39844	     146.38158	     155.58183
       3.43750	     139.87973	     151.52139
       3.47656	     165.73294	     175.42146
       3.51563	     170.05037	     179.58470
       3.55469	     169.87048	     179.73891
       3.59375	     160.79874	     173.18565
       3.63281	     160.33615	     174.77899
       3.67188	     177.55449	     187.39720
       3.71094	     156.09581	     164.37090
       3.75000	     149.85095	     162.85464
       3.78906	     156.01871	     167.45477
       3.82813	     173.28845	     180.07298
       3.86719	     158.35733	     167.40338
       3.90625	     159.69366	     167.84026
       3.94531	     140.44511	     143.81168
       3.98438	     147.58943	     153.93709
       4.02344	     164.26810	     169.99898
       4.06250	     183.41386	     194.02756
       4.10156	     157.97183	     165.68155
       4.14063	     159.82217	     169.30510
       4.17969	     126.97883	     134.07176
       4.21875	     168.86823	     176.44943
       4.25781	     177.11760	     192.22862
       4.29688	     158.48582	     164.11391
       4.33594	     181.10095	     190.96938
       4.37500	     161.20992	     173.82813
       4.41406	     152.36945	     158.25453
       4.45313	     162.75186	     169.51070
       4.49219	     168.09724	     177.81148
       4.53125	     161.62109	     173.93092
       4.57031	     181.94902	     190.94368
       4.60938	     163.24014	     171.59232
       4.64844	     146.97266	     153.37172
       4.68750	     172.08060	     178.14557
       4.72656	     171.82361	     177.88858
       4.76563	     145.50781	     154.88795
       4.80469	     164.75638	     172.15770
       4.84375	     181.87192	     194.15605
       4.88281	     143.01501	     154.34828
       4.92188	     162.98314	     174.47061
       4.96094	     156.32710	     162.41777
       5.00000	     153.83429	     161.31271
       5.03906	     165.39885	     175.06168
       5.07813	     160.51604	     166.52962
       5.11719	     153.62871	     167.68607
       5.15625	     156.14720	     170.46156
       5.19531	     175.57567	     180.68977
       5.23438	     163.83121	     173.87953
       5.27344	     162.26358	     174.80469
       5.31250	     154.55386	     160.61884
       5.35156	     152.60074	     161.51830
       5.39063	     155.78741	     163.57422
       5.42969	     159.53947	     167.63467
       5.46875	     199.73274	     207.46814
       5.50781	     153.11473	     161.62109
       5.54688	     167.94305	     179.61041
       5.58594	     150.82751	     160.95293
       5.62500	     183.46526	     193.41078
       5.66406	     176.98911	     189.14474
       5.70313	     172.49178	     180.30428
       5.74219	     153.60301	     160.31046
       5.78125	     156.32710	     161.41551
       5.82031	     144.58266	     150.93031
       5.85938	     143.42619	     147.35814
       5.89844	     160.31046	     162.82895
       5.93750	     144.42845	     155.29913
       5.97656	     157.20087	     165.32176
       6.01563	     183.10547	     192.28001
       6.05469	     171.00124	     179.71321
       6.09375	     172.85156	     186.26645
       6.13281	     155.11925	     160.05345
       6.17188	     148.48891	     153.73151
       6.21094	     146.81847	     153.01193
       6.25000	     171.87500	     176.91202
       6.28906	     168.25145	     173.82813
       6.32813	     154.19408	     160.69594
       6.36719	     165.19327	     173.67393
       6.40625	     154.32257	     161.38980
       6.44531	     170.15317	     181.30655
       6.48438	     149.64536	     157.22656
       6.52344	     164.24240	     172.85156
