ALV-5000/E-WIN Data
Date :	"10-Jan-11"
Time :	"11:32:28"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	      38.69208
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  38.674"	" 2,  38.742"	" 3,  38.762"	" 4,  38.702"	" 5,  38.700"	" 6,  38.692"	
  2.00000E-004	  2.38594E-001	  2.33685E-001	  2.62390E-001	  2.42865E-001	  2.17241E-001	  2.28139E-001	  2.47244E-001	
  4.00000E-004	  8.70237E-002	  9.83050E-002	  6.98712E-002	  9.52455E-002	  7.99246E-002	  8.86768E-002	  9.01190E-002	
  6.00000E-004	  6.45462E-002	  5.78931E-002	  7.63593E-002	  7.27841E-002	  4.30453E-002	  6.84975E-002	  6.86979E-002	
  8.00000E-004	  6.03022E-002	  4.18406E-002	  6.13695E-002	  7.78127E-002	  7.03965E-002	  6.10984E-002	  4.92956E-002	
  1.00000E-003	  5.96526E-002	  5.72196E-002	  8.70983E-002	  5.81450E-002	  4.70807E-002	  6.95064E-002	  3.88655E-002	
  1.20000E-003	  4.70860E-002	  3.64524E-002	  6.61797E-002	  5.05462E-002	  3.56470E-002	  4.18159E-002	  5.18751E-002	
  1.40000E-003	  4.63691E-002	  4.21774E-002	  5.27560E-002	  4.00418E-002	  4.42783E-002	  4.46186E-002	  5.43424E-002	
  1.60000E-003	  5.25280E-002	  5.40764E-002	  6.43899E-002	  5.22224E-002	  4.12518E-002	  3.22867E-002	  7.09410E-002	
  1.80000E-003	  4.21354E-002	  3.92587E-002	  5.04068E-002	  2.81965E-002	  2.20835E-002	  4.71970E-002	  6.56698E-002	
  2.00000E-003	  4.60097E-002	  3.22989E-002	  4.48136E-002	  4.77524E-002	  5.94112E-002	  4.80939E-002	  4.36880E-002	
  2.20000E-003	  4.86122E-002	  6.31691E-002	  4.63797E-002	  5.11049E-002	  4.82017E-002	  2.83630E-002	  5.44546E-002	
  2.40000E-003	  4.46559E-002	  5.50867E-002	  3.83254E-002	  4.47352E-002	  3.12753E-002	  4.36096E-002	  5.49032E-002	
  2.60000E-003	  5.32244E-002	  4.85759E-002	  4.77221E-002	  4.99874E-002	  6.41192E-002	  4.63002E-002	  6.26417E-002	
  2.80000E-003	  4.01029E-002	  3.89220E-002	  5.96915E-002	  4.44000E-002	  2.72399E-002	  3.96858E-002	  3.06783E-002	
  3.00000E-003	  3.89153E-002	  2.43288E-002	  4.87288E-002	  3.14372E-002	  3.83373E-002	  4.95513E-002	  4.11085E-002	
  3.20000E-003	  3.96492E-002	  4.89706E-002	  3.75415E-002	  3.47843E-002	  3.77768E-002	  4.53391E-002	  3.34830E-002	
  3.60000E-003	  3.58331E-002	  3.24130E-002	  3.67025E-002	  3.70192E-002	  3.41898E-002	  4.17517E-002	  3.29223E-002	
  4.00000E-003	  4.48993E-002	  5.25628E-002	  2.84805E-002	  4.52327E-002	  5.16206E-002	  3.53616E-002	  5.61378E-002	
  4.40000E-003	  3.96333E-002	  3.83064E-002	  4.70500E-002	  3.51195E-002	  4.55674E-002	  4.55633E-002	  2.61931E-002	
  4.80000E-003	  4.06538E-002	  2.60696E-002	  3.67025E-002	  5.26639E-002	  4.10276E-002	  4.26485E-002	  4.48104E-002	
  5.20000E-003	  3.82854E-002	  4.46479E-002	  2.85364E-002	  4.09304E-002	  3.96825E-002	  2.31980E-002	  5.27172E-002	
  5.60000E-003	  4.15816E-002	  3.89229E-002	  5.98025E-002	  3.76338E-002	  3.45261E-002	  2.92518E-002	  4.93526E-002	
  6.00000E-003	  3.94073E-002	  4.75104E-002	  4.36381E-002	  2.88058E-002	  3.53668E-002	  4.18077E-002	  3.93150E-002	
  6.40000E-003	  3.74433E-002	  3.96254E-002	  4.33566E-002	  3.69354E-002	  3.86745E-002	  3.26403E-002	  3.34279E-002	
  7.20000E-003	  3.42879E-002	  4.05234E-002	  3.17228E-002	  3.29125E-002	  2.49428E-002	  4.12725E-002	  3.43531E-002	
  8.00000E-003	  3.79692E-002	  4.24598E-002	  4.44473E-002	  3.28854E-002	  3.26214E-002	  4.10483E-002	  3.43531E-002	
  8.80000E-003	  3.80601E-002	  4.31334E-002	  3.20584E-002	  2.97565E-002	  4.24297E-002	  3.46582E-002	  4.63245E-002	
  9.60000E-003	  3.84382E-002	  4.11689E-002	  4.05321E-002	  3.14327E-002	  4.70536E-002	  3.10708E-002	  3.93710E-002	
  1.04000E-002	  3.45651E-002	  4.31614E-002	  3.68405E-002	  2.75215E-002	  2.77172E-002	  3.71806E-002	  3.49691E-002	
  1.12000E-002	  3.47894E-002	  3.88396E-002	  3.75677E-002	  3.37794E-002	  2.63440E-002	  3.90304E-002	  3.31755E-002	
  1.20000E-002	  3.29204E-002	  3.10659E-002	  3.22541E-002	  3.53439E-002	  3.11081E-002	  3.34531E-002	  3.42970E-002	
  1.28000E-002	  3.17036E-002	  2.91862E-002	  3.06104E-002	  2.92771E-002	  3.38991E-002	  3.05574E-002	  3.66916E-002	
  1.44000E-002	  2.87425E-002	  3.63565E-002	  3.30994E-002	  2.44161E-002	  2.49315E-002	  2.87777E-002	  2.48736E-002	
  1.60000E-002	  2.68712E-002	  2.99440E-002	  2.90582E-002	  3.01292E-002	  2.16247E-002	  2.35788E-002	  2.68923E-002	
  1.76000E-002	  3.00257E-002	  3.67915E-002	  1.95908E-002	  3.59540E-002	  3.22317E-002	  2.86376E-002	  2.69484E-002	
  1.92000E-002	  2.92989E-002	  2.88775E-002	  2.77290E-002	  3.26156E-002	  3.19795E-002	  2.59891E-002	  2.86026E-002	
  2.08000E-002	  2.60206E-002	  2.53415E-002	  2.68061E-002	  2.55336E-002	  2.55340E-002	  2.57920E-002	  2.71166E-002	
  2.24000E-002	  2.72117E-002	  2.60993E-002	  3.06654E-002	  2.27120E-002	  2.58983E-002	  3.50547E-002	  2.28408E-002	
  2.40000E-002	  2.62567E-002	  1.80170E-002	  3.27908E-002	  2.36758E-002	  2.43570E-002	  2.52184E-002	  3.34813E-002	
  2.56000E-002	  2.54747E-002	  2.24264E-002	  2.73821E-002	  2.61632E-002	  2.18199E-002	  2.65681E-002	  2.84887E-002	
  2.88000E-002	  2.26257E-002	  2.38436E-002	  2.39702E-002	  2.57441E-002	  1.92488E-002	  2.04382E-002	  2.25096E-002	
  3.20000E-002	  2.23410E-002	  2.38226E-002	  2.25858E-002	  2.40478E-002	  1.76794E-002	  2.38215E-002	  2.20890E-002	
  3.52000E-002	  2.08269E-002	  1.66524E-002	  2.23971E-002	  2.67996E-002	  2.42029E-002	  1.51543E-002	  1.97549E-002	
  3.84000E-002	  1.98765E-002	  2.01884E-002	  1.48951E-002	  2.25532E-002	  2.09801E-002	  1.68569E-002	  2.37853E-002	
  4.16000E-002	  1.93072E-002	  1.96341E-002	  2.13134E-002	  1.64908E-002	  1.85280E-002	  2.08857E-002	  1.89908E-002	
  4.48000E-002	  1.86785E-002	  1.74241E-002	  1.80833E-002	  2.07443E-002	  1.85140E-002	  1.84124E-002	  1.88927E-002	
  4.80000E-002	  1.69378E-002	  1.93885E-002	  2.14742E-002	  1.58902E-002	  1.28322E-002	  1.63875E-002	  1.56543E-002	
  5.12000E-002	  1.72668E-002	  1.79879E-002	  2.16331E-002	  1.77080E-002	  1.21035E-002	  1.63561E-002	  1.78122E-002	
