ALV-5000/E-WIN Data
Date :	"10-Jan-11"
Time :	"15:19:45"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"SINGLE CROSS CH0"
MeanCR0 [kHz]   :	      13.46968
MeanCR1 [kHz]   :	      63.82358

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  13.463"	" 2,  13.727"	" 3,  13.476"	" 4,  13.510"	" 5,  13.687"	" 6,  13.470"	
  2.00000E-004	  1.00925E-001	  1.21083E-001	  6.48287E-002	  9.40522E-002	  9.60269E-002	  1.17690E-001	  1.11872E-001	
  4.00000E-004	  7.55876E-002	  8.40766E-002	  5.77907E-002	  8.85236E-002	  8.68395E-002	  5.78207E-002	  7.84744E-002	
  6.00000E-004	  1.00709E-001	  1.22864E-001	  8.76546E-002	  1.08861E-001	  9.28993E-002	  8.90901E-002	  1.02888E-001	
  8.00000E-004	  9.60023E-002	  8.84303E-002	  1.00399E-001	  9.12879E-002	  1.23784E-001	  8.68021E-002	  8.53101E-002	
  1.00000E-003	  1.02785E-001	  1.01887E-001	  1.31785E-001	  9.32624E-002	  1.02478E-001	  9.69075E-002	  9.03880E-002	
  1.20000E-003	  9.01812E-002	  8.94198E-002	  9.27905E-002	  8.43773E-002	  8.44939E-002	  8.18448E-002	  1.08161E-001	
  1.40000E-003	  9.51410E-002	  8.48681E-002	  7.98558E-002	  9.81985E-002	  1.04041E-001	  8.94715E-002	  1.14411E-001	
  1.60000E-003	  9.07383E-002	  9.08050E-002	  8.17579E-002	  8.39824E-002	  9.64178E-002	  9.40475E-002	  9.74190E-002	
  1.80000E-003	  9.73171E-002	  1.31176E-001	  7.03450E-002	  8.63517E-002	  1.11274E-001	  8.88995E-002	  9.58566E-002	
  2.00000E-003	  8.72474E-002	  1.00106E-001	  9.50731E-002	  7.09509E-002	  8.35165E-002	  9.61448E-002	  7.76932E-002	
  2.20000E-003	  9.43638E-002	  7.55670E-002	  1.00589E-001	  1.14587E-001	  1.14401E-001	  6.02994E-002	  1.00739E-001	
  2.40000E-003	  9.59675E-002	  9.95125E-002	  9.37415E-002	  1.01358E-001	  1.02282E-001	  9.63355E-002	  8.25758E-002	
  2.60000E-003	  9.48477E-002	  1.10595E-001	  8.59427E-002	  6.14734E-002	  8.62531E-002	  1.03771E-001	  1.21051E-001	
  2.80000E-003	  9.65379E-002	  1.04262E-001	  8.36601E-002	  1.12810E-001	  1.02478E-001	  8.68021E-002	  8.92162E-002	
  3.00000E-003	  1.05677E-001	  1.24250E-001	  9.54535E-002	  1.01950E-001	  1.01305E-001	  1.13686E-001	  9.74190E-002	
  3.20000E-003	  9.85118E-002	  9.61476E-002	  1.00873E-001	  9.32618E-002	  9.74918E-002	  1.01580E-001	  1.01717E-001	
  3.60000E-003	  9.36650E-002	  9.23876E-002	  9.45958E-002	  9.44465E-002	  9.72963E-002	  9.41439E-002	  8.91197E-002	
  4.00000E-003	  9.62234E-002	  9.86214E-002	  1.13617E-001	  9.07937E-002	  9.77850E-002	  9.02353E-002	  8.62878E-002	
  4.40000E-003	  8.65704E-002	  8.05138E-002	  8.34682E-002	  7.71699E-002	  9.97397E-002	  7.59352E-002	  1.02596E-001	
  4.80000E-003	  9.96339E-002	  9.82256E-002	  9.94463E-002	  9.33605E-002	  1.05897E-001	  1.00817E-001	  1.00057E-001	
  5.20000E-003	  9.45150E-002	  9.39708E-002	  9.45958E-002	  1.02443E-001	  7.06140E-002	  1.04726E-001	  1.00740E-001	
  5.60000E-003	  9.87182E-002	  9.31792E-002	  9.59273E-002	  9.48414E-002	  1.02379E-001	  1.03582E-001	  1.02400E-001	
  6.00000E-003	  8.93103E-002	  9.30803E-002	  7.46232E-002	  9.35579E-002	  7.76511E-002	  9.75760E-002	  9.93732E-002	
  6.40000E-003	  9.49289E-002	  9.87776E-002	  9.58819E-002	  8.62036E-002	  8.05924E-002	  1.06010E-001	  1.02108E-001	
  7.20000E-003	  9.44818E-002	  1.06944E-001	  8.79879E-002	  8.75364E-002	  1.03268E-001	  8.63714E-002	  9.47836E-002	
  8.00000E-003	  9.59342E-002	  1.08923E-001	  1.02397E-001	  9.85934E-002	  8.09834E-002	  9.08044E-002	  9.39047E-002	
