ALV-5000/E-WIN Data
Date :	"10-Jan-11"
Time :	"14:38:43"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"DUAL AUTO CH1"
MeanCR0 [kHz]   :	      11.02682
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	"Run  1"	"Run  2"	"Run  3"	"Run  4"	"Run  5"	"Run  6"	"Average(1)"	" 1,   0.000"	" 2,   0.000"	" 3,   0.000"	" 4,   0.000"	" 5,   0.000"	" 6,   0.000"	
  4.00000E-004	  3.68576E-001	  4.29341E-001	  3.13530E-001	  2.18843E-001	  4.73406E-001	  3.78245E-001	  3.98093E-001	  5.28938E-001	  5.41804E-001	  5.37270E-001	  5.79564E-001	  5.35672E-001	  4.74382E-001	  5.04934E-001	
  8.00000E-004	  1.08997E-001	  2.02833E-001	  5.87199E-002	  1.78091E-001	  1.38206E-001	 -4.36666E-002	  1.19800E-001	  2.80989E-001	  3.16978E-001	  2.31435E-001	  3.24046E-001	  2.68844E-001	  2.79899E-001	  2.64733E-001	
  1.20000E-003	  8.89978E-002	  1.01295E-001	  1.92422E-002	  5.58364E-002	 -3.86028E-002	  1.63773E-001	  2.32442E-001	  2.47705E-001	  2.76528E-001	  2.60220E-001	  2.44036E-001	  2.30956E-001	  2.31470E-001	  2.43024E-001	
  1.60000E-003	  2.88928E-002	  4.66212E-002	  7.66643E-002	 -4.41902E-002	 -4.59698E-002	  3.36839E-002	  1.06548E-001	  2.30346E-001	  2.51129E-001	  1.86460E-001	  2.62963E-001	  2.01129E-001	  2.89892E-001	  1.90502E-001	
  2.00000E-003	  8.35765E-002	  1.63780E-001	  2.64200E-002	  1.11407E-001	  9.76872E-002	  5.55641E-003	  9.66085E-002	  2.10646E-001	  2.45485E-001	  2.33234E-001	  1.88114E-001	  2.11609E-001	  1.90728E-001	  1.94703E-001	
  2.40000E-003	  6.21369E-002	  9.73901E-002	  4.07755E-002	  8.91786E-002	  4.98015E-002	  6.53272E-002	  3.03482E-002	  2.34760E-001	  1.99390E-001	  2.56622E-001	  2.25109E-001	  2.21282E-001	  2.25320E-001	  2.80840E-001	
  2.80000E-003	  7.21265E-002	 -2.36743E-002	  1.59209E-001	  1.55863E-001	  2.77005E-002	  8.99388E-002	  2.37221E-002	  2.34384E-001	  2.04094E-001	  2.49426E-001	  2.62103E-001	  2.32568E-001	  2.28395E-001	  2.29718E-001	
  3.20000E-003	  5.26029E-002	  9.34848E-002	  8.47558E-003	  2.66082E-004	  6.08521E-002	  1.32130E-001	  2.04091E-002	  2.05360E-001	  1.98450E-001	  2.29636E-001	  1.64025E-001	  2.35792E-001	  1.97647E-001	  2.06608E-001	
  3.60000E-003	 -3.82051E-003	 -7.83485E-002	  4.07755E-002	 -5.53043E-002	 -4.22863E-002	  6.53272E-002	  4.69133E-002	  2.08959E-001	  2.11619E-001	  2.25139E-001	  2.14785E-001	  1.89843E-001	  1.70742E-001	  2.41623E-001	
  4.00000E-003	  3.37542E-002	 -7.05379E-002	  2.28311E-002	  7.06552E-002	  8.29532E-002	  1.39162E-001	 -4.25382E-002	  2.02547E-001	  2.12560E-001	  2.06249E-001	  1.76930E-001	  1.83394E-001	  2.49150E-001	  1.87000E-001	
  4.40000E-003	  5.91122E-002	  8.95795E-002	  1.56533E-002	  5.95411E-002	  1.34522E-001	 -1.47545E-003	  5.68523E-002	  1.97997E-001	  2.24789E-001	  1.52278E-001	  1.87254E-001	  2.08384E-001	  2.19171E-001	  1.96104E-001	
  4.80000E-003	  4.93041E-002	 -3.14849E-002	  3.35977E-002	  5.21317E-002	  7.55861E-002	  1.35646E-001	  3.03482E-002	  2.01560E-001	  1.95628E-001	  1.92756E-001	  1.74349E-001	  2.44660E-001	  2.19171E-001	  1.82798E-001	
  5.20000E-003	  1.13464E-002	 -7.05379E-002	  1.92422E-002	 -2.56667E-002	  3.87510E-002	  1.96201E-002	  8.66695E-002	  2.01718E-001	  1.78695E-001	  2.11646E-001	  2.11343E-001	  2.33374E-001	  1.70742E-001	  2.04508E-001	
  5.60000E-003	  2.78504E-002	  7.78636E-002	 -7.76576E-002	  2.61989E-002	 -9.38555E-002	  1.18066E-001	  1.16487E-001	  1.84066E-001	  1.86221E-001	  1.22594E-001	  1.70047E-001	  1.57598E-001	  2.52225E-001	  2.15712E-001	
  6.00000E-003	  2.77412E-002	  1.01295E-001	 -1.66466E-002	 -3.30761E-002	  6.82191E-002	  1.96201E-002	  2.70352E-002	  2.05837E-001	  1.65525E-001	  2.01751E-001	  2.15645E-001	  2.25313E-001	  2.38388E-001	  1.88401E-001	
  6.40000E-003	  7.26878E-002	  9.15322E-002	  5.51163E-002	 -3.86332E-002	  1.14279E-001	  1.03987E-001	  1.09846E-001	  2.06338E-001	  1.74462E-001	  2.04009E-001	  2.18226E-001	  2.16050E-001	  2.05718E-001	  2.19564E-001	
  7.20000E-003	  6.37114E-002	  1.09106E-001	  6.04995E-002	  1.16964E-001	 -4.22727E-002	  8.11340E-002	  5.68381E-002	  2.02256E-001	  2.22437E-001	  1.81521E-001	  2.05321E-001	  1.95494E-001	  2.36467E-001	  1.72294E-001	
  8.00000E-003	  6.92827E-002	  5.44318E-002	  5.87051E-002	  6.69505E-002	  9.40192E-002	  8.64078E-002	  5.51816E-002	  2.09113E-001	  2.36548E-001	  1.81970E-001	  2.01880E-001	  2.31367E-001	  2.02259E-001	  2.00656E-001	
  8.80000E-003	  3.29394E-002	  3.49053E-002	 -2.20436E-002	  5.58364E-002	  8.11267E-002	  6.88284E-002	 -2.10167E-002	  2.06360E-001	  2.12560E-001	  2.16152E-001	  2.22528E-001	  1.90254E-001	  2.10715E-001	  1.85950E-001	
  9.60000E-003	  3.63695E-003	  1.92841E-002	 -2.92212E-002	  5.95411E-002	 -3.30638E-002	 -3.66481E-002	  4.19297E-002	  2.02944E-001	  2.02687E-001	  1.68028E-001	  2.28550E-001	  2.31770E-001	  2.04181E-001	  1.82448E-001	
