ALV-5000/E-WIN Data
Date :	"10-Jan-11"
Time :	"14:46:47"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"DUAL AUTO CH0"
MeanCR0 [kHz]   :	       1.69277
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	"Run  1"	"Run  2"	"Run  3"	"Run  4"	"Run  5"	"Run  6"	"Average(1)"	" 1,   0.000"	" 2,   0.000"	" 3,   0.000"	" 4,   0.000"	" 5,   0.000"	" 6,   0.000"	
  4.00000E-004	  2.00422E-001	  1.91019E-001	  2.06589E-001	  1.96797E-001	  2.07352E-001	  2.01731E-001	  1.99046E-001	  2.06168E+000	  1.33282E+000	  1.73641E+000	  2.40367E+000	  2.42246E+000	  2.38431E+000	  2.09043E+000	
  8.00000E-004	  1.78091E-001	  1.80774E-001	  1.73723E-001	  1.86459E-001	  1.69223E-001	  1.77084E-001	  1.81283E-001	  5.01949E-001	  4.18606E-001	  5.68055E-001	  5.23546E-001	  9.47259E-001	  3.65600E-001	  1.88626E-001	
  1.20000E-003	  1.73357E-001	  1.65987E-001	  1.76977E-001	  1.79069E-001	  1.73793E-001	  1.72096E-001	  1.72221E-001	  3.29150E-001	  1.66409E-001	  3.83578E-001	  3.93883E-001	  2.39165E-001	  4.54661E-001	  3.37204E-001	
  1.60000E-003	  1.71933E-001	  1.69417E-001	  1.75615E-001	  1.70508E-001	  1.72178E-001	  1.67898E-001	  1.75982E-001	  1.55016E-001	  8.78657E-003	  3.83578E-001	  4.26299E-001	  6.21415E-002	  1.28105E-001	 -7.88150E-002	
  2.00000E-003	  1.69918E-001	  1.73497E-001	  1.64121E-001	  1.65433E-001	  1.75847E-001	  1.76227E-001	  1.64381E-001	  3.23107E-001	  1.66409E-001	  4.45070E-001	  6.53210E-001	  3.27677E-001	  3.06227E-001	  4.00476E-002	
  2.40000E-003	  1.64677E-001	  1.62302E-001	  1.61398E-001	  1.69924E-001	  1.63338E-001	  1.73541E-001	  1.57562E-001	  2.30379E-001	  4.03112E-002	  2.60593E-001	  1.66972E-001	 -5.58742E-002	  3.35914E-001	  6.34361E-001	
  2.80000E-003	  1.64965E-001	  1.60146E-001	  1.68437E-001	  1.64124E-001	  1.66569E-001	  1.68305E-001	  1.62206E-001	  1.27269E-001	  4.03112E-002	 -4.68687E-002	  3.73081E-002	  4.16189E-001	  1.87479E-001	  1.29195E-001	
  3.20000E-003	  1.67250E-001	  1.65153E-001	  1.70884E-001	  1.59329E-001	  1.72062E-001	  1.71397E-001	  1.64676E-001	  1.09256E-001	  2.60983E-001	 -2.62092E-001	  6.97240E-002	  3.26376E-002	  3.06227E-001	  2.48057E-001	
  3.60000E-003	  1.66212E-001	  1.77112E-001	  1.62506E-001	  1.68941E-001	  1.63984E-001	  1.63001E-001	  1.61731E-001	  1.10409E-001	  1.97934E-001	  4.53698E-002	  6.97240E-002	  3.26376E-002	  6.87308E-002	  2.48057E-001	
  4.00000E-003	  1.64854E-001	  1.68931E-001	  1.61629E-001	  1.74625E-001	  1.59668E-001	  1.58938E-001	  1.65333E-001	  1.40181E-001	  1.34885E-001	  4.53698E-002	  1.34556E-001	  2.09661E-001	  2.46853E-001	  6.97633E-002	
