ALV-5000/E-WIN Data
ALV-5000/EPP-WIN Data
Date :	"4/16/2010"
Time :	"12:10:15 PM"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	       0.00000
Angle [°]       :	       0.00000
Duration [s]    :	         5
Runs            :	         5
Mode            :	"SINGLE AUTO CH1"
MeanCR0 [kHz]   :	       0.73985
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,   1.554"	" 2,   1.204"	" 3,   1.124"	" 4,   0.877"	" 5,   0.740"	
  1.25000E-004	  4.83419E+000	  4.98920E+000	  7.86942E+000	  5.35525E+000	  1.08842E+000	  4.86865E+000	
  2.50000E-004	  1.85843E+000	  9.96399E-001	  1.21735E+000	  2.81315E+000	  5.26527E+000	 -1.00000E+000	
  3.75000E-004	  1.50722E+000	 -3.34534E-001	  1.21735E+000	  1.54210E+000	  3.17684E+000	  1.93433E+000	
  5.00000E-004	  1.59816E-001	  3.30933E-001	  1.08677E-001	  2.71050E-001	  1.08842E+000	 -1.00000E+000	
  6.25000E-004	  4.62091E-001	  9.96399E-001	  1.08677E-001	  2.71050E-001	 -1.00000E+000	  1.93433E+000	
  7.50000E-004	  3.06824E-001	 -3.34534E-001	 -1.00000E+000	 -1.00000E+000	 -1.00000E+000	  4.86865E+000	
  8.75000E-004	  3.28997E-001	  3.30933E-001	  1.08677E-001	  2.71050E-001	 -1.00000E+000	  1.93433E+000	
  1.00000E-003	 -4.23436E-001	 -3.34534E-001	  1.21735E+000	 -1.00000E+000	 -1.00000E+000	 -1.00000E+000	
  1.12500E-003	 -1.24775E-001	  9.96399E-001	  1.08677E-001	  2.71050E-001	 -1.00000E+000	 -1.00000E+000	
  1.25000E-003	  2.30054E-001	  1.66187E+000	  1.21735E+000	  2.71050E-001	 -1.00000E+000	 -1.00000E+000	
  1.37500E-003	 -8.66907E-001	 -3.34534E-001	 -1.00000E+000	 -1.00000E+000	 -1.00000E+000	 -1.00000E+000	
  1.50000E-003	  4.48021E-001	 -1.00000E+000	  1.21735E+000	 -1.00000E+000	  1.08842E+000	  1.93433E+000	
  1.62500E-003	  2.70736E-001	  3.30933E-001	 -1.00000E+000	 -1.00000E+000	  1.08842E+000	  1.93433E+000	
  1.75000E-003	 -4.49222E-001	 -3.34534E-001	 -1.00000E+000	 -1.00000E+000	  1.08842E+000	 -1.00000E+000	
  1.87500E-003	 -2.69845E-001	 -1.00000E+000	  1.08677E-001	  1.54210E+000	 -1.00000E+000	 -1.00000E+000	
  2.00000E-003	 -2.13547E-001	 -1.80057E-003	  6.63016E-001	  2.71050E-001	 -1.00000E+000	 -1.00000E+000	
  2.25000E-003	 -2.48666E-001	 -6.67267E-001	  1.08677E-001	  2.71050E-001	  4.42110E-002	 -1.00000E+000	
  2.50000E-003	 -2.35643E-001	  9.96399E-001	 -4.45661E-001	  2.71050E-001	 -1.00000E+000	 -1.00000E+000	
  2.75000E-003	  5.25784E-001	  1.32913E+000	  1.08677E-001	 -3.64475E-001	  1.08842E+000	  4.67164E-001	
  3.00000E-003	  9.61230E-002	 -1.80057E-003	  1.08677E-001	  9.06575E-001	 -1.00000E+000	  4.67164E-001	
  3.25000E-003	 -4.57508E-001	 -6.67267E-001	  1.08677E-001	  2.71050E-001	 -1.00000E+000	 -1.00000E+000	
  3.50000E-003	 -1.37746E-001	 -6.67267E-001	 -1.00000E+000	 -1.00000E+000	  4.42110E-002	  1.93433E+000	
  3.75000E-003	  1.06215E-001	 -1.80057E-003	 -4.45661E-001	 -1.00000E+000	  4.42110E-002	  1.93433E+000	
  4.00000E-003	 -2.70381E-001	 -1.80057E-003	 -4.45661E-001	 -6.82238E-001	  4.42110E-002	 -2.66418E-001	
  4.50000E-003	 -2.27144E-001	  6.63666E-001	 -1.68492E-001	 -3.64475E-001	 -1.00000E+000	 -2.66418E-001	
  5.00000E-003	  9.38907E-001	  6.63666E-001	  1.08677E-001	  5.88812E-001	  2.13263E+000	  1.20075E+000	
  5.50000E-003	 -8.72172E-002	 -3.34534E-001	 -4.45661E-001	 -1.00000E+000	  1.61053E+000	 -2.66418E-001	
  6.00000E-003	 -3.70201E-001	 -5.00900E-001	 -4.45661E-001	 -6.82238E-001	  4.42110E-002	 -2.66418E-001	
  6.50000E-003	 -2.22608E-001	 -6.67267E-001	  6.63016E-001	 -3.64475E-001	 -4.77895E-001	 -2.66418E-001	
  7.00000E-003	  5.61568E-001	  4.97299E-001	  3.85847E-001	 -3.64475E-001	  1.08842E+000	  1.20075E+000	
  7.50000E-003	 -2.12922E-001	 -3.34534E-001	  3.85847E-001	 -6.82238E-001	  5.66316E-001	 -1.00000E+000	
  8.00000E-003	 -7.07561E-002	 -2.51350E-001	  3.85847E-001	 -6.82238E-001	  8.27369E-001	 -6.33408E-001	
  9.00000E-003	 -2.26203E-001	  8.13827E-002	  5.24431E-001	 -3.64475E-001	 -7.38947E-001	 -6.33408E-001	
  1.00000E-002	 -3.26435E-001	 -3.34534E-001	  3.85847E-001	 -2.05594E-001	 -4.77895E-001	 -1.00000E+000	
  1.10000E-002	  3.34020E-001	  1.64566E-001	  2.47262E-001	  7.47693E-001	  4.42110E-002	  4.66368E-001	
  1.20000E-002	  4.26046E-001	  3.30933E-001	 -2.99074E-002	  4.29931E-001	  5.66316E-001	  8.32959E-001	
  1.30000E-002	 -2.49274E-001	 -1.68167E-001	 -4.45661E-001	  1.12169E-001	 -4.77895E-001	 -2.66816E-001	
  1.40000E-002	 -6.12579E-002	  1.64566E-001	 -3.07077E-001	 -4.67126E-002	 -2.16842E-001	  9.97757E-002	
