ALV-5000/E-WIN Data
Date :	"14.01.2011"
Time :	"12:07:01"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	      95.37508
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  5.39867E-001
  4.00000E-004	  2.62390E-001
  6.00000E-004	  2.12258E-001
  8.00000E-004	  1.84110E-001
  1.00000E-003	  1.67701E-001
  1.20000E-003	  1.71946E-001
  1.40000E-003	  1.76173E-001
  1.60000E-003	  1.50480E-001
  1.80000E-003	  1.63640E-001
  2.00000E-003	  1.61351E-001
  2.20000E-003	  1.59653E-001
  2.40000E-003	  1.59358E-001
  2.60000E-003	  1.60835E-001
  2.80000E-003	  1.53858E-001
  3.00000E-003	  1.51347E-001
  3.20000E-003	  1.46010E-001
  3.60000E-003	  1.45816E-001
  4.00000E-003	  1.50929E-001
  4.40000E-003	  1.43186E-001
  4.80000E-003	  1.44543E-001
  5.20000E-003	  1.41054E-001
  5.60000E-003	  1.40814E-001
  6.00000E-003	  1.35701E-001
  6.40000E-003	  1.35108E-001
  7.20000E-003	  1.28417E-001
  8.00000E-003	  1.29598E-001
  8.80000E-003	  1.24965E-001
  9.60000E-003	  1.29810E-001
  1.04000E-002	  1.24177E-001
  1.12000E-002	  1.20577E-001
  1.20000E-002	  1.21440E-001
  1.28000E-002	  1.17747E-001
  1.44000E-002	  1.14937E-001
  1.60000E-002	  1.12161E-001
  1.76000E-002	  1.08167E-001
  1.92000E-002	  1.07680E-001
  2.08000E-002	  1.04263E-001
  2.24000E-002	  1.03780E-001
  2.40000E-002	  1.00791E-001
  2.56000E-002	  9.99838E-002
  2.88000E-002	  9.54936E-002
  3.20000E-002	  9.38452E-002
  3.52000E-002	  8.86351E-002
  3.84000E-002	  8.31213E-002
  4.16000E-002	  8.26445E-002
  4.48000E-002	  7.87857E-002
  4.80000E-002	  7.64220E-002
  5.12000E-002	  7.53131E-002
  5.76000E-002	  7.25537E-002
  6.40000E-002	  7.01783E-002
  7.04000E-002	  6.60035E-002
  7.68000E-002	  6.37290E-002
  8.32000E-002	  6.00989E-002
  8.96000E-002	  5.92443E-002
  9.60000E-002	  5.66733E-002
  1.02400E-001	  5.49341E-002
  1.15200E-001	  5.11746E-002
  1.28000E-001	  4.83375E-002
  1.40800E-001	  4.59995E-002
  1.53600E-001	  4.38472E-002
  1.66400E-001	  4.24774E-002
  1.79200E-001	  3.98031E-002
  1.92000E-001	  3.82003E-002
  2.04800E-001	  3.62432E-002
  2.30400E-001	  3.38995E-002
  2.56000E-001	  3.24001E-002
  2.81600E-001	  2.99778E-002
  3.07200E-001	  2.93784E-002
  3.32800E-001	  2.71791E-002
  3.58400E-001	  2.63916E-002
  3.84000E-001	  2.50250E-002
  4.09600E-001	  2.42043E-002
  4.60800E-001	  2.28220E-002
  5.12000E-001	  2.13919E-002
  5.63200E-001	  2.04500E-002
  6.14400E-001	  1.88438E-002
  6.65600E-001	  1.79926E-002
  7.16800E-001	  1.63453E-002
  7.68000E-001	  1.61171E-002
  8.19200E-001	  1.54094E-002
  9.21600E-001	  1.40711E-002
  1.02400E+000	  1.33756E-002
  1.12640E+000	  1.27695E-002
  1.22880E+000	  1.15780E-002
  1.33120E+000	  1.14736E-002
  1.43360E+000	  1.01830E-002
  1.53600E+000	  9.66954E-003
  1.63840E+000	  9.16988E-003
  1.84320E+000	  8.71327E-003
  2.04800E+000	  7.69118E-003
  2.25280E+000	  7.38113E-003
  2.45760E+000	  7.01577E-003
  2.66240E+000	  6.00270E-003
  2.86720E+000	  5.68067E-003
  3.07200E+000	  5.68145E-003
  3.22560E+000	  5.50331E-003
  3.63520E+000	  4.73822E-003
  4.04480E+000	  4.26221E-003
  4.45440E+000	  4.28985E-003
  4.86400E+000	  4.28110E-003
  5.27360E+000	  3.59718E-003
  5.68320E+000	  3.35975E-003
  6.09280E+000	  3.01871E-003
  6.50240E+000	  2.75983E-003
  7.32160E+000	  2.81014E-003
  8.14080E+000	  2.34673E-003
  8.96000E+000	  2.57938E-003
  9.77920E+000	  2.10181E-003
  1.05984E+001	  1.72954E-003
  1.14176E+001	  2.00233E-003
  1.22368E+001	  1.96281E-003
  1.30560E+001	  2.01801E-003
  1.46944E+001	  1.65788E-003
  1.63328E+001	  1.17622E-003
  1.79712E+001	  1.45189E-003
  1.96096E+001	  1.00865E-003
  2.12480E+001	  9.90402E-004
  2.28864E+001	  1.54886E-003
  2.45248E+001	  1.55178E-003
  2.61632E+001	  1.08890E-003
  2.94400E+001	  5.55628E-004
  3.27168E+001	  4.70614E-004
  3.59936E+001	  1.52994E-004
  3.92704E+001	  3.45619E-004
  4.25472E+001	  2.94182E-004
  4.58240E+001	  5.36177E-004
  4.91008E+001	  2.14969E-004
  5.23776E+001	  4.67354E-004
  5.89312E+001	  4.68774E-004
  6.54848E+001	  5.07693E-004
  7.20384E+001	  2.64502E-004
  7.85920E+001	  3.84889E-004
  8.51456E+001	  3.70304E-004
  9.16992E+001	  2.15818E-004
  9.82528E+001	  1.30433E-004
  1.04806E+002	 -4.60574E-005
  1.17914E+002	 -7.43717E-005
  1.31021E+002	  8.56948E-006
  1.44128E+002	  5.93755E-005
  1.57235E+002	 -7.65554E-005
  1.70342E+002	 -1.05512E-004
