ALV-5000/E-WIN Data
Date :	"22-Aug-08"
Time :	"14:13:31"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	       0.00000
Angle [°]       :	       0.00000
Duration [s]    :	         3
Runs            :	         2
Mode            :	"DUAL AUTO CH0"
MeanCR0 [kHz]   :	      52.52520
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	"Run  1"	"Run  2"	"Average(1)"	" 1,   0.000"	" 2,   0.000"	
  4.00000E-004	  7.42354E-002	  6.42840E-002	  8.41869E-002	  6.60757E-003	  6.11583E-003	  7.09930E-003	
  8.00000E-004	  4.74439E-002	  4.95891E-002	  4.52987E-002	  9.44794E-003	  8.64963E-003	  1.02462E-002	
  1.20000E-003	  3.60349E-002	  5.52170E-002	  1.68528E-002	  3.86080E-003	  1.31707E-002	 -5.44912E-003	
  1.60000E-003	  2.93661E-002	  2.20753E-002	  3.66569E-002	  6.48379E-003	  1.55058E-002	 -2.53820E-003	
  2.00000E-003	 -4.55423E-003	 -1.73194E-002	  8.21096E-003	  1.50067E-002	  1.00904E-002	  1.99231E-002	
  2.40000E-003	  7.67793E-003	 -2.93721E-003	  1.82931E-002	  2.67486E-003	  7.25853E-003	 -1.90882E-003	
  2.80000E-003	  3.03656E-002	  2.55146E-002	  3.52166E-002	  6.97863E-003	  1.51580E-002	 -1.20075E-003	
  3.20000E-003	  3.50132E-002	  2.83285E-002	  4.16980E-002	  5.09527E-004	  3.08522E-003	 -2.06616E-003	
  3.60000E-003	  2.38769E-002	 -7.62706E-003	  5.53808E-002	  6.15703E-003	  9.81716E-003	  2.49690E-003	
  4.00000E-003	  3.57334E-002	  2.83285E-002	  4.31383E-002	  2.30332E-003	  5.76806E-003	 -1.16142E-003	
  4.40000E-003	  3.68743E-003	  1.64475E-002	 -9.07265E-003	 -1.46684E-003	  6.48845E-003	 -9.42213E-003	
  4.80000E-003	  2.44347E-002	  1.11324E-002	  3.77371E-002	  8.66148E-003	  2.06479E-002	 -3.32494E-003	
  5.20000E-003	  5.16628E-003	  6.44250E-003	  3.89006E-003	  1.03211E-002	  1.73192E-002	  3.32297E-003	
  5.60000E-003	  2.73331E-002	  2.98918E-002	  2.47744E-002	  2.90360E-003	  7.75535E-003	 -1.94815E-003	
  6.00000E-003	  1.85276E-002	 -3.56252E-003	  4.06177E-002	  1.21390E-002	  1.41892E-002	  1.00889E-002	
  6.40000E-003	  5.04775E-003	 -1.01901E-003	  1.11145E-002	  4.88762E-003	  1.64390E-002	 -6.66380E-003	
  7.20000E-003	  2.41440E-002	  4.27548E-002	  5.53322E-003	  8.23549E-003	  1.32221E-002	  3.24892E-003	
  8.00000E-003	  2.57939E-002	  2.33693E-002	  2.82185E-002	  4.12675E-003	  6.44035E-003	  1.81315E-003	
  8.80000E-003	  2.82837E-002	  2.25876E-002	  3.39798E-002	  4.81279E-003	  1.19427E-002	 -2.31715E-003	
  9.60000E-003	  1.32957E-002	  1.36765E-002	  1.29149E-002	  2.77504E-003	  7.19601E-003	 -1.64594E-003	
  1.04000E-002	  1.72877E-002	  8.51743E-003	  2.60580E-002	  5.31176E-003	  6.82139E-003	  3.80213E-003	
  1.12000E-002	  2.44881E-002	  3.22804E-002	  1.66958E-002	  7.69442E-003	  1.23734E-002	  3.01541E-003	
  1.20000E-002	  3.50772E-002	  3.50944E-002	  3.50601E-002	  3.04577E-003	  7.20643E-003	 -1.11490E-003	
  1.28000E-002	  1.87706E-002	  1.76766E-002	  1.98645E-002	  5.17231E-003	  1.11842E-002	 -8.39547E-004	
  1.44000E-002	  2.64719E-002	  2.53366E-002	  2.76071E-002	  5.16422E-003	  6.48698E-003	  3.84147E-003	
  1.60000E-002	  2.87940E-002	  1.43156E-002	  4.32724E-002	  3.66397E-003	  8.99604E-003	 -1.66810E-003	
  1.76000E-002	  2.35005E-002	  1.11110E-002	  3.58899E-002	  2.40622E-003	  8.23835E-003	 -3.42591E-003	
  1.92000E-002	  2.01920E-002	  2.68216E-002	  1.35624E-002	  4.57601E-003	  6.96519E-003	  2.18684E-003	
  2.08000E-002	  1.04000E-002	  9.93853E-003	  1.08615E-002	  4.72267E-003	  1.00809E-002	 -6.35530E-004	
  2.24000E-002	  2.02491E-002	  1.08126E-002	  2.96856E-002	  7.06602E-003	  1.11118E-002	  3.02022E-003	
  2.40000E-002	  2.81420E-002	  3.84825E-002	  1.78015E-002	  5.41527E-003	  8.09551E-003	  2.73504E-003	
  2.56000E-002	  1.47290E-002	  1.88818E-002	  1.05761E-002	  6.11078E-003	  7.85868E-003	  4.36288E-003	
  2.88000E-002	  2.57723E-002	  3.17405E-002	  1.98041E-002	  6.66725E-003	  9.87637E-003	  3.45814E-003	
  3.20000E-002	  1.54884E-002	  1.50516E-002	  1.59252E-002	  6.01330E-003	  9.85663E-003	  2.16996E-003	
  3.52000E-002	  1.33844E-002	  1.63804E-002	  1.03884E-002	  7.07245E-003	  8.59689E-003	  5.54801E-003	
  3.84000E-002	  1.85870E-002	  2.34546E-002	  1.37195E-002	  5.45181E-003	  1.11725E-002	 -2.68841E-004	
  4.16000E-002	  1.45839E-002	  8.87629E-003	  2.02915E-002	  6.57381E-003	  9.71397E-003	  3.43366E-003	
  4.48000E-002	  1.75296E-002	  1.30121E-002	  2.20471E-002	  5.90723E-003	  1.00846E-002	  1.72983E-003	
  4.80000E-002	  1.76747E-002	  2.56361E-002	  9.71319E-003	  8.04302E-003	  1.01718E-002	  5.91428E-003	
  5.12000E-002	  2.07181E-002	  2.59733E-002	  1.54630E-002	  4.92536E-003	  8.74742E-003	  1.10330E-003	
  5.76000E-002	  1.60875E-002	  1.52944E-002	  1.68807E-002	  7.44273E-003	  1.04160E-002	  4.46948E-003	
  6.40000E-002	  2.63789E-002	  2.50083E-002	  2.77495E-002	  6.23767E-003	  1.07698E-002	  1.70556E-003	
  7.04000E-002	  1.99787E-002	  2.31443E-002	  1.68132E-002	  5.46022E-003	  8.65174E-003	  2.26870E-003	
  7.68000E-002	  1.20408E-002	  1.40044E-002	  1.00772E-002	  6.10338E-003	  9.36765E-003	  2.83912E-003	
  8.32000E-002	  1.34072E-002	  6.85083E-003	  1.99636E-002	  5.03946E-003	  8.77908E-003	  1.29984E-003	
  8.96000E-002	  1.13299E-002	  1.54703E-002	  7.18957E-003	  6.83933E-003	  1.02200E-002	  3.45871E-003	
  9.60000E-002	  1.53243E-002	  1.27926E-002	  1.78560E-002	  4.30443E-003	  9.01552E-003	 -4.06652E-004	
  1.02400E-001	  1.50230E-002	  1.38470E-002	  1.61990E-002	  5.35079E-003	  9.23892E-003	  1.46266E-003	
  1.15200E-001	  1.50561E-002	  2.09943E-002	  9.11799E-003	  4.87326E-003	  9.32286E-003	  4.23670E-004	
  1.28000E-001	  1.53230E-002	  1.44921E-002	  1.61540E-002	  7.06802E-003	  1.07184E-002	  3.41764E-003	
  1.40800E-001	  9.40642E-003	  5.04780E-003	  1.37650E-002	  3.89968E-003	  7.59714E-003	  2.02219E-004	
  1.53600E-001	  1.75518E-002	  1.56304E-002	  1.94733E-002	  4.45093E-003	  8.03089E-003	  8.70973E-004	
  1.66400E-001	  1.36516E-002	  1.11343E-002	  1.61688E-002	  5.30455E-003	  8.82092E-003	  1.78818E-003	
  1.79200E-001	  1.77596E-002	  1.83306E-002	  1.71886E-002	  5.63456E-003	  9.78829E-003	  1.48083E-003	
  1.92000E-001	  1.24155E-002	  1.20264E-002	  1.28046E-002	  5.93421E-003	  8.75724E-003	  3.11118E-003	
  2.04800E-001	  9.78292E-003	  8.75397E-003	  1.08119E-002	  5.17178E-003	  8.18738E-003	  2.15618E-003	
  2.30400E-001	  8.22449E-003	  8.09682E-003	  8.35216E-003	  5.35530E-003	  9.71829E-003	  9.92310E-004	
  2.56000E-001	  1.13469E-002	  1.11830E-002	  1.15108E-002	  5.92955E-003	  9.16674E-003	  2.69236E-003	
  2.81600E-001	  8.00502E-003	  4.22548E-003	  1.17846E-002	  5.47829E-003	  9.12078E-003	  1.83581E-003	
  3.07200E-001	  1.07245E-002	  8.90059E-003	  1.25483E-002	  5.74587E-003	  9.30549E-003	  2.18626E-003	
  3.32800E-001	  8.85339E-003	  8.35852E-003	  9.34825E-003	  6.01581E-003	  9.57540E-003	  2.45622E-003	
  3.58400E-001	  1.12766E-002	  1.53133E-002	  7.23989E-003	  6.22409E-003	  9.01422E-003	  3.43395E-003	
  3.84000E-001	  9.87752E-003	  8.54202E-003	  1.12130E-002	  5.30050E-003	  8.73053E-003	  1.87047E-003	
  4.09600E-001	  6.77063E-003	  5.70410E-003	  7.83716E-003	  5.85934E-003	  9.07039E-003	  2.64829E-003	
  4.60800E-001	  8.86007E-003	  7.45677E-003	  1.02634E-002	  5.69295E-003	  8.88641E-003	  2.49950E-003	
  5.12000E-001	  8.90237E-003	  7.18391E-003	  1.06208E-002	  4.96869E-003	  8.44931E-003	  1.48808E-003	
  5.63200E-001	  9.45640E-003	  9.77006E-003	  9.14275E-003	  5.62854E-003	  8.98958E-003	  2.26750E-003	
  6.14400E-001	  8.73069E-003	  8.89318E-003	  8.56820E-003	  5.74962E-003	  9.04367E-003	  2.45558E-003	
  6.65600E-001	  6.33522E-003	  5.14677E-003	  7.52367E-003	  5.37443E-003	  9.13807E-003	  1.61079E-003	
  7.16800E-001	  5.16742E-003	  3.23909E-003	  7.09574E-003	  5.79284E-003	  9.67683E-003	  1.90885E-003	
  7.68000E-001	  6.13297E-003	  4.73394E-003	  7.53200E-003	  5.81574E-003	  9.27995E-003	  2.35154E-003	
  8.19200E-001	  7.67097E-003	  6.83517E-003	  8.50677E-003	  5.25204E-003	  8.96663E-003	  1.53744E-003	
  9.21600E-001	  5.23071E-003	  4.31613E-003	  6.14528E-003	  5.33744E-003	  9.02579E-003	  1.64908E-003	
  1.02400E+000	  5.03071E-003	  5.88551E-003	  4.17591E-003	  5.47836E-003	  8.92697E-003	  2.02974E-003	
  1.12640E+000	  5.35021E-003	  5.34967E-003	  5.35075E-003	  5.63078E-003	  8.68216E-003	  2.57940E-003	
  1.22880E+000	  4.20517E-003	  4.48319E-003	  3.92715E-003	  5.04396E-003	  8.69306E-003	  1.39486E-003	
  1.33120E+000	  4.76278E-003	  6.59399E-003	  2.93156E-003	  5.42100E-003	  9.03085E-003	  1.81116E-003	
  1.43360E+000	  3.59107E-003	  2.64042E-003	  4.54172E-003	  5.47386E-003	  9.03757E-003	  1.91015E-003	
  1.53600E+000	  4.50902E-003	  3.25138E-003	  5.76665E-003	  5.43201E-003	  9.06252E-003	  1.80149E-003	
  1.63840E+000	  3.59766E-003	  3.61840E-003	  3.57692E-003	  5.27633E-003	  8.56511E-003	  1.98756E-003	
  1.84320E+000	  3.30665E-003	  2.76616E-003	  3.84715E-003	  5.27290E-003	  9.18862E-003	  1.35717E-003	
  2.04800E+000	  3.15547E-003	  2.61698E-003	  3.69397E-003	  5.10388E-003	  8.41847E-003	  1.78930E-003	
  2.25280E+000	  2.32721E-003	  1.85682E-003	  2.79760E-003	  5.06574E-003	  8.49742E-003	  1.63407E-003	
  2.45760E+000	  3.04466E-003	  3.62567E-003	  2.46365E-003	  4.85661E-003	  8.22315E-003	  1.49007E-003	
  2.66240E+000	  2.26797E-003	  2.23373E-003	  2.30220E-003	  4.82426E-003	  8.43143E-003	  1.21709E-003	
  2.86720E+000	  2.34069E-003	  1.31372E-003	  3.36767E-003	  5.38846E-003	  8.79822E-003	  1.97870E-003	
  3.07200E+000	  1.27036E-003	  2.06318E-003	  4.77541E-004	  4.82379E-003	  8.60656E-003	  1.04102E-003	
  3.27680E+000	  9.41547E-004	  2.37773E-003	 -4.94634E-004	  4.99192E-003	  8.39631E-003	  1.58753E-003	
  3.68640E+000	  2.03917E-003	  1.99793E-003	  2.08041E-003	  5.11360E-003	  8.30264E-003	  1.92457E-003	
  4.09600E+000	  2.05144E-003	  2.01973E-003	  2.08314E-003	  5.01250E-003	  8.61863E-003	  1.40636E-003	
  4.50560E+000	  1.66946E-003	  1.20892E-003	  2.13001E-003	  5.14180E-003	  8.70582E-003	  1.57779E-003	
  4.91520E+000	  1.40812E-003	  1.33451E-003	  1.48173E-003	  5.18148E-003	  8.34779E-003	  2.01517E-003	
  5.32480E+000	  1.84781E-003	  1.65928E-003	  2.03633E-003	  5.11267E-003	  8.38641E-003	  1.83892E-003	
  5.73440E+000	  3.00203E-003	  2.24565E-003	  3.75841E-003	  5.03445E-003	  8.59055E-003	  1.47834E-003	
