ALV-5000/E-WIN Data
Date :	"11.02.2013"
Time :	"15:01:50"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	       0.00000
Angle [°]       :	       0.00000
Duration [s]    :	        60
Runs            :	         5
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     123.59176
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 125.471"	" 2, 124.904"	" 3, 123.333"	" 4, 122.813"	" 5, 123.592"	
  2.00000E-004	  4.48518E-001	  4.44736E-001	  4.44286E-001	  4.52167E-001	  4.53698E-001	  4.47704E-001	
  4.00000E-004	  2.39408E-001	  2.41351E-001	  2.36506E-001	  2.37784E-001	  2.42603E-001	  2.38796E-001	
  6.00000E-004	  2.02663E-001	  2.04697E-001	  2.03702E-001	  2.02622E-001	  1.98670E-001	  2.03623E-001	
  8.00000E-004	  1.85103E-001	  1.87768E-001	  1.84455E-001	  1.83479E-001	  1.86019E-001	  1.83795E-001	
  1.00000E-003	  1.78575E-001	  1.78628E-001	  1.77220E-001	  1.79916E-001	  1.77341E-001	  1.79768E-001	
  1.20000E-003	  1.72365E-001	  1.70850E-001	  1.69782E-001	  1.76858E-001	  1.72782E-001	  1.71554E-001	
  1.40000E-003	  1.69303E-001	  1.69552E-001	  1.68532E-001	  1.70370E-001	  1.69145E-001	  1.68918E-001	
  1.60000E-003	  1.66393E-001	  1.68186E-001	  1.67078E-001	  1.65722E-001	  1.68045E-001	  1.62931E-001	
  1.80000E-003	  1.61959E-001	  1.66852E-001	  1.59769E-001	  1.59047E-001	  1.63756E-001	  1.60372E-001	
  2.00000E-003	  1.60654E-001	  1.63463E-001	  1.58556E-001	  1.60220E-001	  1.59981E-001	  1.61048E-001	
  2.20000E-003	  1.56409E-001	  1.56452E-001	  1.54292E-001	  1.56460E-001	  1.55958E-001	  1.58882E-001	
  2.40000E-003	  1.53434E-001	  1.57230E-001	  1.52892E-001	  1.53501E-001	  1.51304E-001	  1.52245E-001	
  2.60000E-003	  1.54137E-001	  1.55387E-001	  1.49466E-001	  1.56318E-001	  1.50425E-001	  1.59089E-001	
  2.80000E-003	  1.50101E-001	  1.51585E-001	  1.48708E-001	  1.50980E-001	  1.49132E-001	  1.50101E-001	
  3.00000E-003	  1.50422E-001	  1.53031E-001	  1.48563E-001	  1.53682E-001	  1.44650E-001	  1.52185E-001	
  3.20000E-003	  1.49519E-001	  1.47591E-001	  1.50133E-001	  1.50946E-001	  1.48488E-001	  1.50438E-001	
  3.60000E-003	  1.48407E-001	  1.48020E-001	  1.47958E-001	  1.48689E-001	  1.50118E-001	  1.47251E-001	
  4.00000E-003	  1.44822E-001	  1.45171E-001	  1.44303E-001	  1.42827E-001	  1.44848E-001	  1.46961E-001	
  4.40000E-003	  1.44605E-001	  1.44355E-001	  1.46905E-001	  1.42992E-001	  1.44218E-001	  1.44552E-001	
  4.80000E-003	  1.42869E-001	  1.43095E-001	  1.40686E-001	  1.43775E-001	  1.42483E-001	  1.44306E-001	
  5.20000E-003	  1.39825E-001	  1.39672E-001	  1.39919E-001	  1.41079E-001	  1.39940E-001	  1.38513E-001	
  5.60000E-003	  1.39950E-001	  1.39402E-001	  1.39323E-001	  1.40317E-001	  1.40714E-001	  1.39992E-001	
  6.00000E-003	  1.37147E-001	  1.36217E-001	  1.36970E-001	  1.37454E-001	  1.38752E-001	  1.36341E-001	
  6.40000E-003	  1.35963E-001	  1.35928E-001	  1.35213E-001	  1.36046E-001	  1.37413E-001	  1.35213E-001	
  7.20000E-003	  1.33090E-001	  1.33290E-001	  1.32236E-001	  1.31904E-001	  1.33574E-001	  1.34446E-001	
  8.00000E-003	  1.28709E-001	  1.29832E-001	  1.27890E-001	  1.27618E-001	  1.27101E-001	  1.31106E-001	
  8.80000E-003	  1.27222E-001	  1.28640E-001	  1.28000E-001	  1.27991E-001	  1.25190E-001	  1.26287E-001	
  9.60000E-003	  1.24361E-001	  1.24333E-001	  1.25055E-001	  1.24610E-001	  1.23916E-001	  1.23889E-001	
  1.04000E-002	  1.21017E-001	  1.22675E-001	  1.21988E-001	  1.20483E-001	  1.19432E-001	  1.20507E-001	
  1.12000E-002	  1.20510E-001	  1.19338E-001	  1.19926E-001	  1.21423E-001	  1.20842E-001	  1.21022E-001	
  1.20000E-002	  1.18123E-001	  1.18574E-001	  1.15416E-001	  1.19952E-001	  1.18896E-001	  1.17778E-001	
  1.28000E-002	  1.16245E-001	  1.15938E-001	  1.16244E-001	  1.16264E-001	  1.16399E-001	  1.16379E-001	
  1.44000E-002	  1.13587E-001	  1.13975E-001	  1.13517E-001	  1.12755E-001	  1.14489E-001	  1.13199E-001	
  1.60000E-002	  1.08189E-001	  1.07414E-001	  1.06799E-001	  1.09330E-001	  1.08445E-001	  1.08957E-001	
  1.76000E-002	  1.05487E-001	  1.06610E-001	  1.04629E-001	  1.06252E-001	  1.04743E-001	  1.05202E-001	
  1.92000E-002	  1.02612E-001	  1.03896E-001	  1.01304E-001	  1.03097E-001	  1.01872E-001	  1.02892E-001	
  2.08000E-002	  1.00056E-001	  1.00511E-001	  1.00735E-001	  1.00638E-001	  9.87830E-002	  9.96151E-002	
  2.24000E-002	  9.70919E-002	  9.75622E-002	  9.57548E-002	  9.62077E-002	  9.84058E-002	  9.75290E-002	
  2.40000E-002	  9.46701E-002	  9.41798E-002	  9.39461E-002	  9.61338E-002	  9.41604E-002	  9.49306E-002	
  2.56000E-002	  9.26848E-002	  9.25246E-002	  9.30948E-002	  9.26487E-002	  9.26392E-002	  9.25166E-002	
  2.88000E-002	  8.78555E-002	  8.73706E-002	  8.84159E-002	  8.79100E-002	  8.82707E-002	  8.73102E-002	
  3.20000E-002	  8.36208E-002	  8.33135E-002	  8.33535E-002	  8.39318E-002	  8.38837E-002	  8.36217E-002	
  3.52000E-002	  8.02387E-002	  8.04958E-002	  7.98263E-002	  8.06014E-002	  8.01575E-002	  8.01127E-002	
  3.84000E-002	  7.71064E-002	  7.78074E-002	  7.77903E-002	  7.64351E-002	  7.68591E-002	  7.66401E-002	
  4.16000E-002	  7.38978E-002	  7.42943E-002	  7.36054E-002	  7.42547E-002	  7.39787E-002	  7.33557E-002	
  4.48000E-002	  7.06640E-002	  7.12984E-002	  7.02928E-002	  7.10826E-002	  7.21704E-002	  6.84760E-002	
  4.80000E-002	  6.83995E-002	  6.86109E-002	  6.87796E-002	  6.95426E-002	  6.74288E-002	  6.76355E-002	
  5.12000E-002	  6.59152E-002	  6.62620E-002	  6.55382E-002	  6.59228E-002	  6.63097E-002	  6.55434E-002	
  5.76000E-002	  6.14306E-002	  6.09661E-002	  6.13589E-002	  6.21851E-002	  6.15164E-002	  6.11264E-002	
  6.40000E-002	  5.75890E-002	  5.75833E-002	  5.74036E-002	  5.76665E-002	  5.80185E-002	  5.72733E-002	
  7.04000E-002	  5.38256E-002	  5.36755E-002	  5.36839E-002	  5.38042E-002	  5.47003E-002	  5.32640E-002	
  7.68000E-002	  5.13168E-002	  5.13974E-002	  5.12944E-002	  5.19662E-002	  5.18036E-002	  5.01227E-002	
  8.32000E-002	  4.83565E-002	  4.81651E-002	  4.89555E-002	  4.84376E-002	  4.89567E-002	  4.72677E-002	
  8.96000E-002	  4.56112E-002	  4.52753E-002	  4.68258E-002	  4.45052E-002	  4.63691E-002	  4.50809E-002	
  9.60000E-002	  4.37179E-002	  4.35280E-002	  4.38113E-002	  4.34399E-002	  4.45262E-002	  4.32840E-002	
  1.02400E-001	  4.16123E-002	  4.14825E-002	  4.18755E-002	  4.18616E-002	  4.17495E-002	  4.10926E-002	
  1.15200E-001	  3.81444E-002	  3.81686E-002	  3.79452E-002	  3.84933E-002	  3.83277E-002	  3.77872E-002	
  1.28000E-001	  3.51722E-002	  3.46265E-002	  3.50034E-002	  3.56514E-002	  3.58944E-002	  3.46850E-002	
  1.40800E-001	  3.26421E-002	  3.23261E-002	  3.28740E-002	  3.24911E-002	  3.28521E-002	  3.26670E-002	
  1.53600E-001	  2.99913E-002	  3.02277E-002	  3.00781E-002	  2.96833E-002	  3.04132E-002	  2.95542E-002	
