ALV-5000/E-WIN Data
Date :	"11.02.2013"
Time :	"18:21:07"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	       0.00000
Angle [°]       :	       0.00000
Duration [s]    :	        60
Runs            :	        10
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	      21.73367
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  22.737"	" 2,  24.080"	" 3,  23.518"	" 4,  23.867"	" 5,  24.457"	" 6,  22.061"	" 7,  23.723"	" 8,  23.487"	" 9,  23.492"	"10,  21.734"	
  2.00000E-004	  2.72022E+000	  2.72224E+000	  2.64304E+000	  2.70292E+000	  2.71479E+000	  2.65413E+000	  2.87508E+000	  2.62998E+000	  2.72182E+000	  2.65788E+000	  2.88038E+000	
  4.00000E-004	  1.54511E+000	  1.55846E+000	  1.55469E+000	  1.58291E+000	  1.51477E+000	  1.49323E+000	  1.61799E+000	  1.47899E+000	  1.51531E+000	  1.49750E+000	  1.63722E+000	
  6.00000E-004	  1.35022E+000	  1.34464E+000	  1.35197E+000	  1.33663E+000	  1.33272E+000	  1.29198E+000	  1.40148E+000	  1.34123E+000	  1.37629E+000	  1.31079E+000	  1.41449E+000	
  8.00000E-004	  1.25207E+000	  1.22596E+000	  1.28138E+000	  1.26896E+000	  1.22472E+000	  1.20753E+000	  1.33159E+000	  1.21680E+000	  1.23379E+000	  1.23829E+000	  1.29166E+000	
  1.00000E-003	  1.22873E+000	  1.17081E+000	  1.24860E+000	  1.27363E+000	  1.23599E+000	  1.16377E+000	  1.28808E+000	  1.20420E+000	  1.19571E+000	  1.19267E+000	  1.31390E+000	
  1.20000E-003	  1.18343E+000	  1.15565E+000	  1.20115E+000	  1.16556E+000	  1.21140E+000	  1.14997E+000	  1.25965E+000	  1.13014E+000	  1.19994E+000	  1.14403E+000	  1.21683E+000	
  1.40000E-003	  1.17646E+000	  1.12340E+000	  1.18591E+000	  1.20038E+000	  1.16969E+000	  1.14523E+000	  1.22745E+000	  1.11014E+000	  1.19964E+000	  1.14902E+000	  1.25371E+000	
  1.60000E-003	  1.16125E+000	  1.13936E+000	  1.17872E+000	  1.17189E+000	  1.15798E+000	  1.12419E+000	  1.22248E+000	  1.12377E+000	  1.18029E+000	  1.11820E+000	  1.19565E+000	
  1.80000E-003	  1.15251E+000	  1.15629E+000	  1.15212E+000	  1.17506E+000	  1.15169E+000	  1.08559E+000	  1.22899E+000	  1.10540E+000	  1.13163E+000	  1.11654E+000	  1.22177E+000	
  2.00000E-003	  1.15321E+000	  1.13501E+000	  1.17599E+000	  1.19480E+000	  1.18506E+000	  1.08391E+000	  1.20330E+000	  1.11355E+000	  1.14750E+000	  1.10914E+000	  1.18383E+000	
  2.20000E-003	  1.13186E+000	  1.09857E+000	  1.14120E+000	  1.13738E+000	  1.14145E+000	  1.09743E+000	  1.20313E+000	  1.09859E+000	  1.14977E+000	  1.09660E+000	  1.15453E+000	
  2.40000E-003	  1.13155E+000	  1.07583E+000	  1.11417E+000	  1.17008E+000	  1.15930E+000	  1.10370E+000	  1.18308E+000	  1.09088E+000	  1.13994E+000	  1.09434E+000	  1.18418E+000	
  2.60000E-003	  1.14025E+000	  1.07454E+000	  1.13401E+000	  1.16827E+000	  1.15491E+000	  1.10579E+000	  1.23053E+000	  1.08644E+000	  1.15506E+000	  1.09690E+000	  1.19600E+000	
  2.80000E-003	  1.13133E+000	  1.08647E+000	  1.13444E+000	  1.17747E+000	  1.11598E+000	  1.13018E+000	  1.18702E+000	  1.06866E+000	  1.12801E+000	  1.06911E+000	  1.21595E+000	
  3.00000E-003	  1.12524E+000	  1.09357E+000	  1.12164E+000	  1.14793E+000	  1.14145E+000	  1.10886E+000	  1.18069E+000	  1.07340E+000	  1.10171E+000	  1.11397E+000	  1.16918E+000	
  3.20000E-003	  1.11525E+000	  1.06542E+000	  1.12753E+000	  1.13127E+000	  1.13844E+000	  1.08851E+000	  1.17888E+000	  1.05844E+000	  1.10889E+000	  1.09176E+000	  1.16335E+000	
  3.60000E-003	  1.11516E+000	  1.08453E+000	  1.12789E+000	  1.14929E+000	  1.12417E+000	  1.06384E+000	  1.17486E+000	  1.06622E+000	  1.11025E+000	  1.07734E+000	  1.17324E+000	
  4.00000E-003	  1.09380E+000	  1.06888E+000	  1.10791E+000	  1.12698E+000	  1.10873E+000	  1.05527E+000	  1.15662E+000	  1.06148E+000	  1.08154E+000	  1.04683E+000	  1.12373E+000	
  4.40000E-003	  1.10160E+000	  1.11154E+000	  1.08908E+000	  1.10799E+000	  1.12241E+000	  1.05827E+000	  1.14591E+000	  1.07970E+000	  1.09529E+000	  1.04146E+000	  1.16432E+000	
  4.80000E-003	  1.10000E+000	  1.07759E+000	  1.10252E+000	  1.12178E+000	  1.10946E+000	  1.05590E+000	  1.18145E+000	  1.05326E+000	  1.09892E+000	  1.05105E+000	  1.14809E+000	
  5.20000E-003	  1.09057E+000	  1.05365E+000	  1.10237E+000	  1.12720E+000	  1.10149E+000	  1.03583E+000	  1.14814E+000	  1.05437E+000	  1.08788E+000	  1.05189E+000	  1.14288E+000	
  5.60000E-003	  1.09429E+000	  1.08461E+000	  1.07829E+000	  1.10656E+000	  1.09497E+000	  1.04928E+000	  1.14163E+000	  1.06029E+000	  1.09423E+000	  1.06646E+000	  1.16662E+000	
  6.00000E-003	  1.09614E+000	  1.06211E+000	  1.11028E+000	  1.12442E+000	  1.11012E+000	  1.06085E+000	  1.15353E+000	  1.03252E+000	  1.09650E+000	  1.05166E+000	  1.15938E+000	
  6.40000E-003	  1.09044E+000	  1.05678E+000	  1.10093E+000	  1.10392E+000	  1.08938E+000	  1.04858E+000	  1.16185E+000	  1.03903E+000	  1.10022E+000	  1.05634E+000	  1.14734E+000	
  7.20000E-003	  1.08540E+000	  1.04678E+000	  1.09119E+000	  1.11696E+000	  1.10752E+000	  1.06810E+000	  1.14181E+000	  1.03774E+000	  1.07525E+000	  1.04244E+000	  1.12620E+000	
  8.00000E-003	  1.08011E+000	  1.04566E+000	  1.08763E+000	  1.10818E+000	  1.09113E+000	  1.03378E+000	  1.13881E+000	  1.03222E+000	  1.08919E+000	  1.04127E+000	  1.13326E+000	
  8.80000E-003	  1.07511E+000	  1.04739E+000	  1.09564E+000	  1.10166E+000	  1.08206E+000	  1.03468E+000	  1.14142E+000	  1.02807E+000	  1.06342E+000	  1.03032E+000	  1.12647E+000	
  9.60000E-003	  1.06609E+000	  1.05852E+000	  1.08375E+000	  1.09039E+000	  1.07240E+000	  1.02653E+000	  1.10943E+000	  1.00885E+000	  1.05908E+000	  1.02495E+000	  1.12695E+000	
  1.04000E-002	  1.06437E+000	  1.03493E+000	  1.09298E+000	  1.08124E+000	  1.07218E+000	  1.01991E+000	  1.09243E+000	  1.03518E+000	  1.06762E+000	  1.02756E+000	  1.11963E+000	
  1.12000E-002	  1.06323E+000	  1.04001E+000	  1.07785E+000	  1.07796E+000	  1.05502E+000	  1.02148E+000	  1.12224E+000	  1.03666E+000	  1.06671E+000	  1.02008E+000	  1.11425E+000	
  1.20000E-002	  1.06491E+000	  1.02562E+000	  1.09482E+000	  1.09484E+000	  1.06765E+000	  1.02604E+000	  1.10481E+000	  1.02737E+000	  1.06255E+000	  1.02801E+000	  1.11742E+000	
  1.28000E-002	  1.06117E+000	  1.02944E+000	  1.07841E+000	  1.07836E+000	  1.08048E+000	  1.02055E+000	  1.10533E+000	  1.02182E+000	  1.05970E+000	  1.02546E+000	  1.11217E+000	
  1.44000E-002	  1.06477E+000	  1.03841E+000	  1.08141E+000	  1.08550E+000	  1.07775E+000	  1.02839E+000	  1.11869E+000	  1.01484E+000	  1.06590E+000	  1.02405E+000	  1.11274E+000	
  1.60000E-002	  1.05216E+000	  1.04036E+000	  1.07392E+000	  1.07508E+000	  1.05545E+000	  1.01365E+000	  1.09143E+000	  1.00836E+000	  1.05498E+000	  1.01183E+000	  1.09657E+000	
  1.76000E-002	  1.05388E+000	  1.02680E+000	  1.06698E+000	  1.07879E+000	  1.06257E+000	  1.01174E+000	  1.11764E+000	  1.00551E+000	  1.04818E+000	  1.01228E+000	  1.10826E+000	
  1.92000E-002	  1.05258E+000	  1.03061E+000	  1.05181E+000	  1.06312E+000	  1.07276E+000	  1.01341E+000	  1.10882E+000	  1.01306E+000	  1.05619E+000	  1.01461E+000	  1.10145E+000	
  2.08000E-002	  1.05154E+000	  1.02011E+000	  1.06781E+000	  1.06982E+000	  1.06129E+000	  1.01599E+000	  1.10869E+000	  1.00742E+000	  1.04608E+000	  1.02031E+000	  1.09785E+000	
  2.24000E-002	  1.05227E+000	  1.03395E+000	  1.05943E+000	  1.06966E+000	  1.06155E+000	  1.01210E+000	  1.09989E+000	  1.00881E+000	  1.04835E+000	  1.01685E+000	  1.11215E+000	
  2.40000E-002	  1.04884E+000	  1.02377E+000	  1.05627E+000	  1.07214E+000	  1.06133E+000	  1.00378E+000	  1.10145E+000	  1.01136E+000	  1.05296E+000	  1.00530E+000	  1.10008E+000	
  2.56000E-002	  1.04576E+000	  1.01918E+000	  1.05773E+000	  1.06847E+000	  1.05966E+000	  1.00602E+000	  1.09677E+000	  9.94563E-001	  1.04886E+000	  1.00377E+000	  1.10253E+000	
  2.88000E-002	  1.04937E+000	  1.02377E+000	  1.06241E+000	  1.06288E+000	  1.05040E+000	  1.01806E+000	  1.11391E+000	  1.00206E+000	  1.04558E+000	  1.00785E+000	  1.10676E+000	
  3.20000E-002	  1.04187E+000	  1.01600E+000	  1.05725E+000	  1.05835E+000	  1.04841E+000	  1.00597E+000	  1.10080E+000	  1.00082E+000	  1.03642E+000	  1.00731E+000	  1.08741E+000	
  3.52000E-002	  1.04268E+000	  1.01235E+000	  1.05920E+000	  1.05900E+000	  1.04621E+000	  1.00503E+000	  1.10078E+000	  9.99081E-001	  1.04037E+000	  1.00846E+000	  1.09631E+000	
  3.84000E-002	  1.03813E+000	  1.00537E+000	  1.04725E+000	  1.06233E+000	  1.05164E+000	  9.95017E-001	  1.09453E+000	  9.94424E-001	  1.03875E+000	  1.00298E+000	  1.08898E+000	
  4.16000E-002	  1.03506E+000	  1.00520E+000	  1.04129E+000	  1.05361E+000	  1.04628E+000	  9.97848E-001	  1.09911E+000	  9.95609E-001	  1.03078E+000	  9.95152E-001	  1.08570E+000	
