# number, position 1[micrometer], ideal position 1 [micrometer] 
0, -3058.494, -3058.51
1, -3058.1214, -3058.11
2, -3057.7143, -3057.71
3, -3057.3348, -3057.31
4, -3056.9001, -3056.91
5, -3056.493, -3056.51
6, -3056.0859, -3056.11
7, -3055.734, -3055.71
8, -3055.2993, -3055.31
9, -3054.8784, -3054.91
10, -3054.5541, -3054.51
11, -3054.0642, -3054.11
12, -3053.7261, -3053.71
13, -3053.2914, -3053.31
14, -3052.9188, -3052.91
15, -3052.4772, -3052.51
16, -3052.1184, -3052.11
17, -3051.7044, -3051.71
18, -3051.3042, -3051.31
19, -3050.8902, -3050.91
20, -3050.5038, -3050.51
21, -3050.1312, -3050.11
22, -3049.6758, -3049.71
23, -3049.317, -3049.31
24, -3048.8823, -3048.91
25, -3048.5166, -3048.51
26, -3048.0957, -3048.11
27, -3047.7093, -3047.71
28, -3047.3229, -3047.31
29, -3046.8744, -3046.91
30, -3046.5087, -3046.51
31, -3046.1016, -3046.11
32, -3045.7152, -3045.71
33, -3045.2874, -3045.31
34, -3044.901, -3044.91
35, -3044.5215, -3044.51
36, -3044.0799, -3044.11
37, -3043.7142, -3043.71
38, -3043.314, -3043.31
39, -3042.8862, -3042.91
40, -3042.5067, -3042.51
41, -3042.0858, -3042.11
42, -3041.7615, -3041.71
43, -3041.2647, -3041.31
44, -3040.9266, -3040.91
45, -3040.4988, -3040.51
46, -3040.1124, -3040.11
47, -3039.6915, -3039.71
48, -3039.3051, -3039.31
49, -3038.9325, -3038.91
50, -3038.484, -3038.51
51, -3038.1114, -3038.11
52, -3037.7181, -3037.71
53, -3037.2903, -3037.31
54, -3036.9108, -3036.91
55, -3036.4899, -3036.51
56, -3036.1242, -3036.11
57, -3035.6826, -3035.71
58, -3035.3238, -3035.31
59, -3034.9236, -3034.91
60, -3034.4958, -3034.51
61, -3034.0956, -3034.11
62, -3033.6816, -3033.71
63, -3033.3504, -3033.31
64, -3032.8812, -3032.91
65, -3032.5224, -3032.51
66, -3032.1084, -3032.11
67, -3031.6806, -3031.71
68, -3031.3149, -3031.31
69, -3030.8733, -3030.91
70, -3030.5421, -3030.51
71, -3030.066, -3030.11
72, -3029.7141, -3029.71
73, -3029.2932, -3029.31
74, -3028.9137, -3028.91
75, -3028.4859, -3028.51
76, -3028.1064, -3028.11
77, -3027.7062, -3027.71
78, -3027.306, -3027.31
79, -3026.9058, -3026.91
80, -3026.5125, -3026.51
81, -3026.1192, -3026.11
82, -3025.6707, -3025.71
83, -3025.3257, -3025.31
84, -3024.8979, -3024.91
85, -3024.5184, -3024.51
86, -3024.0837, -3024.11
87, -3023.6973, -3023.71
88, -3023.3316, -3023.31
89, -3022.8762, -3022.91
90, -3022.5174, -3022.51
91, -3022.1103, -3022.11
92, -3021.6963, -3021.71
93, -3021.2961, -3021.31
94, -3020.8821, -3020.91
95, -3020.544, -3020.51
96, -3020.0679, -3020.11
97, -3019.7229, -3019.71
98, -3019.2882, -3019.31
99, -3018.9087, -3018.91
100, -3018.4878, -3018.51
