# number, position 1[micrometer], ideal position 1 [micrometer] 
0, -3057.5073, -3057.51
1, -3057.1416, -3057.11
2, -3056.7207, -3056.71
3, -3056.3067, -3056.31
4, -3055.9065, -3055.91
5, -3055.4994, -3055.51
6, -3055.0854, -3055.11
7, -3054.7335, -3054.71
8, -3054.2988, -3054.31
9, -3053.9124, -3053.91
10, -3053.4846, -3053.51
11, -3053.1327, -3053.11
12, -3052.6773, -3052.71
13, -3052.3254, -3052.31
14, -3051.8907, -3051.91
15, -3051.5181, -3051.51
16, -3051.0765, -3051.11
17, -3050.7315, -3050.71
18, -3050.2899, -3050.31
19, -3049.9104, -3049.91
20, -3049.4964, -3049.51
21, -3049.0893, -3049.11
22, -3048.7374, -3048.71
23, -3048.282, -3048.31
24, -3047.8956, -3047.91
25, -3047.5299, -3047.51
26, -3047.0814, -3047.11
27, -3046.7019, -3046.71
28, -3046.2879, -3046.31
29, -3045.9429, -3045.91
30, -3045.4668, -3045.51
31, -3045.1149, -3045.11
32, -3044.6871, -3044.71
33, -3044.3076, -3044.31
34, -3043.8936, -3043.91
35, -3043.5072, -3043.51
36, -3043.1208, -3043.11
37, -3042.6792, -3042.71
38, -3042.2997, -3042.31
39, -3041.9271, -3041.91
40, -3041.4924, -3041.51
41, -3041.1129, -3041.11
42, -3040.6782, -3040.71
43, -3040.3677, -3040.31
44, -3039.8571, -3039.91
45, -3039.5259, -3039.51
46, -3039.0981, -3039.11
47, -3038.7048, -3038.71
48, -3038.2908, -3038.31
49, -3037.8906, -3037.91
50, -3037.5456, -3037.51
51, -3037.0764, -3037.11
52, -3036.7176, -3036.71
53, -3036.2967, -3036.31
54, -3035.9034, -3035.91
55, -3035.4894, -3035.51
56, -3035.1168, -3035.11
57, -3034.7235, -3034.71
58, -3034.2888, -3034.31
59, -3033.8955, -3033.91
60, -3033.5091, -3033.51
61, -3033.1227, -3033.11
62, -3032.6949, -3032.71
63, -3032.3016, -3032.31
64, -3031.9152, -3031.91
65, -3031.4805, -3031.51
66, -3031.1148, -3031.11
67, -3030.7077, -3030.71
68, -3030.3006, -3030.31
69, -3029.8866, -3029.91
70, -3029.4864, -3029.51
71, -3029.1345, -3029.11
72, -3028.6722, -3028.71
73, -3028.3272, -3028.31
74, -3027.8787, -3027.91
75, -3027.5406, -3027.51
76, -3027.0714, -3027.11
77, -3026.7195, -3026.71
78, -3026.3124, -3026.31
79, -3025.8984, -3025.91
80, -3025.4913, -3025.51
81, -3025.098, -3025.11
82, -3024.7392, -3024.71
83, -3024.2769, -3024.31
84, -3023.9112, -3023.91
85, -3023.4972, -3023.51
86, -3023.1108, -3023.11
87, -3022.6968, -3022.71
88, -3022.3035, -3022.31
89, -3021.9171, -3021.91
90, -3021.4824, -3021.51
91, -3021.096, -3021.11
92, -3020.7303, -3020.71
93, -3020.2818, -3020.31
94, -3019.9092, -3019.91
95, -3019.4814, -3019.51
96, -3019.1502, -3019.11
97, -3018.6672, -3018.71
98, -3018.3222, -3018.31
99, -3017.9013, -3017.91
100, -3017.508, -3017.51
