# time [s],	camera1/temperature_degC,	laser1/line1/measured_power,	laser1/line1/set_power,	laser2/line1/measured_power,	laser2/line1/set_power,	stagex/position,	stagex/velocity,	stagey/position,	stagey/velocity,	stagez/position,	stagez/velocity,	transmission/line1/measured_power,	transmission/line1/set_power
0,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
0.569,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
1.128,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
1.736,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
2.349,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
2.915,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
3.502,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
4.071,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
4.653,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
5.253,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
5.819,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
6.413,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
7.021,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
7.636,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
8.23,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
8.838,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
9.421,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
10.019,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
10.632,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
11.203,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
11.771,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
12.358,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
12.943,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
13.519,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
14.104,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
14.664,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
15.287,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
15.849,	-79.247,	5,	5,	0.1,	25,	-3132.95,	0,	144.362,	0,	325.797,	0,	0,	8
