#! time [s],	camera1/temperature_degC,	laser1/line1/measured_power,	laser1/line1/set_power,	laser2/line1/measured_power,	laser2/line1/set_power,	stagex/position,	stagex/velocity,	stagey/position,	stagey/velocity,	stagez/position,	stagez/velocity,	transmission/line1/measured_power,	transmission/line1/set_power
0,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
0.557,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
1.164,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
1.715,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
2.273,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
2.827,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
3.427,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
4.007,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
4.579,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
5.198,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
5.77,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
6.33,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
6.943,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
7.522,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
8.084,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
8.676,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
9.234,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
9.799,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
10.345,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
10.908,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
11.465,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
12.019,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
12.581,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
13.176,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
13.731,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
14.3,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
14.896,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
15.489,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
16.074,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
16.676,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
17.233,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
17.781,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
18.349,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
18.937,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
19.503,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
20.087,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
