# number, position 1[micrometer], ideal position 1 [micrometer] 
0, 4373.97900000000027, 4373.97900000000027
1, 4373.90999999999985, 4373.77900000000045
2, 4373.59259999999995, 4373.57900000000063
3, 4373.40629999999965, 4373.37900000000081
4, 4373.17860000000019, 4373.179000000001
5, 4372.98539999999957, 4372.97900000000118
6, 4372.76459999999952, 4372.77900000000136
7, 4372.57830000000013, 4372.57900000000154
8, 4372.37820000000011, 4372.37900000000172
9, 4372.17119999999977, 4372.17900000000191
10, 4371.97109999999975, 4371.97900000000209
11, 4371.77099999999973, 4371.77900000000227
12, 4371.57089999999971, 4371.57900000000245
13, 4371.37079999999969, 4371.37900000000263
14, 4371.17759999999998, 4371.17900000000282
15, 4370.97749999999996, 4370.979000000003
16, 4370.77049999999963, 4370.77900000000318
17, 4370.57039999999961, 4370.57900000000336
18, 4370.37029999999959, 4370.37900000000354
19, 4370.16330000000016, 4370.17900000000373
20, 4369.96320000000014, 4369.97900000000391
21, 4369.77689999999984, 4369.77900000000409
22, 4369.57679999999982, 4369.57900000000427
23, 4369.36979999999949, 4369.37900000000445
24, 4369.16970000000038, 4369.17900000000463
25, 4368.97649999999976, 4368.97900000000482
26, 4368.76950000000033, 4368.779000000005
27, 4368.56940000000031, 4368.57900000000518
28, 4368.36930000000029, 4368.37900000000536
29, 4368.17609999999968, 4368.17900000000554
30, 4367.96910000000025, 4367.97900000000573
31, 4367.76900000000023, 4367.77900000000591
32, 4367.56890000000021, 4367.57900000000609
33, 4367.36880000000019, 4367.37900000000627
34, 4367.16870000000017, 4367.17900000000645
35, 4366.98930000000018, 4366.97900000000664
36, 4366.78229999999985, 4366.77900000000682
37, 4366.57529999999952, 4366.579000000007
38, 4366.3751999999995, 4366.37900000000718
39, 4366.16820000000007, 4366.17900000000736
40, 4365.97500000000036, 4365.97900000000755
41, 4365.77490000000034, 4365.77900000000773
42, 4365.57480000000032, 4365.57900000000791
43, 4365.38159999999971, 4365.37900000000809
44, 4365.17460000000028, 4365.17900000000827
45, 4364.97450000000026, 4364.97900000000845
46, 4364.77440000000024, 4364.77900000000864
47, 4364.58119999999963, 4364.57900000000882
48, 4364.3742000000002, 4364.379000000009
49, 4364.17410000000018, 4364.17900000000918
50, 4363.98089999999956, 4363.97900000000936
51, 4363.76699999999983, 4363.77900000000955
52, 4363.57380000000012, 4363.57900000000973
53, 4363.3737000000001, 4363.37900000000991
54, 4363.17360000000008, 4363.17900000001009
55, 4362.97350000000006, 4362.97900000001027
56, 4362.78030000000035, 4362.77900000001046
57, 4362.58709999999974, 4362.57900000001064
58, 4362.36629999999968, 4362.37900000001082
59, 4362.18000000000029, 4362.179000000011
60, 4361.96609999999964, 4361.97900000001118
61, 4361.77289999999994, 4361.77900000001137
62, 4361.5658999999996, 4361.57900000001155
63, 4361.3726999999999, 4361.37900000001173
64, 4361.17950000000019, 4361.17900000001191
65, 4360.96559999999954, 4360.97900000001209
66, 4360.77930000000015, 4360.77900000001227
67, 4360.57229999999981, 4360.57900000001246
68, 4360.37219999999979, 4360.37900000001264
69, 4360.17209999999977, 4360.17900000001282
70, 4359.97199999999975, 4359.979000000013
71, 4359.77880000000005, 4359.77900000001318
72, 4359.56490000000031, 4359.57900000001337
73, 4359.37860000000001, 4359.37900000001355
74, 4359.17159999999967, 4359.17900000001373
75, 4358.97149999999965, 4358.97900000001391
76, 4358.77139999999963, 4358.77900000001409
77, 4358.57819999999992, 4358.57900000001428
78, 4358.38500000000022, 4358.37900000001446
79, 4358.17109999999957, 4358.17900000001464
80, 4357.97099999999955, 4357.97900000001482
81, 4357.77089999999953, 4357.779000000015
82, 4357.57079999999951, 4357.57900000001518
83, 4357.36380000000008, 4357.37900000001537
84, 4357.16370000000006, 4357.17900000001555
85, 4356.98430000000008, 4356.97900000001573
86, 4356.77040000000034, 4356.77900000001591
87, 4356.57030000000032, 4356.57900000001609
88, 4356.3702000000003, 4356.37900000001628
89, 4356.17699999999968, 4356.17900000001646
90, 4355.97000000000025, 4355.97900000001664
91, 4355.76990000000023, 4355.77900000001682
92, 4355.57669999999962, 4355.579000000017
93, 4355.36279999999988, 4355.37900000001719
94, 4355.16960000000017, 4355.17900000001737
95, 4354.96950000000015, 4354.97900000001755
96, 4354.76940000000013, 4354.77900000001773
97, 4354.56930000000011, 4354.57900000001791
98, 4354.36920000000009, 4354.3790000000181
99, 4354.18289999999979, 4354.17900000001828
100, 4353.96900000000005, 4353.97900000001846
101, 4353.76890000000003, 4353.77900000001864
102, 4353.56880000000001, 4353.57900000001882
103, 4353.36869999999999, 4353.379000000019
104, 4353.16859999999997, 4353.17900000001919
105, 4352.97540000000026, 4352.97900000001937
106, 4352.78219999999965, 4352.77900000001955
107, 4352.58209999999963, 4352.57900000001973
