# number, position 1[micrometer], ideal position 1 [micrometer] 
0, 525.034800000000018, 525.034800000000018
1, 524.972700000000032, 524.834799999999973
2, 524.703599999999938, 524.634799999999927
3, 524.475900000000024, 524.434799999999882
4, 524.25509999999997, 524.234799999999836
5, 524.048099999999977, 524.034799999999791
6, 523.841099999999983, 523.834799999999746
7, 523.627200000000016, 523.6347999999997
8, 523.440899999999942, 523.434799999999655
9, 523.233899999999949, 523.234799999999609
10, 523.026899999999955, 523.034799999999564
11, 522.826799999999935, 522.834799999999518
12, 522.619799999999941, 522.634799999999473
13, 522.426600000000008, 522.434799999999427
14, 522.226499999999987, 522.234799999999382
15, 522.026399999999967, 522.034799999999336
16, 521.833200000000033, 521.834799999999291
17, 521.633100000000013, 521.634799999999245
18, 521.426100000000019, 521.4347999999992
19, 521.225999999999999, 521.234799999999154
20, 521.032799999999952, 521.034799999999109
21, 520.825799999999958, 520.834799999999063
22, 520.618799999999965, 520.634799999999018
23, 520.432500000000005, 520.434799999998972
24, 520.218600000000038, 520.234799999998927
25, 520.025399999999991, 520.034799999998882
26, 519.82529999999997, 519.834799999998836
27, 519.62519999999995, 519.634799999998791
28, 519.432000000000016, 519.434799999998745
29, 519.225000000000023, 519.2347999999987
30, 519.038699999999949, 519.034799999998654
31, 518.824799999999982, 518.834799999998609
32, 518.624699999999962, 518.634799999998563
33, 518.417699999999968, 518.434799999998518
34, 518.217599999999948, 518.234799999998472
35, 518.031299999999987, 518.034799999998427
36, 517.831199999999967, 517.834799999998381
37, 517.638000000000034, 517.634799999998336
38, 517.437900000000013, 517.43479999999829
39, 517.23090000000002, 517.234799999998245
40, 517.037699999999973, 517.034799999998199
41, 516.830699999999979, 516.834799999998154
42, 516.630599999999959, 516.634799999998108
43, 516.423599999999965, 516.434799999998063
44, 516.237300000000005, 516.234799999998017
45, 516.030300000000011, 516.034799999997972
46, 515.830199999999991, 515.834799999997927
47, 515.63009999999997, 515.634799999997881
48, 515.42999999999995, 515.434799999997836
49, 515.236800000000017, 515.23479999999779
50, 515.029800000000023, 515.034799999997745
51, 514.843499999999949, 514.834799999997699
52, 514.629599999999982, 514.634799999997654
53, 514.429499999999962, 514.434799999997608
54, 514.222499999999968, 514.234799999997563
55, 514.029300000000035, 514.034799999997517
56, 513.822300000000041, 513.834799999997472
57, 513.629099999999994, 513.634799999997426
58, 513.435899999999947, 513.434799999997381
59, 513.23580000000004, 513.234799999997335
60, 513.028800000000047, 513.03479999999729
61, 512.828700000000026, 512.834799999997244
62, 512.628600000000006, 512.634799999997199
63, 512.428499999999985, 512.434799999997153
64, 512.228399999999965, 512.234799999997108
65, 512.035200000000032, 512.034799999997063
66, 511.828199999999981, 511.834799999997074
67, 511.628100000000018, 511.634799999997085
68, 511.434899999999971, 511.434799999997097
69, 511.227899999999977, 511.234799999997108
70, 511.027800000000013, 511.034799999997119
71, 510.827699999999993, 510.834799999997131
72, 510.627599999999973, 510.634799999997142
73, 510.434399999999982, 510.434799999997153
74, 510.220500000000015, 510.234799999997165
75, 510.027299999999968, 510.034799999997176
76, 509.827200000000005, 509.834799999997188
77, 509.627099999999984, 509.634799999997199
78, 509.426999999999964, 509.43479999999721
79, 509.226900000000001, 509.234799999997222
80, 509.03370000000001, 509.034799999997233
81, 508.826700000000017, 508.834799999997244
82, 508.626599999999996, 508.634799999997256
83, 508.426499999999976, 508.434799999997267
84, 508.226400000000012, 508.234799999997279
85, 508.026299999999992, 508.03479999999729
86, 507.826199999999972, 507.834799999997301
87, 507.632999999999981, 507.634799999997313
88, 507.425999999999988, 507.434799999997324
89, 507.225899999999967, 507.234799999997335
90, 507.025800000000004, 507.034799999997347
91, 506.825699999999983, 506.834799999997358
92, 506.625599999999963, 506.634799999997369
93, 506.432399999999973, 506.434799999997381
94, 506.232300000000009, 506.234799999997392
95, 506.025300000000016, 506.034799999997404
96, 505.818299999999965, 505.834799999997415
97, 505.618200000000002, 505.634799999997426
98, 505.425000000000011, 505.434799999997438
99, 505.224899999999991, 505.234799999997449
100, 505.024799999999971, 505.03479999999746
101, 504.83159999999998, 504.834799999997472
102, 504.624599999999987, 504.634799999997483
103, 504.424499999999966, 504.434799999997495
104, 504.238200000000006, 504.234799999997506
105, 504.031200000000013, 504.034799999997517
106, 503.824200000000019, 503.834799999997529
107, 503.630999999999972, 503.63479999999754
108, 503.437799999999982, 503.434799999997551
109, 503.223900000000015, 503.234799999997563
110, 503.030699999999968, 503.034799999997574
111, 502.830600000000004, 502.834799999997585
112, 502.630499999999984, 502.634799999997597
113, 502.430399999999963, 502.434799999997608
114, 502.237199999999973, 502.23479999999762
115, 502.037100000000009, 502.034799999997631
116, 501.823199999999986, 501.834799999997642
117, 501.629999999999995, 501.634799999997654
118, 501.429899999999975, 501.434799999997665
119, 501.229800000000012, 501.234799999997676
120, 501.022800000000018, 501.034799999997688
121, 500.836500000000001, 500.834799999997699
122, 500.636399999999981, 500.634799999997711
123, 500.436300000000017, 500.434799999997722
124, 500.236199999999997, 500.234799999997733
125, 500.029200000000003, 500.034799999997745
126, 499.836000000000013, 499.834799999997756
127, 499.622099999999989, 499.634799999997767
128, 499.428899999999999, 499.434799999997779
129, 499.235700000000008, 499.23479999999779
130, 499.021799999999985, 499.034799999997801
131, 498.828599999999994, 498.834799999997813
132, 498.621600000000001, 498.634799999997824
133, 498.435299999999984, 498.434799999997836
134, 498.22829999999999, 498.234799999997847
135, 498.02819999999997, 498.034799999997858
136, 497.84190000000001, 497.83479999999787
137, 497.627999999999986, 497.634799999997881
138, 497.427899999999966, 497.434799999997892
139, 497.227800000000002, 497.234799999997904
140, 497.027699999999982, 497.034799999997915
141, 496.827600000000018, 496.834799999997927
142, 496.627499999999998, 496.634799999997938
143, 496.434300000000007, 496.434799999997949
144, 496.220399999999984, 496.234799999997961
145, 496.0548, 496.034799999997972
146, 495.81329999999997, 495.834799999997983
147, 495.633899999999983, 495.634799999997995
148, 495.413099999999986, 495.434799999998006
149, 495.226799999999969, 495.234799999998017
150, 495.033599999999979, 495.034799999998029
151, 494.826599999999985, 494.83479999999804
152, 494.626499999999965, 494.634799999998052
153, 494.426400000000001, 494.434799999998063
154, 494.233200000000011, 494.234799999998074
155, 494.03309999999999, 494.034799999998086
156, 493.819199999999967, 493.834799999998097
157, 493.632900000000006, 493.634799999998108
158, 493.425900000000013, 493.43479999999812
159, 493.218900000000019, 493.234799999998131
160, 493.025699999999972, 493.034799999998143
161, 492.825600000000009, 492.834799999998154
162, 492.618600000000015, 492.634799999998165
163, 492.418499999999995, 492.434799999998177
164, 492.232199999999978, 492.234799999998188
165, 492.032100000000014, 492.034799999998199
166, 491.825099999999964, 491.834799999998211
167, 491.625, 491.634799999998222
168, 491.42489999999998, 491.434799999998233
169, 491.224800000000016, 491.234799999998245
170, 491.024699999999996, 491.034799999998256
171, 490.831500000000005, 490.834799999998268
172, 490.631399999999985, 490.634799999998279
173, 490.431299999999965, 490.43479999999829
174, 490.238099999999974, 490.234799999998302
175, 490.024200000000008, 490.034799999998313
176, 489.837899999999991, 489.834799999998324
177, 489.623999999999967, 489.634799999998336
178, 489.437700000000007, 489.434799999998347
179, 489.237599999999986, 489.234799999998359
180, 489.030599999999993, 489.03479999999837
181, 488.830499999999972, 488.834799999998381
182, 488.623499999999979, 488.634799999998393
183, 488.430299999999988, 488.434799999998404
184, 488.230199999999968, 488.234799999998415
185, 488.036999999999978, 488.034799999998427
186, 487.836900000000014, 487.834799999998438
187, 487.629899999999964, 487.634799999998449
188, 487.4298, 487.434799999998461
189, 487.23660000000001, 487.234799999998472
190, 487.029600000000016, 487.034799999998484
191, 486.829499999999996, 486.834799999998495
192, 486.629399999999976, 486.634799999998506
193, 486.436199999999985, 486.434799999998518
194, 486.229199999999992, 486.234799999998529
195, 486.029099999999971, 486.03479999999854
196, 485.829000000000008, 485.834799999998552
197, 485.628899999999987, 485.634799999998563
198, 485.428799999999967, 485.434799999998575
199, 485.235599999999977, 485.234799999998586
200, 485.035500000000013, 485.034799999998597
201, 484.82850000000002, 484.834799999998609
202, 484.621499999999969, 484.63479999999862
203, 484.428299999999979, 484.434799999998631
204, 484.228200000000015, 484.234799999998643
205, 484.021199999999965, 484.034799999998654
206, 483.834900000000005, 483.834799999998665
207, 483.634799999999984, 483.634799999998677
208, 483.427799999999991, 483.434799999998688
209, 483.2346, 483.2347999999987
210, 483.027600000000007, 483.034799999998711
211, 482.827499999999986, 482.834799999998722
212, 482.620499999999993, 482.634799999998734
213, 482.427300000000002, 482.434799999998745
214, 482.234100000000012, 482.234799999998756
215, 482.020199999999988, 482.034799999998768
216, 481.826999999999998, 481.834799999998779
217, 481.626899999999978, 481.634799999998791
218, 481.426800000000014, 481.434799999998802
219, 481.226699999999994, 481.234799999998813
220, 481.033500000000004, 481.034799999998825
221, 480.833399999999983, 480.834799999998836
222, 480.62639999999999, 480.634799999998847
223, 480.426299999999969, 480.434799999998859
224, 480.226200000000006, 480.23479999999887
225, 480.026099999999985, 480.034799999998882
226, 479.819099999999992, 479.834799999998893
227, 479.632799999999975, 479.634799999998904
228, 479.432700000000011, 479.434799999998916
229, 479.225700000000018, 479.234799999998927
230, 479.025599999999997, 479.034799999998938
231, 478.825499999999977, 478.83479999999895
232, 478.625400000000013, 478.634799999998961
233, 478.425299999999993, 478.434799999998972
234, 478.225199999999973, 478.234799999998984
235, 478.031999999999982, 478.034799999998995
236, 477.818100000000015, 477.834799999999007
237, 477.624899999999968, 477.634799999999018
238, 477.424800000000005, 477.434799999999029
239, 477.224699999999984, 477.234799999999041
240, 477.024599999999964, 477.034799999999052
241, 476.831399999999974, 476.834799999999063
242, 476.645100000000014, 476.634799999999075
243, 476.43119999999999, 476.434799999999086
244, 476.231099999999969, 476.234799999999098
245, 476.031000000000006, 476.034799999999109
246, 475.830899999999986, 475.83479999999912
247, 475.623899999999992, 475.634799999999132
248, 475.430700000000002, 475.434799999999143
249, 475.244399999999985, 475.234799999999154
250, 475.030500000000018, 475.034799999999166
251, 474.837299999999971, 474.834799999999177
252, 474.630299999999977, 474.634799999999188
253, 474.430200000000013, 474.4347999999992
254, 474.230099999999993, 474.234799999999211
255, 474.029999999999973, 474.034799999999223
256, 473.836799999999982, 473.834799999999234
257, 473.629799999999989, 473.634799999999245
258, 473.429699999999968, 473.434799999999257
259, 473.229600000000005, 473.234799999999268
260, 473.022600000000011, 473.034799999999279
261, 472.843199999999968, 472.834799999999291
262, 472.622399999999971, 472.634799999999302
263, 472.442999999999984, 472.434799999999314
264, 472.222199999999987, 472.234799999999325
265, 472.03589999999997, 472.034799999999336
266, 471.822000000000003, 471.834799999999348
267, 471.628800000000012, 471.634799999999359
268, 471.428699999999992, 471.43479999999937
269, 471.228599999999972, 471.234799999999382
270, 471.035399999999981, 471.034799999999393
271, 470.835300000000018, 470.834799999999404
272, 470.628299999999967, 470.634799999999416
273, 470.428200000000004, 470.434799999999427
274, 470.228099999999984, 470.234799999999439
275, 470.02800000000002, 470.03479999999945
276, 469.8279, 469.834799999999461
277, 469.627799999999979, 469.634799999999473
278, 469.434599999999989, 469.434799999999484
279, 469.220699999999965, 469.234799999999495
280, 469.034400000000005, 469.034799999999507
281, 468.820499999999981, 468.834799999999518
282, 468.634199999999964, 468.63479999999953
283, 468.420299999999997, 468.434799999999541
284, 468.23399999999998, 468.234799999999552
285, 468.033900000000017, 468.034799999999564
286, 467.826899999999966, 467.834799999999575
287, 467.626800000000003, 467.634799999999586
288, 467.426699999999983, 467.434799999999598
289, 467.219699999999989, 467.234799999999609
290, 467.033399999999972, 467.03479999999962
291, 466.819500000000005, 466.834799999999632
292, 466.633199999999988, 466.634799999999643
293, 466.426199999999994, 466.434799999999655
294, 466.233000000000004, 466.234799999999666
