ALV-5000/E-WIN Data
Date :	"14.01.2011"
Time :	"15:00:57"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     222.10783
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  2.70222E-001
  4.00000E-004	  1.67052E-001
  6.00000E-004	  1.46815E-001
  8.00000E-004	  1.38915E-001
  1.00000E-003	  1.33116E-001
  1.20000E-003	  1.29719E-001
  1.40000E-003	  1.27286E-001
  1.60000E-003	  1.25383E-001
  1.80000E-003	  1.23814E-001
  2.00000E-003	  1.21299E-001
  2.20000E-003	  1.18243E-001
  2.40000E-003	  1.18791E-001
  2.60000E-003	  1.22987E-001
  2.80000E-003	  1.15346E-001
  3.00000E-003	  1.14196E-001
  3.20000E-003	  1.12867E-001
  3.60000E-003	  1.15423E-001
  4.00000E-003	  1.09919E-001
  4.40000E-003	  1.12868E-001
  4.80000E-003	  1.09543E-001
  5.20000E-003	  1.06034E-001
  5.60000E-003	  1.05900E-001
  6.00000E-003	  1.04902E-001
  6.40000E-003	  1.05806E-001
  7.20000E-003	  1.01411E-001
  8.00000E-003	  1.01187E-001
  8.80000E-003	  9.82426E-002
  9.60000E-003	  9.59453E-002
  1.04000E-002	  9.59589E-002
  1.12000E-002	  9.35833E-002
  1.20000E-002	  9.14344E-002
  1.28000E-002	  9.03395E-002
  1.44000E-002	  8.72748E-002
  1.60000E-002	  8.49205E-002
  1.76000E-002	  8.27304E-002
  1.92000E-002	  8.32473E-002
  2.08000E-002	  7.90504E-002
  2.24000E-002	  7.81050E-002
  2.40000E-002	  7.45027E-002
  2.56000E-002	  7.31686E-002
  2.88000E-002	  7.02792E-002
  3.20000E-002	  6.66082E-002
  3.52000E-002	  6.44005E-002
  3.84000E-002	  6.13412E-002
  4.16000E-002	  5.94283E-002
  4.48000E-002	  5.73986E-002
  4.80000E-002	  5.53592E-002
  5.12000E-002	  5.36487E-002
  5.76000E-002	  5.01084E-002
  6.40000E-002	  4.70145E-002
  7.04000E-002	  4.40386E-002
  7.68000E-002	  4.21779E-002
  8.32000E-002	  4.05691E-002
  8.96000E-002	  3.79041E-002
  9.60000E-002	  3.66694E-002
  1.02400E-001	  3.47853E-002
  1.15200E-001	  3.19682E-002
  1.28000E-001	  2.89928E-002
  1.40800E-001	  2.74736E-002
  1.53600E-001	  2.53671E-002
  1.66400E-001	  2.39933E-002
