ALV-5000/E-WIN Data
Date :	"14.01.2011"
Time :	"12:05:08"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	      50.99590
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  1.11569E+000
  4.00000E-004	  5.76420E-001
  6.00000E-004	  4.84413E-001
  8.00000E-004	  4.40800E-001
  1.00000E-003	  4.33335E-001
  1.20000E-003	  3.95157E-001
  1.40000E-003	  3.91883E-001
  1.60000E-003	  3.68374E-001
  1.80000E-003	  3.65362E-001
  2.00000E-003	  3.74922E-001
  2.20000E-003	  3.77149E-001
  2.40000E-003	  3.74988E-001
  2.60000E-003	  3.62349E-001
  2.80000E-003	  3.43686E-001
  3.00000E-003	  3.67523E-001
  3.20000E-003	  3.63393E-001
  3.60000E-003	  3.49217E-001
  4.00000E-003	  3.38379E-001
  4.40000E-003	  3.44142E-001
  4.80000E-003	  3.41817E-001
  5.20000E-003	  3.45975E-001
  5.60000E-003	  3.42341E-001
  6.00000E-003	  3.32485E-001
  6.40000E-003	  3.32701E-001
  7.20000E-003	  3.14398E-001
  8.00000E-003	  3.18769E-001
  8.80000E-003	  3.17901E-001
  9.60000E-003	  3.06900E-001
  1.04000E-002	  3.08422E-001
  1.12000E-002	  2.98583E-001
  1.20000E-002	  2.91789E-001
  1.28000E-002	  2.93169E-001
  1.44000E-002	  2.84353E-001
  1.60000E-002	  2.80129E-001
  1.76000E-002	  2.73303E-001
  1.92000E-002	  2.71698E-001
  2.08000E-002	  2.64004E-001
  2.24000E-002	  2.55867E-001
  2.40000E-002	  2.53559E-001
  2.56000E-002	  2.50651E-001
  2.88000E-002	  2.44184E-001
  3.20000E-002	  2.33076E-001
  3.52000E-002	  2.30960E-001
  3.84000E-002	  2.23675E-001
  4.16000E-002	  2.14470E-001
  4.48000E-002	  2.08331E-001
  4.80000E-002	  2.09203E-001
  5.12000E-002	  2.02292E-001
  5.76000E-002	  1.95820E-001
  6.40000E-002	  1.85887E-001
  7.04000E-002	  1.80257E-001
