ALV-5000/E-WIN Data
Date :	"24-Feb-12"
Time :	"19:30:32"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	      90.00000
Duration [s]    :	        10
Runs            :	         3
Mode            :	"DUAL AUTO CH0"
MeanCR0 [kHz]   :	    2652.99219
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	"Run  1"	"Run  2"	"Run  3"	"Average(1)"	" 1,   0.000"	" 2,   0.000"	" 3,   0.000"	
  4.00000E-004	 -1.33893E-003	 -1.30530E-003	 -1.55422E-003	 -1.15728E-003	 -1.19171E-003	 -1.33010E-003	 -1.19497E-003	 -1.05006E-003	
  8.00000E-004	  2.08588E-003	  1.99233E-003	  1.96173E-003	  2.30357E-003	  2.56288E-003	  2.58630E-003	  2.79834E-003	  2.30401E-003	
  1.20000E-003	  1.89237E-003	  1.67298E-003	  1.93752E-003	  2.06661E-003	  3.09749E-003	  3.01093E-003	  2.94226E-003	  3.33928E-003	
  1.60000E-003	  1.79050E-003	  1.86227E-003	  1.68520E-003	  1.82402E-003	  2.76354E-003	  2.68063E-003	  2.81891E-003	  2.79109E-003	
  2.00000E-003	  1.64600E-003	  1.60441E-003	  1.45140E-003	  1.88219E-003	  2.26407E-003	  2.05259E-003	  2.30113E-003	  2.43850E-003	
  2.40000E-003	  1.45338E-003	  1.41731E-003	  1.26592E-003	  1.67690E-003	  2.05643E-003	  2.39759E-003	  1.81474E-003	  1.95696E-003	
  2.80000E-003	  1.32687E-003	  1.31627E-003	  1.24923E-003	  1.41511E-003	  1.79971E-003	  1.68838E-003	  1.66871E-003	  2.04203E-003	
  3.20000E-003	  1.01650E-003	  8.24195E-004	  1.04852E-003	  1.17680E-003	  2.01991E-003	  1.97445E-003	  1.76453E-003	  2.32076E-003	
  3.60000E-003	  1.12923E-003	  1.17405E-003	  8.31018E-004	  1.38262E-003	  2.13946E-003	  2.09177E-003	  1.89254E-003	  2.43407E-003	
  4.00000E-003	  1.04164E-003	  8.19193E-004	  1.26259E-003	  1.04315E-003	  2.15857E-003	  2.30295E-003	  1.88280E-003	  2.28996E-003	
  4.40000E-003	  9.23430E-004	  5.83525E-004	  9.40755E-004	  1.24601E-003	  2.41006E-003	  1.98531E-003	  2.49441E-003	  2.75046E-003	
  4.80000E-003	  1.10980E-003	  9.98014E-004	  1.03033E-003	  1.30105E-003	  2.15687E-003	  2.07096E-003	  1.91202E-003	  2.48764E-003	
  5.20000E-003	  1.06179E-003	  1.00815E-003	  1.01761E-003	  1.15959E-003	  2.32715E-003	  2.04009E-003	  2.41214E-003	  2.52924E-003	
  5.60000E-003	  1.15613E-003	  1.06980E-003	  9.16688E-004	  1.48190E-003	  2.13026E-003	  1.95970E-003	  2.04892E-003	  2.38216E-003	
  6.00000E-003	  1.11604E-003	  8.06008E-004	  1.10672E-003	  1.43540E-003	  2.07073E-003	  1.82897E-003	  1.78262E-003	  2.60060E-003	
  6.40000E-003	  1.06787E-003	  8.36593E-004	  1.12910E-003	  1.23793E-003	  2.06390E-003	  2.01764E-003	  1.84012E-003	  2.33396E-003	
  7.20000E-003	  1.03177E-003	  9.58050E-004	  1.07289E-003	  1.06438E-003	  2.12627E-003	  2.02125E-003	  2.03788E-003	  2.31967E-003	
  8.00000E-003	  8.19595E-004	  6.53427E-004	  8.47100E-004	  9.58259E-004	  2.25562E-003	  2.17208E-003	  2.20204E-003	  2.39274E-003	
  8.80000E-003	  1.00890E-003	  8.73244E-004	  9.27702E-004	  1.22576E-003	  2.09199E-003	  1.90901E-003	  2.11997E-003	  2.24699E-003	
  9.60000E-003	  9.44854E-004	  9.97947E-004	  8.52884E-004	  9.83729E-004	  2.03238E-003	  2.02730E-003	  2.10751E-003	  1.96232E-003	
  1.04000E-002	  1.07683E-003	  9.01071E-004	  1.03772E-003	  1.29169E-003	  2.02351E-003	  1.92083E-003	  1.91075E-003	  2.23896E-003	
  1.12000E-002	  1.03262E-003	  1.03553E-003	  9.70619E-004	  1.09171E-003	  2.20146E-003	  2.04123E-003	  2.15169E-003	  2.41145E-003	
  1.20000E-002	  9.98241E-004	  7.79870E-004	  1.02255E-003	  1.19231E-003	  2.16221E-003	  1.78933E-003	  2.14804E-003	  2.54928E-003	
  1.28000E-002	  9.13281E-004	  8.13854E-004	  8.83212E-004	  1.04278E-003	  2.15924E-003	  2.04839E-003	  2.21573E-003	  2.21361E-003	
  1.44000E-002	  9.79117E-004	  8.67503E-004	  9.13705E-004	  1.15614E-003	  2.18348E-003	  1.98330E-003	  2.14670E-003	  2.42044E-003	
